,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
10,19936044,24,,left,saccade,1.0,,,,435.836,37.811,460.41,186.695,,,
11,19936044,24,,right,saccade,1.0,3.0,,,435.355,66.616,449.412,185.19,,,
12,19936072,276,3.0357444117647057,left,fixation,1.0,,484.403142857143,186.547742857143,,,,,1.0,7.876327775189548,32.807787185361995
13,19936072,276,3.0357444117647057,right,fixation,1.0,4.0,455.9734714285711,186.228857142857,,,,,1.0,6.6142377510774235,22.283505828302705
14,19936352,40,,left,saccade,2.0,,,,455.17,157.991,421.81699999999995,142.207,,,
15,19936352,40,,right,saccade,2.0,4.0,,,438.12800000000004,169.928,417.668,147.965,,,
16,19936456,244,3.0845217391304347,left,fixation,2.0,,415.813048387097,122.750435483871,,,,,0.0,,
17,19936464,232,3.083731343283582,right,fixation,2.0,5.0,403.385525423729,153.51379661016898,,,,,1.0,3.9434573663221006,6.3132942272636425
18,19936700,16,,right,saccade,3.0,5.0,,,403.01800000000003,163.722,459.00699999999995,164.378,,,
20,19936720,892,3.0897668161434977,right,fixation,3.0,6.0,493.72553125,149.337513392857,,,,,8.0,7.872539400890349,26.419923640743736
21,19936724,1092,3.0874230769230766,left,fixation,3.0,,510.74904379562,149.63422262773702,,,,,5.0,8.95886256843054,32.52141345531469
22,19937616,0,,right,saccade,4.0,6.0,,,516.097,141.982,516.097,141.982,,,
23,19937620,200,3.0778399999999992,right,fixation,4.0,7.0,528.224235294118,155.246156862745,,,,,1.0,4.385878861629538,6.723983491948749
24,19937820,24,,left,saccade,3.0,,,,539.351,149.892,483.965,299.529,,,
25,19937824,24,,right,saccade,5.0,7.0,,,532.488,177.942,478.431,306.165,,,
26,19937848,244,3.070622950819671,left,fixation,4.0,,489.576741935484,289.999096774194,,,,,0.0,,
27,19937852,240,3.070475,right,fixation,5.0,8.0,480.679393442623,305.888786885246,,,,,0.0,,
28,19938096,24,,right,saccade,6.0,8.0,,,477.334,270.388,726.1469999999997,266.51,,,
29,19938096,28,,left,saccade,4.0,,,,497.019,275.862,727.1110000000001,264.503,,,
30,19938124,275,3.06425,right,fixation,6.0,9.0,728.371228571429,271.248728571429,,,,,0.0,,
31,19938128,275,3.063757352941177,left,fixation,5.0,,752.014442857143,277.272085714286,,,,,1.0,6.971631263357388,31.12062070396419
32,19938403,28,,right,saccade,7.0,9.0,,,733.6489999999999,284.879,965.363,290.007,,,
33,19938407,28,,left,saccade,5.0,,,,758.8889999999999,275.065,974.48,265.517,,,
34,19938435,265,3.0479104477611947,right,fixation,7.0,10.0,961.8746716417908,276.454447761194,,,,,3.0,4.644105780243055,13.06918176425071
35,19938439,265,3.0480447761194034,left,fixation,6.0,,972.619373134328,269.375119402985,,,,,1.0,4.464978692247262,11.8462718608007
36,19938704,28,,right,saccade,8.0,10.0,,,945.078,264.091,1159.438,276.35,,,
37,19938708,28,,left,saccade,6.0,,,,961.822,275.493,1161.105,260.851,,,
38,19938736,148,3.0487027027027027,right,fixation,8.0,11.0,1161.62342105263,270.49465789473703,,,,,0.0,,
39,19938740,140,3.0484285714285715,left,fixation,7.0,,1168.0053888888901,270.451833333333,,,,,0.0,,
40,19938884,64,,left,saccade,7.0,,,,1173.506,274.619,475.80400000000003,220.968,,,
41,19938888,60,,right,saccade,9.0,11.0,,,1163.029,267.981,464.37300000000016,204.359,,,
42,19938952,515,3.12774609375,left,fixation,8.0,,500.371684615385,179.5412,,,,,2.0,5.518634727733102,23.622897904340192
43,19938952,515,3.12774609375,right,fixation,9.0,12.0,493.276661538462,175.4303,,,,,4.0,4.943377951801656,22.168078843287937
44,19939471,60,,right,saccade,10.0,12.0,,,512.686,176.859,1218.3010000000004,219.255,,,
45,19939471,64,,left,saccade,8.0,,,,533.678,174.40200000000004,1218.806,253.019,,,
46,19939535,269,3.0930882352941174,right,fixation,10.0,13.0,1207.1706323529402,251.036441176471,,,,,4.0,6.2584181381308674,22.75746629303678
47,19939539,261,3.0924469696969696,left,fixation,9.0,,1221.88586363636,275.217712121212,,,,,2.0,8.68114090160232,30.63321784329179
48,19939804,28,,left,saccade,9.0,,,,1187.231,262.055,817.556,259.751,,,
49,19939808,32,,right,saccade,11.0,13.0,,,1175.036,256.719,817.378,254.11599999999999,,,
50,19939836,276,3.1154275362318837,left,fixation,10.0,,843.4080285714281,254.805985714286,,,,,1.0,11.906763130674934,40.527415720719155
51,19939844,264,3.1157424242424243,right,fixation,11.0,14.0,834.900462686568,247.838820895522,,,,,1.0,7.31362019530077,44.166097008904956
52,19940112,16,,right,saccade,12.0,14.0,,,856.298,242.646,927.304,238.61900000000003,,,
53,19940116,8,,left,saccade,10.0,,,,881.5830000000003,250.988,923.046,247.94299999999998,,,
54,19940128,612,3.093339285714286,left,fixation,11.0,,950.895376623376,232.825246753247,,,,,0.0,,
55,19940132,612,3.093154220779221,right,fixation,12.0,15.0,946.8355324675321,236.847487012987,,,,,1.0,4.174668503140219,9.202790066061471
