,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
160,7660853,44,,right,saccade,1.0,41.0,,,996.633,560.095,453.82599999999996,664.388,,,
161,7660857,40,,left,saccade,1.0,,,,967.324,574.058,487.602,686.712,,,
162,7660901,347,3.271732558139535,left,fixation,1.0,,470.856181818182,696.990761363636,,,,,0.0,,
163,7660901,1031,3.2372373540856034,right,fixation,1.0,42.0,463.6124787644789,640.968752895752,,,,,8.0,5.0599073933354894,21.187394412603254
164,7661252,4,,left,saccade,2.0,,,,485.837,670.525,488.384,659.309,,,
165,7661260,1008,3.211886904761905,left,fixation,2.0,,468.6879960474311,617.506525691699,,,,,5.0,6.163778712913349,21.183602351034214
166,7661936,16,,right,saccade,2.0,42.0,,,478.819,620.842,410.611,622.254,,,
167,7661956,312,3.1982115384615386,right,fixation,2.0,43.0,400.510215189874,614.631101265823,,,,,2.0,2.9973526131453814,8.005105594743574
168,7662272,16,,left,saccade,3.0,,,,418.056,614.569,479.468,614.764,,,
169,7662272,16,,right,saccade,3.0,43.0,,,406.05300000000005,599.32,469.397,615.021,,,
170,7662292,288,3.2263680555555565,left,fixation,3.0,,493.640835616439,618.952054794521,,,,,0.0,,
171,7662292,288,3.2263680555555565,right,fixation,3.0,44.0,485.629136986301,632.830726027398,,,,,1.0,4.488749346359678,9.256782702429588
172,7662584,16,,right,saccade,4.0,44.0,,,503.12300000000016,630.175,493.194,704.6160000000001,,,
173,7662584,20,,left,saccade,4.0,,,,492.77099999999996,620.382,489.80199999999996,735.015,,,
174,7662604,448,3.2726607142857143,right,fixation,4.0,45.0,483.248672566372,715.045371681416,,,,,1.0,3.2854309120384286,9.591209360659377
175,7662608,444,3.2729504504504505,left,fixation,4.0,,498.0706785714289,721.607928571428,,,,,1.0,4.9964194540802325,21.21992000456187
176,7663056,24,,left,saccade,5.0,,,,501.705,715.301,686.676,715.433,,,
177,7663056,24,,right,saccade,5.0,45.0,,,485.44699999999995,703.58,675.6089999999998,714.3789999999997,,,
178,7663085,159,3.366833333333333,right,fixation,5.0,46.0,678.133634146342,727.061048780488,,,,,0.0,,
179,7663085,163,3.36715,left,fixation,5.0,,684.363214285714,695.7514761904761,,,,,1.0,2.678258690102785,5.8089617833136025
180,7663248,32,,right,saccade,6.0,46.0,,,676.822,720.4010000000003,480.48900000000003,640.226,,,
181,7663252,24,,left,saccade,6.0,,,,658.8910000000002,686.2860000000003,492.46,660.065,,,
182,7663280,344,3.3440930232558137,left,fixation,6.0,,481.56943678160894,617.602471264368,,,,,2.0,4.963778584748495,21.35648264505632
183,7663284,340,3.343911764705882,right,fixation,6.0,47.0,461.6466046511631,624.272744186047,,,,,2.0,5.137197670369809,13.157460289363634
184,7663628,32,,right,saccade,7.0,47.0,,,452.42199999999997,608.793,903.5139999999999,697.377,,,
185,7663628,40,,left,saccade,7.0,,,,456.49800000000016,619.085,900.552,683.556,,,
186,7663664,316,3.377892405063292,right,fixation,7.0,48.0,928.8781,717.8977,,,,,1.0,2.4909853695096422,7.736717197881777
187,7663672,308,3.3783636363636367,left,fixation,7.0,,921.322884615385,715.8789230769231,,,,,1.0,3.8003266599362386,8.790411366938294
188,7663984,24,,left,saccade,8.0,,,,918.232,711.5930000000003,1142.774,712.5060000000003,,,
189,7663984,24,,right,saccade,8.0,48.0,,,914.953,705.61,1156.71,703.541,,,
190,7664012,212,3.3564056603773587,left,fixation,8.0,,1148.11433333333,710.445222222222,,,,,1.0,2.8949016486843915,5.452245133887395
191,7664012,212,3.3564056603773587,right,fixation,8.0,49.0,1166.21187037037,698.068222222222,,,,,1.0,2.8189557266634617,7.952206234750153
192,7664228,28,,left,saccade,9.0,,,,1152.907,723.7560000000003,1403.6729999999998,716.034,,,
193,7664228,28,,right,saccade,9.0,49.0,,,1165.87,712.618,1371.69,712.24,,,
194,7664260,244,3.2775081967213104,left,fixation,9.0,,1415.8140483871,704.8559032258072,,,,,2.0,4.299530885824031,26.62579706825749
195,7664260,244,3.2775081967213104,right,fixation,9.0,50.0,1392.40129032258,702.9442096774188,,,,,1.0,3.3878105187733363,20.538880982176284
196,7664508,44,,left,saccade,10.0,,,,1404.983,708.331,768.5939999999997,713.185,,,
197,7664508,48,,right,saccade,10.0,50.0,,,1397.559,708.82,768.9680000000003,711.862,,,
198,7664556,1100,3.3239012681159417,left,fixation,10.0,,703.290858695652,688.5211920289861,,,,,5.0,5.292493077021678,16.89495947482653
199,7664560,140,3.2993571428571427,right,fixation,10.0,51.0,756.448194444445,720.7694444444452,,,,,1.0,6.588759394689653,14.414448654041454
200,7664704,12,,right,saccade,11.0,51.0,,,759.668,721.482,708.492,721.482,,,
201,7664720,936,3.3282159574468086,right,fixation,11.0,52.0,695.743497872341,696.49335319149,,,,,6.0,3.9261326827109495,17.97982961340151
