,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
276,867041,24,,left,saccade,1.0,,,,648.6709999999998,204.648,484.59,300.926,,,
277,867041,28,,right,saccade,1.0,67.0,,,652.985,238.62,472.68300000000005,332.25699999999995,,,
278,867069,336,3.6837620481927713,left,fixation,1.0,,448.4773294117649,309.312647058823,,,,,1.0,4.185014419860988,10.17811323379734
279,867073,336,3.683538575354049,right,fixation,1.0,68.0,445.842352941177,338.488588235294,,,,,1.0,5.189483944585537,16.594493665068573
280,867409,48,,left,saccade,2.0,,,,425.745,314.556,361.91900000000004,253.019,,,
281,867413,40,,right,saccade,2.0,68.0,,,426.605,337.602,406.58,313.32599999999996,,,
282,867537,340,3.6850899564645134,right,fixation,2.0,69.0,410.604988372093,321.587069767442,,,,,1.0,7.250475465252069,26.751945069471148
283,867557,320,3.6850899564645134,left,fixation,2.0,,418.10413580246905,301.994703703704,,,,,2.0,7.5201458167237085,34.033689413499225
284,867881,12,,left,saccade,3.0,,,,427.556,301.45099999999996,479.978,301.399,,,
285,867881,16,,right,saccade,3.0,69.0,,,418.098,339.6930000000001,475.476,342.13199999999995,,,
286,867897,228,3.663157894736842,left,fixation,3.0,,508.21755172413805,309.639189655172,,,,,0.0,,
287,867901,216,3.662749999999999,right,fixation,3.0,70.0,486.636654545454,335.265145454545,,,,,0.0,,
288,868121,20,,right,saccade,4.0,70.0,,,494.00699999999995,345.204,423.99699999999996,349.79699999999997,,,
289,868129,12,,left,saccade,4.0,,,,493.161,307.513,451.99,313.2870000000001,,,
290,868145,624,3.631759615384615,right,fixation,4.0,71.0,419.703324840764,358.584140127389,,,,,0.0,,
291,868145,628,3.631837579617834,left,fixation,4.0,,441.29111392404997,328.064341772152,,,,,1.0,4.5027554187531695,13.89447231815589
292,868773,16,,right,saccade,5.0,71.0,,,428.57300000000004,353.284,511.184,353.592,,,
293,868777,16,,left,saccade,5.0,,,,456.81199999999995,317.68,531.937,314.452,,,
294,868793,504,3.659678571428572,right,fixation,5.0,72.0,511.215362204724,355.74337795275596,,,,,1.0,5.718282400433835,35.21871891480442
295,868797,496,3.659798387096774,left,fixation,5.0,,530.524888,310.99824,,,,,1.0,4.3090053537781605,9.34982866153167
296,869297,20,,left,saccade,6.0,,,,516.347,316.2940000000001,462.24199999999996,334.01099999999997,,,
297,869301,12,,right,saccade,6.0,72.0,,,495.926,347.923,441.99800000000016,353.971,,,
298,869317,376,3.6840691489361697,right,fixation,6.0,73.0,423.74789473684194,351.964852631579,,,,,0.0,,
299,869321,376,3.6843031914893616,left,fixation,6.0,,445.0566526315789,323.258115789474,,,,,0.0,,
300,869697,24,,right,saccade,7.0,73.0,,,414.471,349.56,516.67,350.06199999999984,,,
301,869701,20,,left,saccade,7.0,,,,440.37699999999995,338.1790000000001,526.339,332.12199999999996,,,
302,869725,400,3.630835,left,fixation,7.0,,532.298495049505,315.59512871287103,,,,,1.0,3.304261028497038,8.173485486620711
303,869725,400,3.630835,right,fixation,7.0,74.0,515.539871287129,351.704128712871,,,,,1.0,5.000327394836802,11.002902571594491
304,870129,20,,left,saccade,8.0,,,,526.503,320.617,628.313,322.033,,,
305,870129,20,,right,saccade,8.0,74.0,,,521.023,352.025,613.001,347.968,,,
306,870153,1104,3.561920289855072,right,fixation,8.0,75.0,621.736415162456,348.442837545127,,,,,1.0,4.9127007083680425,12.672625379138989
307,870153,1108,3.5619837545126347,left,fixation,8.0,,636.347863309353,320.316848920864,,,,,2.0,5.7184359355164895,21.18040366896512
308,871261,20,,right,saccade,9.0,75.0,,,602.236,361.49199999999996,698.8760000000003,356.86400000000015,,,
309,871265,20,,left,saccade,9.0,,,,645.447,348.17,712.492,337.5780000000001,,,
310,871285,967,3.5912863070539425,right,fixation,9.0,76.0,718.020456790123,352.20452263374494,,,,,1.0,6.487341867051567,31.769592269967905
311,871289,967,3.5912883817427392,left,fixation,9.0,,736.865757201645,304.679572016461,,,,,1.0,7.7114515026535555,23.49241396706611
312,872256,20,,right,saccade,10.0,76.0,,,702.9730000000003,366.814,798.9739999999997,361.74800000000016,,,
313,872260,20,,left,saccade,10.0,,,,735.312,323.793,840.791,326.16,,,
314,872280,828,3.5667826086956524,right,fixation,10.0,77.0,827.378730769231,344.583759615384,,,,,1.0,4.507408460277115,12.364766273569266
315,872284,824,3.5666844660194177,left,fixation,10.0,,849.382946859903,330.658101449275,,,,,0.0,,
316,873112,20,,left,saccade,11.0,,,,867.434,345.139,769.164,347.316,,,
317,873112,20,,right,saccade,11.0,77.0,,,838.712,380.94199999999995,758.307,372.994,,,
318,873136,533,3.55069776119403,left,fixation,11.0,,750.3008805970151,329.915149253731,,,,,0.0,,
319,873136,533,3.55069776119403,right,fixation,11.0,78.0,738.836910447762,360.523029850747,,,,,1.0,3.835961856055305,8.656312205552608
320,873673,20,,left,saccade,12.0,,,,750.1060000000001,317.649,661.1160000000001,318.289,,,
321,873673,20,,right,saccade,12.0,78.0,,,737.0319999999997,352.483,655.7330000000002,362.025,,,
322,873697,291,3.557368055555555,left,fixation,12.0,,666.3725405405403,343.5585,,,,,0.0,,
323,873697,291,3.557368055555555,right,fixation,12.0,79.0,652.682270270271,364.261797297297,,,,,0.0,,
324,873992,28,,right,saccade,13.0,79.0,,,659.405,377.661,1043.704,355.648,,,
325,873992,36,,left,saccade,13.0,,,,670.939,341.98,1079.218,293.272,,,
326,874024,212,3.5263018867924525,right,fixation,13.0,80.0,1074.84787037037,326.509259259259,,,,,1.0,5.178069036276408,8.226291995790088
327,874032,200,3.52564,left,fixation,13.0,,1098.2038823529401,307.515274509804,,,,,1.0,4.822506681638107,14.209002779927822
328,874236,36,,left,saccade,14.0,,,,1098.057,318.079,673.735,327.949,,,
329,874240,36,,right,saccade,14.0,80.0,,,1070.768,337.639,666.903,343.916,,,
330,874276,232,3.561991379310344,left,fixation,14.0,,647.700271186441,330.28203389830503,,,,,1.0,5.489928822145371,22.422840141248802
331,874280,228,3.562543859649123,right,fixation,14.0,81.0,631.735034482758,344.245,,,,,1.0,4.734231986288796,13.725762528908882
332,874512,20,,left,saccade,15.0,,,,645.0930000000002,337.983,542.515,335.7290000000001,,,
333,874512,20,,right,saccade,15.0,81.0,,,621.461,345.93300000000005,515.6759999999998,360.162,,,
334,874536,268,3.6234402985074623,right,fixation,15.0,82.0,510.6677794117649,366.099044117647,,,,,0.0,,
335,874536,272,3.623816176470588,left,fixation,15.0,,526.350260869565,336.996347826087,,,,,1.0,4.839813609817779,9.528285155262711
336,874808,16,,right,saccade,16.0,82.0,,,513.886,364.491,444.824,363.421,,,
337,874812,8,,left,saccade,16.0,,,,507.6,351.51300000000015,474.13199999999995,345.452,,,
338,874824,136,3.6610011091393084,left,fixation,16.0,,440.865571428571,337.47242857142896,,,,,1.0,5.334153647851624,14.777170568143307
339,874828,136,3.6618901212658974,right,fixation,16.0,83.0,440.5014571428569,356.719914285714,,,,,0.0,,
340,874964,44,,left,saccade,17.0,,,,434.11300000000006,336.81699999999995,425.92699999999996,352.337,,,
341,874968,40,,right,saccade,17.0,83.0,,,437.595,351.00800000000015,478.629,299.17,,,
342,875132,16,,left,fixation,17.0,,426.2766,344.2856,,,,,0.0,,
343,875140,56,,right,fixation,17.0,84.0,489.203866666667,277.164066666667,,,,,1.0,8.612691804024529,26.322876742483878
344,875152,0,,left,saccade,18.0,,,,425.871,322.426,425.871,322.426,,,
345,875156,117,3.6612946859903377,left,fixation,18.0,,463.2048666666671,319.00566666666697,,,,,2.0,7.499465642934156,29.36462378805551
346,875200,8,,right,saccade,18.0,84.0,,,469.81,290.252,469.81,313.67,,,
347,875212,61,3.6612946859903377,right,fixation,18.0,85.0,475.8455625,351.80925,,,,,0.0,,
348,875277,12,,left,saccade,19.0,,,,480.598,340.539,525.269,323.556,,,
349,875277,16,,right,saccade,19.0,85.0,,,485.786,365.32800000000003,547.184,355.098,,,
350,875293,380,3.6913842105263153,left,fixation,19.0,,554.120083333333,324.20879166666697,,,,,0.0,,
351,875297,376,3.6919361702127658,right,fixation,19.0,86.0,552.344063157895,353.98769473684195,,,,,0.0,,
352,875677,16,,right,saccade,20.0,86.0,,,552.7719999999998,357.30400000000014,621.586,353.707,,,
353,875677,20,,left,saccade,20.0,,,,562.859,315.868,652.505,330.48199999999997,,,
354,875697,471,3.668876068376069,right,fixation,20.0,87.0,636.967722689075,349.431201680672,,,,,0.0,,
355,875701,471,3.6687521367521367,left,fixation,20.0,,658.014226890756,334.03437815126,,,,,0.0,,
356,876172,20,,right,saccade,21.0,87.0,,,653.9540000000002,352.467,747.3919999999997,359.17699999999996,,,
357,876176,20,,left,saccade,21.0,,,,666.9739999999998,351.213,771.1669999999997,324.853,,,
358,876196,368,3.6831644536874095,right,fixation,21.0,88.0,750.6711505376338,356.9149784946241,,,,,0.0,,
359,876200,360,3.683388338476532,left,fixation,21.0,,771.4421648351649,334.492813186813,,,,,1.0,10.139976342291057,25.01496356183634
360,876564,40,,left,saccade,22.0,,,,750.445,310.059,748.727,302.63,,,
