,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
70,542299,40,,left,saccade,1.0,,,,947.551,280.144,471.663,418.94800000000004,,,
71,542299,48,,right,saccade,1.0,17.0,,,948.507,265.914,473.722,414.32599999999996,,,
72,542343,681,3.36225730994152,left,fixation,1.0,,426.153099415205,404.381421052632,,,,,4.0,4.283098143889757,23.844559676195477
73,542351,673,3.362337278106508,right,fixation,1.0,18.0,461.64068047337304,423.522284023669,,,,,2.0,4.6160426474700165,26.760991955545762
74,543028,32,,left,saccade,2.0,,,,441.344,389.728,627.929,484.57599999999996,,,
75,543028,40,,right,saccade,2.0,18.0,,,473.24300000000005,421.106,673.35,491.962,,,
76,543064,267,3.3278880597014933,left,fixation,2.0,,659.570426470588,520.3680882352941,,,,,2.0,3.179852888360186,10.25502977250582
77,543072,259,3.3276769230769228,right,fixation,2.0,19.0,690.8944696969701,527.004863636364,,,,,1.0,4.299949825288667,10.729829914774976
78,543335,24,,left,saccade,3.0,,,,660.173,520.135,865.084,515.011,,,
79,543335,24,,right,saccade,3.0,19.0,,,693.1360000000003,532.081,896.706,525.354,,,
80,543363,300,3.379913333333333,left,fixation,3.0,,884.839513157895,510.343671052632,,,,,1.0,3.7516390492097926,4.3754008959180535
81,543363,300,3.379913333333333,right,fixation,3.0,20.0,914.4795526315787,519.9366447368419,,,,,1.0,6.027102991672074,16.75711490680899
86,544079,52,,left,saccade,4.0,,,,1155.772,243.842,436.515,565.651,,,
87,544083,48,,right,saccade,4.0,21.0,,,1176.402,251.232,419.531,548.638,,,
88,544135,324,3.3269320987654325,left,fixation,4.0,,430.101524390244,543.671012195122,,,,,2.0,7.593410019123143,29.239567863325
89,544135,324,3.3269320987654325,right,fixation,4.0,22.0,442.481329268293,561.606402439024,,,,,2.0,6.802604948228423,27.26883370540153
90,544463,52,,left,saccade,5.0,,,,458.287,523.726,1207.491,530.794,,,
91,544463,52,,right,saccade,5.0,22.0,,,478.81,536.49,1205.536,561.323,,,
92,544519,132,3.317166666666667,left,fixation,5.0,,1212.34170588235,531.591088235294,,,,,1.0,3.428495884171024,10.77420929813414
93,544519,140,3.3170428571428565,right,fixation,5.0,23.0,1223.0740277777802,538.593138888889,,,,,0.0,,
94,544655,12,,left,saccade,6.0,,,,1207.548,523.205,1156.68,521.711,,,
95,544663,4,,right,saccade,6.0,23.0,,,1188.223,533.5930000000002,1180.961,529.872,,,
96,544671,212,3.3255943396226413,left,fixation,6.0,,1136.6267777777805,517.104388888889,,,,,1.0,3.173454917138612,6.463936416766523
97,544671,212,3.3255943396226413,right,fixation,6.0,24.0,1162.17131481481,516.71637037037,,,,,1.0,3.167604948712969,6.046683223056988
98,544887,28,,left,saccade,7.0,,,,1127.694,523.486,1356.021,529.557,,,
99,544887,32,,right,saccade,7.0,24.0,,,1148.747,534.884,1383.73,529.933,,,
100,544919,256,3.2876640625,left,fixation,7.0,,1359.03289230769,515.282938461538,,,,,1.0,3.3415547695313585,9.918667047542165
101,544923,252,3.2872619047619045,right,fixation,7.0,25.0,1403.55375,503.31975,,,,,1.0,6.045963155050006,8.727033000968921
102,545179,36,,left,saccade,8.0,,,,1354.779,523.37,928.8739999999999,527.504,,,
103,545179,40,,right,saccade,8.0,25.0,,,1403.203,504.751,965.952,492.027,,,
104,545219,276,3.288644927536232,left,fixation,8.0,,922.8362428571428,503.863071428571,,,,,1.0,4.211549055210512,10.150411272455912
105,545223,272,3.2886691176470584,right,fixation,8.0,26.0,952.362985507246,517.112101449275,,,,,1.0,3.479353875202832,12.92037027333201
106,545499,32,,left,saccade,9.0,,,,925.368,497.519,586.2719999999998,487.751,,,
107,545499,36,,right,saccade,9.0,26.0,,,949.3430000000001,525.058,612.248,492.485,,,
108,545535,116,3.2640517241379303,left,fixation,9.0,,563.4929,464.1279,,,,,1.0,4.379337912921931,13.313281338573205
109,545539,108,3.263055555555556,right,fixation,9.0,27.0,591.20975,477.893571428571,,,,,1.0,3.9570287955597383,9.061953983551218
110,545651,20,,right,saccade,10.0,27.0,,,587.555,472.025,506.087,429.066,,,
111,545655,20,,left,saccade,10.0,,,,546.177,454.06199999999995,459.756,424.53,,,
112,545675,488,3.2640983606557383,right,fixation,10.0,28.0,461.840943089431,407.939723577236,,,,,4.0,5.222103554142863,18.616811872554628
113,545679,232,3.2564913793103454,left,fixation,10.0,,439.8444576271189,386.03771186440696,,,,,2.0,4.086940948134749,14.999728205153769
114,545915,0,,left,saccade,11.0,,,,447.176,393.61800000000005,447.176,393.61800000000005,,,
115,545919,244,3.2724262295081967,left,fixation,11.0,,392.38699999999994,377.513129032258,,,,,1.0,4.426508531311974,16.65286536905887
116,546167,32,,left,saccade,12.0,,,,395.914,379.68300000000005,690.1510000000003,445.957,,,
117,546167,32,,right,saccade,11.0,28.0,,,452.788,422.35699999999997,726.227,483.539,,,
118,546203,184,3.2838404255319147,left,fixation,12.0,,715.724872340425,487.290446808511,,,,,1.0,3.6632187728523458,12.999858653077755
119,546203,192,3.284530612244898,right,fixation,11.0,29.0,753.2355102040822,503.649653061224,,,,,2.0,9.810639438970034,26.257355705089807
120,546391,12,,left,saccade,13.0,,,,717.08,491.569,671.096,500.353,,,
121,546399,4,,right,saccade,12.0,29.0,,,710.529,512.168,705.9889999999997,512.3919999999998,,,
122,546407,644,3.328959375,left,fixation,13.0,,662.940598765432,522.640907407408,,,,,3.0,3.4482017530009106,10.789429783044245
123,546407,644,3.328959375,right,fixation,12.0,30.0,695.7380370370372,532.012117283951,,,,,1.0,3.36676577824409,18.881814849214056
