,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
108,10680811,44,,right,saccade,1.0,28.0,,,844.4169999999997,184.39,438.147,289.939,,,
109,10680815,36,,left,saccade,1.0,,,,850.165,250.84,450.05699999999996,330.316,,,
110,10680855,388,3.92325027480225,left,fixation,1.0,,429.820091836735,349.89983673469396,,,,,0.0,,
111,10680859,392,3.9237573708987363,right,fixation,1.0,29.0,425.97101010101,318.724565656566,,,,,0.0,,
112,10681247,40,,left,saccade,2.0,,,,433.816,363.024,575.805,366.715,,,
113,10681255,40,,right,saccade,2.0,29.0,,,423.06199999999995,320.592,561.0840000000002,313.814,,,
114,10681379,244,3.8935569013956517,right,fixation,2.0,30.0,566.70664516129,345.828629032258,,,,,1.0,10.882279423192742,32.23519016540773
115,10681387,620,3.8148729725687134,left,fixation,2.0,,574.932608974359,370.3829294871799,,,,,4.0,5.962382426321763,22.529721044818782
116,10681627,0,,right,saccade,3.0,30.0,,,555.5459999999998,309.4190000000001,555.5459999999998,309.4190000000001,,,
117,10681631,380,3.7821263157894736,right,fixation,3.0,31.0,567.346520833334,313.55784375,,,,,4.0,8.861613608375539,18.64892348919397
118,10682011,16,,left,saccade,3.0,,,,590.112,341.004,532.837,327.2920000000001,,,
119,10682015,8,,right,saccade,4.0,31.0,,,569.868,282.637,534.0369999999998,282.637,,,
120,10682027,136,3.6763088235294124,right,fixation,4.0,32.0,504.8284285714289,261.889971428572,,,,,0.0,,
121,10682031,132,3.6758181818181814,left,fixation,3.0,,520.059147058823,299.317088235294,,,,,0.0,,
122,10682167,28,,left,saccade,4.0,,,,510.461,293.505,698.086,296.625,,,
123,10682167,28,,right,saccade,5.0,32.0,,,514.544,268.38,705.0160000000003,283.957,,,
124,10682199,368,3.7481086956521743,right,fixation,5.0,33.0,733.1404731182788,324.678279569892,,,,,1.0,7.892513437499543,32.222256283506965
125,10682199,552,3.776445652173913,left,fixation,4.0,,736.645244604316,342.782647482015,,,,,2.0,7.079680901139524,21.809418614201693
126,10682571,8,,right,saccade,6.0,33.0,,,766.307,319.8540000000001,761.482,309.153,,,
127,10682583,164,3.834146341463415,right,fixation,6.0,34.0,745.708119047619,275.17319047619,,,,,0.0,,
128,10682751,24,,right,saccade,7.0,34.0,,,760.995,286.543,865.597,335.006,,,
129,10682755,20,,left,saccade,5.0,,,,769.8689999999997,361.538,845.549,370.477,,,
131,10682779,184,3.834271739130435,right,fixation,7.0,35.0,886.801553191489,332.527531914894,,,,,0.0,,
132,10682967,36,,right,saccade,8.0,35.0,,,884.91,329.18,563.274,292.2990000000001,,,
133,10682967,40,,left,saccade,6.0,,,,873.418,406.1,537.197,356.972,,,
134,10683007,240,3.800741666666666,right,fixation,8.0,36.0,524.534918032787,273.602245901639,,,,,0.0,,
135,10683011,236,3.800406779661016,left,fixation,5.0,,524.959333333333,334.394533333333,,,,,0.0,,
136,10683251,60,,right,saccade,9.0,36.0,,,518.85,282.8,1338.3829999999996,324.366,,,
137,10683251,64,,left,saccade,7.0,,,,519.729,332.869,1339.0870000000002,377.485,,,
138,10683315,748,3.872064171122995,right,fixation,9.0,37.0,1368.91008510638,314.556808510638,,,,,1.0,7.0550543839938715,23.38827407056807
139,10683319,744,3.872314516129032,left,fixation,6.0,,1358.8831978609599,345.018347593583,,,,,1.0,6.3209045524443495,25.264436763957445
