,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
51,3461382,52,,right,saccade,1.0,13.0,,,1422.61,172.238,678.91,291.079,,,
52,3461438,392,3.2545153061224488,left,fixation,1.0,,656.518878787879,289.769181818182,,,,,0.0,,
53,3461438,392,3.2545153061224488,right,fixation,1.0,14.0,652.3432929292929,331.983181818182,,,,,2.0,4.245748735627272,12.636080922713854
54,3461834,20,,left,saccade,1.0,,,,656.315,303.176,519.191,310.866,,,
55,3461834,20,,right,saccade,2.0,14.0,,,652.773,348.406,532.437,351.226,,,
56,3461858,324,3.20375572123848,left,fixation,2.0,,528.442073170732,312.952865853659,,,,,2.0,7.586350971414982,18.348512281768638
57,3461858,324,3.20375572123848,right,fixation,2.0,15.0,525.878487804878,352.768963414634,,,,,4.0,5.343888476338761,15.58619669477516
59,3462186,40,,right,saccade,3.0,15.0,,,554.563,376.07199999999995,520.227,321.029,,,
60,3462326,440,3.043907975460123,left,fixation,3.0,,490.006639639639,311.356567567568,,,,,3.0,7.7111800929774335,39.96342978367532
61,3462330,168,3.0293793103448285,right,fixation,3.0,16.0,534.609302325582,334.161534883721,,,,,1.0,9.704365481003332,58.46943356147718
62,3462502,4,,right,saccade,4.0,16.0,,,491.904,348.88,489.005,349.17199999999997,,,
63,3462510,256,3.047265625,right,fixation,4.0,17.0,465.315538461538,349.7792153846151,,,,,1.0,8.050526459665718,6.9545380867459325
64,3462770,24,,left,saccade,2.0,,,,457.876,316.795,663.075,304.05,,,
65,3462770,24,,right,saccade,5.0,17.0,,,458.29400000000004,336.45099999999996,696.3330000000003,324.72,,,
66,3462798,168,3.0089285714285707,right,fixation,5.0,18.0,707.176674418605,344.478744186046,,,,,1.0,3.272463347558116,7.539066255180478
67,3462798,472,2.9994915254237293,left,fixation,4.0,,739.384529411765,315.544411764706,,,,,4.0,7.560148009187921,22.38040685717605
68,3462970,8,,right,saccade,6.0,18.0,,,719.0039999999997,342.606,759.38,339.836,,,
69,3462982,280,2.9943714285714287,right,fixation,6.0,19.0,771.338563380281,344.53795774647904,,,,,5.0,3.982956007412668,12.907208720613895
70,3463266,20,,right,saccade,7.0,19.0,,,770.945,346.244,849.6080000000003,337.769,,,
71,3463274,8,,left,saccade,3.0,,,,790.362,322.421,813.8580000000003,322.033,,,
72,3463286,156,3.0037051282051275,left,fixation,5.0,,848.189975,320.17095,,,,,1.0,4.907145790126416,8.28003140090665
73,3463290,156,3.0040897435897436,right,fixation,7.0,20.0,863.39065,345.84605,,,,,2.0,3.7790534639083297,8.364288863614288
74,3463446,28,,left,saccade,4.0,,,,859.5239999999999,322.488,638.414,314.84,,,
75,3463450,24,,right,saccade,8.0,20.0,,,864.45,363.86199999999997,652.628,349.745,,,
76,3463478,304,3.066486842105264,right,fixation,8.0,21.0,640.469649350649,331.880012987013,,,,,2.0,4.1181545674654485,13.100258311040552
77,3463478,316,3.0672151898734183,left,fixation,6.0,,632.219725,297.2011375,,,,,3.0,9.4734989208662,12.33564826377864
78,3463786,12,,right,saccade,9.0,21.0,,,640.675,320.861,594.043,320.415,,,
79,3463798,0,,left,saccade,5.0,,,,580.145,284.535,580.145,284.535,,,
80,3463802,184,3.1058913043478262,right,fixation,9.0,22.0,558.557574468085,298.891170212766,,,,,2.0,6.662028599543415,19.3316924516874
81,3463802,188,3.105936170212765,left,fixation,7.0,,548.642375,287.223020833333,,,,,1.0,7.978775012145943,24.985106323567948
82,3463990,48,,right,saccade,10.0,22.0,,,554.303,289.16,1302.187,315.44,,,
83,3463994,44,,left,saccade,6.0,,,,527.635,283.83299999999997,1283.723,285.225,,,
84,3464042,1068,3.1563968401486986,left,fixation,8.0,,1352.4512798507499,275.67219402985,,,,,3.0,6.350361582609715,16.913915190178855
85,3464042,1068,3.1563968401486986,right,fixation,10.0,23.0,1368.03286567164,285.014686567165,,,,,5.0,4.740601713964539,19.0606186274353
