,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
86,3419689,60,,left,saccade,1.0,,,,1440.984,298.529,635.114,462.457,,,
87,3419689,60,,right,saccade,1.0,22.0,,,1432.442,267.566,629.586,432.36,,,
88,3419753,152,3.091986842105264,left,fixation,1.0,,610.845076923077,468.486512820513,,,,,2.0,3.425717386673398,12.522273472386976
89,3419753,152,3.091986842105264,right,fixation,1.0,23.0,609.111025641026,451.87717948717903,,,,,0.0,,
90,3419909,24,,left,saccade,2.0,,,,605.672,481.81300000000016,495.63300000000004,517.403,,,
91,3419909,24,,right,saccade,2.0,23.0,,,600.6619999999998,453.44,475.918,513.3969999999998,,,
92,3419937,120,3.0772,left,fixation,2.0,,491.387322580645,529.008870967742,,,,,0.0,,
93,3419937,120,3.0772,right,fixation,2.0,24.0,474.917935483871,522.749580645161,,,,,0.0,,
94,3420061,20,,left,saccade,3.0,,,,490.035,525.562,428.43699999999995,436.67,,,
95,3420061,20,,right,saccade,3.0,24.0,,,468.545,522.44,438.421,432.39599999999996,,,
96,3420085,1372,2.975250728862973,left,fixation,3.0,,442.716287790698,439.00888662790703,,,,,6.0,3.9779540354373832,25.48536702682752
97,3420085,1372,2.975250728862973,right,fixation,3.0,25.0,433.57941279069803,442.092316860465,,,,,6.0,5.071398100493097,18.891134205668052
102,3421801,44,,left,saccade,4.0,,,,417.399,711.654,364.12800000000004,389.569,,,
103,3421801,52,,right,saccade,4.0,26.0,,,370.22900000000004,717.4789999999997,369.93800000000016,375.745,,,
104,3421893,196,,right,fixation,4.0,27.0,397.8387,403.58614,,,,,1.0,6.7884515682476785,8.842604141314967
105,3421905,176,,left,fixation,4.0,,393.10044444444503,393.601,,,,,1.0,6.259052433165178,48.47985387766753
106,3422085,40,,left,saccade,5.0,,,,406.17199999999997,411.093,395.45099999999996,403.41,,,
107,3422093,40,,right,saccade,5.0,27.0,,,395.42699999999996,416.76599999999996,383.465,398.605,,,
108,3422237,1796,3.061794940088133,right,fixation,5.0,28.0,404.868473333333,441.43774222222197,,,,,6.0,4.9122884751133915,20.025011635845466
109,3422241,1788,3.061472942310564,left,fixation,5.0,,413.818511160714,437.3809665178569,,,,,7.0,4.541273327961295,24.72170644424399
110,3424033,20,,left,saccade,6.0,,,,415.10699999999997,441.277,459.435,511.80699999999996,,,
111,3424037,12,,right,saccade,6.0,28.0,,,422.04400000000004,460.286,453.599,497.043,,,
112,3424053,799,3.2014648241206034,right,fixation,6.0,29.0,453.91959203980105,462.551029850746,,,,,4.0,5.33104716649547,25.03909256098567
113,3424057,152,3.201473684210527,left,fixation,6.0,,485.701487179487,534.877,,,,,2.0,3.69356099695608,9.076138477543758
114,3424213,20,,left,saccade,7.0,,,,482.654,540.586,461.62199999999996,462.598,,,
115,3424237,2836,3.153536671368123,left,fixation,7.0,,423.292583098591,451.940250704225,,,,,7.0,6.479319703858943,30.60791381900497
116,3424856,0,,right,saccade,7.0,29.0,,,422.231,459.98800000000006,422.231,459.98800000000006,,,
117,3424860,2213,3.1403592057761736,right,fixation,7.0,30.0,409.20953068592087,445.907463898917,,,,,6.0,5.075717440766937,22.060139407410816
118,3427077,16,,left,saccade,8.0,,,,392.80699999999996,454.60400000000004,459.816,439.838,,,
119,3427077,16,,right,saccade,8.0,30.0,,,389.168,470.745,465.213,443.381,,,
