,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
114,10494168,28,,left,saccade,1.0,,,,719.425,514.181,497.903,580.956,,,
115,10494168,28,,right,saccade,1.0,30.0,,,730.307,519.908,504.756,572.951,,,
116,10494200,344,3.73643103448276,right,fixation,1.0,31.0,478.541643678161,604.802367816092,,,,,4.0,3.1948431286873933,11.031206373185274
117,10494200,696,3.727931428571428,left,fixation,1.0,,492.29195999999996,619.7265657142859,,,,,6.0,4.3290052556575445,17.258276823553558
118,10494548,16,,right,saccade,2.0,31.0,,,459.60900000000004,616.113,531.33,609.337,,,
119,10494568,844,3.717945238095238,right,fixation,2.0,32.0,477.423028301887,611.3028726415099,,,,,5.0,5.718484541027151,25.17321739990557
120,10494900,16,,left,saccade,2.0,,,,524.44,631.112,462.773,632.161,,,
121,10494920,492,3.7182868852459015,left,fixation,2.0,,443.244935483871,632.416419354839,,,,,8.0,2.920163413275993,10.103377235088946
122,10495416,20,,left,saccade,3.0,,,,414.225,638.789,507.025,633.372,,,
123,10495416,20,,right,saccade,3.0,32.0,,,419.522,601.724,510.344,605.001,,,
124,10495440,216,3.7308240740740732,left,fixation,3.0,,513.805363636364,628.8131090909089,,,,,1.0,2.9496910619777017,3.8873611872323055
125,10495440,216,3.7308240740740732,right,fixation,3.0,33.0,515.031163636364,610.305872727273,,,,,0.0,,
126,10495660,16,,right,saccade,4.0,33.0,,,518.305,612.0369999999998,504.25699999999995,690.069,,,
127,10495660,20,,left,saccade,4.0,,,,515.555,630.705,503.26599999999996,721.4910000000001,,,
128,10495680,152,3.7432368421052633,right,fixation,4.0,34.0,508.974076923077,708.1299487179491,,,,,1.0,3.058402982858161,4.188369730575232
129,10495684,152,3.743315789473685,left,fixation,4.0,,513.511897435897,735.849307692308,,,,,1.0,3.1604370346519888,12.486616995808001
130,10495836,24,,right,saccade,5.0,34.0,,,519.2909999999998,716.9780000000003,714.825,724.3760000000003,,,
131,10495840,20,,left,saccade,5.0,,,,515.837,733.0369999999997,678.323,726.878,,,
132,10495864,208,3.824182692307692,left,fixation,5.0,,690.7343773584911,727.322603773585,,,,,0.0,,
133,10495864,208,3.824182692307692,right,fixation,5.0,35.0,714.3839999999999,724.2628301886798,,,,,0.0,,
134,10496076,24,,left,saccade,6.0,,,,687.242,722.709,503.24800000000016,608.964,,,
135,10496076,28,,right,saccade,6.0,35.0,,,714.555,720.919,522.203,610.71,,,
136,10496104,208,3.8251415094339625,left,fixation,6.0,,509.007226415094,613.379283018868,,,,,1.0,2.819539683667813,8.375114088775039
137,10496108,204,3.8245288461538474,right,fixation,6.0,36.0,517.727423076923,599.602711538462,,,,,0.0,,
138,10496316,36,,right,saccade,7.0,36.0,,,507.462,600.153,983.2589999999999,706.2719999999997,,,
139,10496316,40,,left,saccade,7.0,,,,508.819,618.232,950.502,729.46,,,
140,10496356,284,3.896338028169014,right,fixation,7.0,37.0,967.536708333334,734.772125,,,,,3.0,2.639947103573427,8.18355147497153
141,10496360,284,3.8978661971830975,left,fixation,7.0,,962.245555555556,743.039194444444,,,,,2.0,2.761106826638059,9.624514921091892
142,10496644,28,,right,saccade,8.0,37.0,,,954.9010000000001,734.38,1200.7160000000001,736.165,,,
143,10496648,28,,left,saccade,8.0,,,,955.578,739.8430000000003,1182.5510000000004,738.6569999999997,,,
144,10496676,220,3.8942181818181814,right,fixation,8.0,38.0,1213.07196428571,719.503642857142,,,,,1.0,3.3583259884121768,12.059119785457046
145,10496680,216,3.893601851851852,left,fixation,8.0,,1191.89643636364,729.302690909091,,,,,1.0,2.5499943572921664,5.812802508257272
146,10496900,24,,left,saccade,9.0,,,,1196.438,727.6010000000001,1394.1370000000006,734.788,,,
147,10496900,24,,right,saccade,9.0,38.0,,,1222.488,720.24,1420.362,730.304,,,
148,10496928,456,3.768938596491228,left,fixation,9.0,,1405.6809130434801,734.189417391304,,,,,4.0,2.1405141523582105,6.403098040819247
149,10496928,456,3.768938596491228,right,fixation,9.0,39.0,1421.59727826087,732.713869565218,,,,,6.0,3.0082182238998647,10.748114810524864
150,10497388,56,,left,saccade,10.0,,,,1409.899,742.571,689.645,749.7639999999999,,,
151,10497388,56,,right,saccade,10.0,39.0,,,1440.109,728.5110000000003,698.7330000000003,726.08,,,
152,10497448,644,3.825593167701863,left,fixation,10.0,,707.346765432099,722.1728395061722,,,,,8.0,3.1595420076682066,17.891409639939226
153,10497448,644,3.825593167701863,right,fixation,10.0,40.0,713.1198148148151,721.1305061728391,,,,,4.0,4.574034572029354,27.35023923565884
154,10498096,20,,left,saccade,11.0,,,,728.75,691.947,587.837,708.063,,,
155,10498096,24,,right,saccade,11.0,40.0,,,721.605,702.5110000000003,576.875,705.072,,,
156,10498120,148,3.7859054054054044,left,fixation,11.0,,574.674605263158,716.8157368421049,,,,,4.0,2.4635495799045293,8.171379130990564
157,10498124,144,3.7855833333333333,right,fixation,11.0,41.0,574.186864864865,706.019810810811,,,,,0.0,,
158,10498272,20,,left,saccade,12.0,,,,580.509,721.1410000000003,699.1030000000003,711.549,,,
159,10498272,20,,right,saccade,12.0,41.0,,,576.135,700.541,704.918,698.637,,,
160,10498296,296,3.82841,left,fixation,12.0,,711.370493333334,698.6824799999997,,,,,4.0,2.043975959849332,6.260627636267582
161,10498296,296,3.82841,right,fixation,12.0,42.0,713.6974,693.241186666667,,,,,1.0,2.9156245995593144,22.17233016622283
