,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
414,2318458,28,,left,saccade,1.0,,,,727.595,603.7919999999998,501.147,690.0889999999997,,,
415,2318458,32,,right,saccade,1.0,109.0,,,725.327,597.918,454.02,715.5060000000003,,,
416,2318490,852,3.2813568075117368,left,fixation,1.0,,449.586140186916,738.1354906542059,,,,,1.0,13.203177399567261,43.17417344894973
417,2318494,844,3.281556872037915,right,fixation,1.0,110.0,414.519174528302,751.89745754717,,,,,3.0,9.833048440534393,25.862444624054998
418,2319342,20,,right,saccade,2.0,110.0,,,404.684,743.066,474.023,747.85,,,
419,2319346,20,,left,saccade,2.0,,,,441.902,756.138,520.388,742.898,,,
420,2319366,520,3.201176923076924,right,fixation,2.0,111.0,508.006557251908,756.2428320610692,,,,,2.0,4.96245109021208,15.933740907883324
421,2319370,524,3.201202290076336,left,fixation,2.0,,549.319022727273,740.858204545455,,,,,0.0,,
422,2319890,20,,right,saccade,3.0,111.0,,,506.529,779.8939999999999,604.054,779.8939999999999,,,
423,2319898,16,,left,saccade,3.0,,,,562.4590000000002,739.166,627.809,739.367,,,
424,2319914,412,3.240815533980584,right,fixation,3.0,112.0,609.233730769231,772.766865384615,,,,,3.0,6.8210099503272215,18.426984783611623
425,2319918,412,3.2408495145631075,left,fixation,3.0,,640.114788461539,750.989375,,,,,0.0,,
426,2320330,20,,right,saccade,4.0,112.0,,,604.31,781.9019999999997,697.3580000000003,777.079,,,
427,2320334,12,,left,saccade,4.0,,,,643.3580000000002,757.655,693.615,757.655,,,
428,2320350,380,3.1841368421052625,left,fixation,4.0,,737.421395833333,758.193697916667,,,,,2.0,5.542107768076907,11.368641872064838
429,2320354,372,3.1838333333333337,right,fixation,4.0,113.0,727.328372340426,765.5535319148938,,,,,0.0,,
430,2320730,20,,right,saccade,5.0,113.0,,,727.679,763.9960000000003,884.982,762.533,,,
431,2320734,20,,left,saccade,5.0,,,,744.1289999999997,758.289,854.45,756.605,,,
432,2320754,988,3.153681451612904,right,fixation,5.0,114.0,853.381399193548,765.960774193549,,,,,5.0,6.121202276574586,18.464421029646736
433,2320758,992,3.1540562248995982,left,fixation,5.0,,837.224606425703,748.632530120482,,,,,0.0,,
434,2321746,20,,right,saccade,6.0,114.0,,,861.052,765.195,771.075,762.115,,,
435,2321754,8,,left,saccade,6.0,,,,807.8710000000003,753.2610000000003,783.195,753.2610000000003,,,
436,2321766,624,3.2330612903225804,left,fixation,6.0,,747.905866242039,737.017828025478,,,,,0.0,,
437,2321770,616,3.2328137254901965,right,fixation,6.0,115.0,734.803580645162,760.7400387096768,,,,,0.0,,
438,2322390,20,,right,saccade,7.0,115.0,,,715.046,763.513,795.546,743.7239999999997,,,
439,2322394,20,,left,saccade,7.0,,,,749.8510000000001,720.132,812.159,717.812,,,
