,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
73,525241,24,,right,saccade,1.0,21.0,,,453.26800000000003,198.78400000000002,441.316,390.046,,,
74,525269,328,3.473267857142857,right,fixation,1.0,22.0,468.834614457831,386.754831325301,,,,,1.0,6.18865819687738,22.17742485050955
75,525269,332,3.473267857142857,left,fixation,1.0,,445.563595238095,365.89780952381005,,,,,2.0,6.069217618272796,22.212073915132084
76,525601,40,,right,saccade,2.0,22.0,,,506.246,383.163,505.722,390.593,,,
77,525605,40,,left,saccade,1.0,,,,488.07800000000003,398.855,501.765,398.50300000000004,,,
78,525753,216,3.4479791055718483,left,fixation,2.0,,515.707436363637,409.972163636364,,,,,0.0,,
79,525753,216,3.4479791055718483,right,fixation,2.0,23.0,528.464381818182,404.882072727273,,,,,0.0,,
80,525973,20,,left,saccade,2.0,,,,514.536,412.824,421.673,404.42199999999997,,,
81,525973,20,,right,saccade,3.0,23.0,,,526.172,384.959,437.793,384.80400000000003,,,
82,525997,1584,3.42120202020202,left,fixation,3.0,,433.104158690176,385.0509168765741,,,,,5.0,7.5209284604049405,28.048533331560737
83,525997,1584,3.42120202020202,right,fixation,3.0,24.0,453.70511335012606,388.89237531486197,,,,,5.0,6.756637378619404,24.450171847843137
84,527585,20,,left,saccade,3.0,,,,419.767,373.29699999999997,496.116,384.52,,,
85,527585,20,,right,saccade,4.0,24.0,,,446.79,399.931,538.0419999999998,395.286,,,
86,527609,312,3.4261202531645565,left,fixation,4.0,,515.004240506329,383.176632911392,,,,,0.0,,
87,527609,312,3.4261202531645565,right,fixation,4.0,25.0,533.770784810127,400.353987341772,,,,,0.0,,
88,527925,20,,left,saccade,4.0,,,,519.5419999999998,391.591,429.725,394.066,,,
89,527925,20,,right,saccade,5.0,25.0,,,538.411,402.459,441.86400000000003,405.414,,,
90,527949,1188,3.404481481481482,right,fixation,5.0,26.0,452.644825503356,399.604580536913,,,,,4.0,8.084231636202228,24.773330487239786
91,527949,1608,3.3907089552238814,left,fixation,5.0,,429.16690570719595,386.650595533498,,,,,3.0,5.2785832254642315,29.16786226784915
92,529141,0,,right,saccade,6.0,26.0,,,448.69,390.599,448.69,390.599,,,
93,529145,408,3.3516421568627446,right,fixation,6.0,27.0,438.86488349514605,388.261553398058,,,,,1.0,5.128232858402567,20.050347453348454
94,529557,20,,right,saccade,7.0,27.0,,,424.87,382.35400000000004,537.465,380.741,,,
95,529561,16,,left,saccade,5.0,,,,423.59,370.41900000000004,478.225,370.41900000000004,,,
96,529581,1012,3.3230748031496065,right,fixation,7.0,28.0,539.224311023622,387.65487401574796,,,,,0.0,,
97,529581,1016,3.3231372549019613,left,fixation,6.0,,526.151396078431,406.72709019607805,,,,,0.0,,
98,530597,24,,right,saccade,8.0,28.0,,,562.207,394.272,498.22900000000004,486.546,,,
99,530601,20,,left,saccade,6.0,,,,542.96,433.421,499.273,509.849,,,
100,530625,208,3.3554423076923077,left,fixation,7.0,,483.122547169811,512.7805849056599,,,,,0.0,,
101,530625,208,3.3554423076923077,right,fixation,8.0,29.0,472.972867924528,497.729566037736,,,,,0.0,,
102,530837,28,,left,saccade,7.0,,,,483.111,505.57,690.765,488.325,,,
103,530837,28,,right,saccade,9.0,29.0,,,474.116,505.29699999999997,737.084,491.11199999999997,,,
104,530869,464,3.3630431034482755,left,fixation,8.0,,718.161094017094,503.66776923077003,,,,,1.0,7.675034015487407,26.417017318387774
105,530869,468,3.362807692307692,right,fixation,9.0,30.0,749.538254237288,468.9076864406781,,,,,0.0,,
106,531337,28,,left,saccade,8.0,,,,734.967,484.827,520.986,469.10400000000004,,,
107,531341,28,,right,saccade,10.0,30.0,,,762.6360000000003,469.5,567.4209999999998,437.353,,,
108,531369,459,3.3483289473684215,left,fixation,9.0,,518.837181034483,435.478775862069,,,,,0.0,,
109,531373,444,3.3488288288288284,right,fixation,10.0,31.0,538.783303571429,393.462625,,,,,0.0,,
110,531820,16,,right,saccade,11.0,31.0,,,534.3340000000002,382.50199999999995,478.64,382.801,,,
111,531832,0,,left,saccade,9.0,,,,465.069,420.994,465.069,420.994,,,
112,531836,909,3.3115065789473683,left,fixation,10.0,,471.538460526316,408.919061403509,,,,,6.0,6.021975897647935,24.113039561769195
113,531840,709,3.3167640449438203,right,fixation,11.0,32.0,466.298235955056,380.65941011236,,,,,3.0,5.0641947421653395,15.375335965929553
114,532553,16,,right,saccade,12.0,32.0,,,470.715,376.12800000000004,527.955,382.745,,,
115,532573,176,3.289,right,fixation,12.0,33.0,535.853488888889,373.790111111111,,,,,0.0,,
116,532749,24,,left,saccade,10.0,,,,524.434,403.645,399.923,403.914,,,
117,532753,20,,right,saccade,13.0,33.0,,,534.743,376.417,402.73199999999997,388.30300000000005,,,
118,532777,476,3.293621848739496,left,fixation,11.0,,403.661,420.169366666666,,,,,0.0,,
119,532777,476,3.293621848739496,right,fixation,13.0,34.0,407.477783333333,392.2067,,,,,0.0,,
120,533257,20,,left,saccade,11.0,,,,382.577,397.73800000000006,487.98199999999997,386.657,,,
121,533257,20,,right,saccade,14.0,34.0,,,410.30199999999996,392.346,510.72900000000004,384.95300000000003,,,
122,533281,184,3.3276086956521738,left,fixation,12.0,,512.264936170213,383.123638297872,,,,,0.0,,
123,533281,184,3.3276086956521738,right,fixation,14.0,35.0,525.071361702128,383.245319148936,,,,,0.0,,
124,533469,24,,left,saccade,12.0,,,,526.585,396.89099999999996,653.9209999999998,419.173,,,
125,533469,24,,right,saccade,15.0,35.0,,,534.556,374.084,711.186,396.39300000000003,,,
126,533497,292,3.294123287671233,left,fixation,13.0,,699.854162162162,448.612716216216,,,,,3.0,5.975866942865593,20.73978306128173
127,533497,292,3.294123287671233,right,fixation,15.0,36.0,734.570743243243,440.40972972973,,,,,1.0,7.641824863865958,18.89134089999961
128,533792,28,,left,saccade,13.0,,,,722.727,450.912,948.0310000000001,482.18300000000005,,,
129,533792,28,,right,saccade,16.0,36.0,,,757.834,472.88599999999997,959.86,478.68199999999996,,,
130,533824,301,3.3455131578947364,left,fixation,14.0,,975.7571578947368,505.5967763157889,,,,,1.0,8.38650481593959,20.158588889106312
131,533824,301,3.3455131578947364,right,fixation,16.0,37.0,974.708328947369,489.013684210526,,,,,0.0,,
132,534129,24,,left,saccade,14.0,,,,989.3480000000001,527.107,1188.723,539.061,,,
133,534129,24,,right,saccade,17.0,37.0,,,985.471,497.815,1186.374,510.37,,,
134,534157,452,3.2628053097345133,left,fixation,15.0,,1208.94904385965,520.867368421053,,,,,0.0,,
135,534157,452,3.2628053097345133,right,fixation,17.0,38.0,1199.68595614035,505.8676666666671,,,,,0.0,,
136,534613,24,,left,saccade,15.0,,,,1215.5819999999999,517.918,1384.976,498.853,,,
137,534613,24,,right,saccade,18.0,38.0,,,1202.267,505.464,1400.5439999999999,525.351,,,
138,534641,299,3.3063716216216217,left,fixation,16.0,,1426.5967631579,489.110789473684,,,,,1.0,8.721149913030732,42.915474714839114
139,534641,303,3.3067200000000003,right,fixation,18.0,39.0,1423.0307662337698,510.972051948052,,,,,1.0,4.3186030695379465,19.806052913188
140,534944,60,,left,saccade,16.0,,,,1444.1629999999998,498.048,539.65,451.81,,,
141,534948,60,,right,saccade,19.0,39.0,,,1449.338,511.457,553.203,421.395,,,
142,535008,749,3.26509375,left,fixation,17.0,,494.443202127659,403.311,,,,,5.0,7.532746734646293,29.805423843992013
143,535012,745,3.264971698113208,right,fixation,19.0,40.0,505.88310695187204,387.120187165775,,,,,5.0,6.737295133356706,21.05259186535237
144,535761,40,,left,saccade,17.0,,,,465.593,383.029,440.111,390.608,,,
145,535761,40,,right,saccade,20.0,40.0,,,484.67800000000005,383.212,457.339,387.32,,,
146,535892,1136,3.3082802842877066,right,fixation,20.0,41.0,494.2646350877189,392.65184561403504,,,,,2.0,7.706659244006512,28.907113401383675
147,535896,1128,3.308141566945134,left,fixation,18.0,,485.207696113074,397.923975265017,,,,,4.0,7.046102025158572,22.058631213126997
148,537028,24,,left,saccade,18.0,,,,529.505,406.417,426.199,402.51300000000003,,,
149,537032,20,,right,saccade,21.0,41.0,,,526.721,371.515,451.24199999999996,381.089,,,
150,537056,1072,3.3583097014925376,right,fixation,21.0,42.0,443.094483271376,394.61080669144997,,,,,4.0,4.6703567790211205,13.338924622867045
151,537056,1452,3.3551446280991737,left,fixation,19.0,,456.246648351649,400.32413461538397,,,,,5.0,6.62407471048404,29.62621707984957
152,538132,12,,right,saccade,22.0,42.0,,,438.28,383.42900000000003,484.88199999999995,382.611,,,
153,538148,356,3.3446292134831466,right,fixation,22.0,43.0,522.591755555556,392.40192222222197,,,,,1.0,3.549015708615545,11.300211723680224
154,538508,32,,right,saccade,23.0,43.0,,,531.144,387.50800000000004,814.685,424.099,,,
155,538512,32,,left,saccade,19.0,,,,536.7330000000002,407.906,812.439,442.525,,,
156,538544,144,3.317263888888889,right,fixation,23.0,44.0,829.395621621621,457.920189189189,,,,,0.0,,
157,538548,148,3.3159729729729728,left,fixation,20.0,,816.813368421053,449.630473684211,,,,,0.0,,
158,538692,16,,right,saccade,24.0,44.0,,,832.373,469.99199999999996,766.794,477.099,,,
159,538700,8,,left,saccade,20.0,,,,788.5939999999997,451.778,765.743,458.30699999999996,,,
160,538712,188,3.3005744680851072,left,fixation,21.0,,738.700895833333,469.020916666667,,,,,0.0,,
161,538712,192,3.3004166666666666,right,fixation,24.0,45.0,743.508346938776,476.030897959184,,,,,1.0,4.24687654177882,6.2269804078701245
162,538904,32,,left,saccade,21.0,,,,725.91,464.458,540.561,412.11400000000003,,,
163,538908,24,,right,saccade,25.0,45.0,,,734.5980000000003,465.218,588.2869999999998,424.786,,,
164,538936,472,3.29971186440678,right,fixation,25.0,46.0,555.930932773109,392.692924369748,,,,,0.0,,
165,538940,644,3.2991086956521736,left,fixation,22.0,,513.104839506173,399.58287654321,,,,,1.0,7.974205115384366,25.431880170368814
166,539412,8,,right,saccade,26.0,46.0,,,547.599,386.966,513.4680000000002,386.966,,,
167,539424,164,3.299390243902439,right,fixation,26.0,47.0,488.81778571428595,385.020071428572,,,,,0.0,,
