,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
2,9038694,20,,left,saccade,1.0,,,,1381.825,177.78599999999997,1374.399,95.83200000000001,,,
3,9038694,20,,right,saccade,1.0,1.0,,,1354.8229999999999,174.299,1351.7479999999996,104.678,,,
4,9038718,360,3.4638719630709423,left,fixation,1.0,,1382.78561538462,72.3230549450549,,,,,1.0,8.033973945757504,62.8184937418909
5,9038718,360,3.4638719630709423,right,fixation,1.0,2.0,1356.2659010989,122.372230769231,,,,,1.0,4.156603507940301,10.259488924892784
10,9039278,16,,left,saccade,2.0,,,,496.68,201.59799999999998,487.32199999999995,125.339,,,
11,9039278,20,,right,saccade,2.0,3.0,,,491.39599999999996,201.31799999999998,476.39300000000003,131.876,,,
12,9039298,276,3.47663768115942,left,fixation,2.0,,491.01788571428597,142.3542,,,,,0.0,,
13,9039302,272,3.4759779411764717,right,fixation,2.0,4.0,478.65228985507287,147.65547826086902,,,,,0.0,,
14,9039578,20,,left,saccade,3.0,,,,483.289,161.33700000000005,481.094,231.696,,,
15,9039578,20,,right,saccade,3.0,4.0,,,467.723,146.105,471.829,260.319,,,
16,9039602,168,3.4176785714285707,left,fixation,3.0,,497.0436976744191,258.822906976744,,,,,0.0,,
17,9039602,168,3.4176785714285707,right,fixation,3.0,5.0,480.698395348837,263.370186046512,,,,,0.0,,
18,9039774,20,,left,saccade,4.0,,,,494.83099999999996,251.925,485.089,143.661,,,
19,9039774,20,,right,saccade,4.0,5.0,,,479.36,252.389,479.869,149.364,,,
20,9039798,484,3.453367768595041,left,fixation,4.0,,475.644131147541,152.551598360656,,,,,2.0,7.504763600524777,26.280889032233237
21,9039798,484,3.453367768595041,right,fixation,4.0,6.0,465.43631147540975,139.344770491803,,,,,1.0,10.350142737877784,60.25683769498697
22,9040286,16,,right,saccade,5.0,6.0,,,458.375,154.234,510.898,152.134,,,
23,9040286,20,,left,saccade,5.0,,,,467.346,154.96200000000005,532.538,145.096,,,
24,9040306,312,3.4911987179487176,right,fixation,5.0,7.0,522.7328734177211,127.16392405063299,,,,,1.0,5.320900012633631,13.182303781964743
25,9040310,304,3.491782894736842,left,fixation,5.0,,540.486558441558,135.533324675325,,,,,0.0,,
26,9040618,20,,left,saccade,6.0,,,,557.901,177.896,501.79900000000004,231.921,,,
27,9040622,24,,right,saccade,6.0,7.0,,,516.753,159.141,464.60699999999997,259.289,,,
28,9040642,500,3.454632,left,fixation,6.0,,505.24223809523806,248.35046825396802,,,,,1.0,5.6687760706248245,11.349956343528365
29,9040650,488,3.4546516393442617,right,fixation,6.0,8.0,472.07701626016296,257.62130894308996,,,,,0.0,,
30,9041142,32,,right,saccade,7.0,8.0,,,485.944,267.401,779.929,243.753,,,
31,9041146,28,,left,saccade,7.0,,,,526.8480000000002,239.104,814.7689999999999,241.52200000000002,,,
32,9041178,148,3.4379729729729727,left,fixation,7.0,,826.983368421053,227.481605263158,,,,,0.0,,
33,9041178,148,3.4379729729729727,right,fixation,7.0,9.0,803.098815789474,246.441684210526,,,,,0.0,,
34,9041330,20,,left,saccade,8.0,,,,828.145,230.357,967.944,240.535,,,
35,9041330,20,,right,saccade,8.0,9.0,,,820.949,253.201,948.002,259.85400000000004,,,
36,9041354,188,3.342927083333333,left,fixation,8.0,,977.291979166666,256.8315625,,,,,0.0,,
37,9041354,188,3.342927083333333,right,fixation,8.0,10.0,951.354625,258.403729166667,,,,,0.0,,
38,9041546,24,,left,saccade,9.0,,,,979.3489999999999,276.23900000000003,1224.9089999999999,267.65,,,
39,9041546,28,,right,saccade,9.0,10.0,,,945.926,256.413,1219.915,251.533,,,
40,9041574,372,3.2268804347826086,left,fixation,9.0,,1223.51075531915,250.297787234042,,,,,1.0,7.4825444962852385,25.015143133710065
41,9041578,368,3.226291208791209,right,fixation,9.0,11.0,1204.59546236559,274.93886021505404,,,,,1.0,8.008788783441464,56.35210445937216
42,9041950,24,,left,saccade,10.0,,,,1231.57,234.067,1378.259,245.94400000000002,,,
43,9041950,24,,right,saccade,10.0,11.0,,,1191.315,287.767,1359.634,293.85,,,
44,9041978,228,3.2107105263157885,left,fixation,10.0,,1411.13794827586,240.57774137931,,,,,1.0,5.095860795783175,13.341243795088994
45,9041978,228,3.2107105263157885,right,fixation,10.0,12.0,1393.48865517241,255.449844827586,,,,,1.0,5.338600029762292,18.005151512831052
46,9042210,52,,left,saccade,11.0,,,,1425.586,257.828,577.7869999999998,172.56900000000005,,,
47,9042210,52,,right,saccade,11.0,12.0,,,1409.1660000000006,264.545,579.342,187.453,,,
48,9042266,300,3.2211733333333337,left,fixation,11.0,,541.352407894737,159.621736842105,,,,,0.0,,
49,9042266,300,3.2211733333333337,right,fixation,11.0,13.0,539.8971447368419,153.279486842105,,,,,2.0,7.3548481995833574,21.773178536159037
50,9042570,20,,left,saccade,12.0,,,,531.998,143.44,430.07599999999996,131.507,,,
51,9042570,20,,right,saccade,12.0,13.0,,,535.763,175.484,437.631,174.399,,,
52,9042594,528,3.256545112781955,right,fixation,12.0,14.0,404.653992481203,147.767706766917,,,,,2.0,8.626062907617086,20.190433034001046
53,9042594,848,3.266546948356808,left,fixation,12.0,,422.911244131455,134.407187793427,,,,,1.0,10.357518989174526,48.232559500818596
54,9043126,0,,right,saccade,13.0,14.0,,,421.879,127.219,421.879,127.219,,,
55,9043130,308,3.2828766233766227,right,fixation,13.0,15.0,446.33119230769205,146.21965384615402,,,,,0.0,,
56,9043442,20,,right,saccade,14.0,15.0,,,441.059,135.484,458.216,219.77700000000002,,,
57,9043446,16,,left,saccade,13.0,,,,451.025,139.455,470.25800000000004,197.132,,,
58,9043466,552,3.2995543478260867,left,fixation,13.0,,482.222964028777,235.537352517986,,,,,0.0,,
59,9043466,552,3.2995543478260867,right,fixation,14.0,16.0,468.25547482014395,218.885374100719,,,,,0.0,,
60,9044022,20,,right,saccade,15.0,16.0,,,478.397,213.69299999999998,449.714,331.996,,,
61,9044022,24,,left,saccade,14.0,,,,473.32300000000004,217.22,437.69599999999997,325.77299999999997,,,
