,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
9,1966286,28,,right,saccade,1.0,3.0,,,621.17,254.607,452.045,185.38299999999998,,,
11,1966318,2176,3.03310294117647,right,fixation,1.0,4.0,454.52932844036695,167.397555963303,,,,,6.0,8.164930662714836,26.32077111299481
12,1968498,20,,right,saccade,2.0,4.0,,,470.81699999999995,228.025,456.065,134.019,,,
13,1968498,24,,left,saccade,1.0,,,,515.906,264.642,478.789,138.484,,,
14,1968522,156,3.142243589743589,right,fixation,2.0,5.0,437.68305,128.268775,,,,,0.0,,
15,1968526,156,3.14324358974359,left,fixation,1.0,,482.47045,131.981975,,,,,0.0,,
16,1968682,28,,right,saccade,3.0,5.0,,,421.935,123.071,711.7289999999997,196.987,,,
17,1968686,24,,left,saccade,2.0,,,,489.963,126.71700000000001,739.607,222.274,,,
18,1968714,228,3.105818965517241,right,fixation,3.0,6.0,721.762827586207,206.84055172413798,,,,,0.0,,
19,1968714,232,3.1054915254237287,left,fixation,2.0,,755.925677966102,242.920694915254,,,,,0.0,,
20,1968946,24,,right,saccade,4.0,6.0,,,733.7330000000003,221.16400000000002,911.9110000000001,232.33900000000003,,,
21,1968950,24,,left,saccade,3.0,,,,754.0239999999999,245.75,974.1460000000001,238.09900000000002,,,
22,1968974,744,3.0578342245989303,right,fixation,4.0,7.0,941.4244545454559,216.49255080213902,,,,,2.0,4.995466486712703,15.837574018353006
23,1968978,736,3.057743243243243,left,fixation,3.0,,973.371383783785,240.50227027027,,,,,0.0,,
