,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
208,20780836,56,,left,saccade,1.0,,,,1414.247,576.597,371.298,738.1160000000001,,,
209,20780836,56,,right,saccade,1.0,51.0,,,1438.729,556.933,433.97,774.952,,,
210,20780896,472,3.3332372881355936,left,fixation,1.0,,378.031596638655,687.005487394958,,,,,0.0,,
211,20780896,1596,3.34934375,right,fixation,1.0,52.0,397.83833,756.5787124999989,,,,,1.0,6.5535476609577135,16.017874078665916
212,20781372,12,,left,saccade,2.0,,,,364.07099999999997,649.045,366.376,697.049,,,
213,20781388,612,3.3486915584415584,left,fixation,2.0,,394.319357142857,681.90725974026,,,,,0.0,,
214,20782004,4,,left,saccade,3.0,,,,395.629,645.946,393.827,660.808,,,
215,20782012,480,3.3658,left,fixation,3.0,,391.016272727273,666.009917355373,,,,,1.0,18.20212515751938,58.1107604923563
216,20782496,24,,left,saccade,4.0,,,,384.219,671.398,448.774,788.68,,,
217,20782496,24,,right,saccade,2.0,52.0,,,397.45099999999996,761.2560000000003,471.403,866.816,,,
218,20782524,480,3.4071208333333334,right,fixation,2.0,53.0,469.037239669421,863.6230826446291,,,,,1.0,14.503609969207302,36.132305434334
219,20782524,488,3.407659836065574,left,fixation,4.0,,476.837853658536,800.412544715446,,,,,0.0,,
220,20783008,28,,right,saccade,3.0,53.0,,,501.921,846.779,738.044,883.4989999999997,,,
221,20783016,24,,left,saccade,5.0,,,,501.096,815.6610000000003,678.289,793.46,,,
223,20783044,352,3.4141931818181814,left,fixation,5.0,,692.186910112359,806.843764044944,,,,,0.0,,
224,20783400,24,,right,saccade,4.0,54.0,,,743.937,897.562,944.0930000000001,878.245,,,
225,20783400,28,,left,saccade,6.0,,,,723.173,830.1089999999997,915.209,825.934,,,
226,20783428,256,3.4308671875,right,fixation,3.0,55.0,969.1241846153847,875.971215384615,,,,,0.0,,
227,20783432,248,3.4310806451612903,left,fixation,6.0,,924.139777777778,821.1784761904761,,,,,0.0,,
228,20783684,24,,left,saccade,7.0,,,,925.65,831.275,726.2460000000003,817.1439999999999,,,
229,20783688,20,,right,saccade,5.0,55.0,,,974.697,858.852,773.857,861.798,,,
230,20783712,1288,3.4324164086687303,left,fixation,7.0,,712.607947368421,808.0187554179581,,,,,0.0,,
232,20785004,28,,right,saccade,6.0,56.0,,,737.41,885.743,955.571,868.076,,,
233,20785004,32,,left,saccade,8.0,,,,698.813,817.8589999999997,891.2660000000003,783.176,,,
234,20785036,176,3.4068068181818183,right,fixation,4.0,57.0,959.071133333333,870.7042444444438,,,,,0.0,,
235,20785040,172,3.406627906976744,left,fixation,8.0,,922.493113636364,791.879159090909,,,,,0.0,,
236,20785216,44,,left,saccade,9.0,,,,925.426,785.934,367.074,695.8580000000003,,,
237,20785216,48,,right,saccade,7.0,57.0,,,981.413,870.324,378.959,772.867,,,
238,20785264,424,3.3974528301886786,left,fixation,9.0,,371.15008411214995,672.068906542056,,,,,0.0,,
239,20785268,140,3.3926142857142856,right,fixation,5.0,58.0,362.954888888889,762.366027777778,,,,,0.0,,
240,20785412,8,,right,saccade,8.0,58.0,,,351.006,763.2130000000003,386.027,764.078,,,
241,20785424,260,3.3996538461538464,right,fixation,6.0,59.0,395.8095,725.564636363637,,,,,0.0,,
242,20785688,44,,right,saccade,9.0,59.0,,,398.1,757.071,977.245,879.932,,,
243,20785692,44,,left,saccade,10.0,,,,387.074,689.7560000000003,945.918,789.925,,,
244,20785736,508,3.360523622047244,right,fixation,7.0,60.0,987.8098125,869.74315625,,,,,0.0,,
245,20785740,532,3.359150375939848,left,fixation,10.0,,943.7863880597008,812.81371641791,,,,,0.0,,
246,20786248,0,,right,saccade,10.0,60.0,,,991.6389999999999,865.914,991.6389999999999,865.914,,,
247,20786252,20,3.338,right,fixation,8.0,61.0,992.3535,850.274333333333,,,,,0.0,,
248,20786276,24,,left,saccade,11.0,,,,935.62,802.454,1154.835,811.148,,,
249,20786276,24,,right,saccade,11.0,61.0,,,993.818,846.658,1228.387,863.942,,,
250,20786304,996,3.3093232931726915,left,fixation,11.0,,1189.477028,824.323052,,,,,0.0,,
251,20786304,1000,3.3095860000000004,right,fixation,9.0,62.0,1223.66156573705,870.3366374502,,,,,0.0,,
252,20787304,52,,left,saccade,12.0,,,,1179.156,827.1289999999997,390.741,668.5360000000003,,,
253,20787308,48,,right,saccade,12.0,62.0,,,1231.386,858.967,422.276,766.9730000000003,,,
254,20787360,336,3.3855773809523813,left,fixation,12.0,,386.46638823529406,660.175835294118,,,,,0.0,,
255,20787360,336,3.3855773809523813,right,fixation,10.0,63.0,410.492823529412,764.6030235294119,,,,,0.0,,
256,20787700,44,,right,saccade,13.0,63.0,,,406.754,772.633,1195.249,835.82,,,
257,20787700,48,,left,saccade,13.0,,,,401.042,693.775,1111.116,780.829,,,
258,20787748,444,3.3599129464285715,right,fixation,11.0,64.0,1205.7923928571402,867.083982142857,,,,,0.0,,
259,20787752,444,3.359484375,left,fixation,13.0,,1167.89683035714,815.393116071429,,,,,0.0,,
