,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
190,3929273,40,,right,saccade,1.0,49.0,,,721.268,505.319,417.026,686.3539999999998,,,
191,3929277,36,,left,saccade,1.0,,,,719.454,556.74,443.38300000000004,725.173,,,
192,3929317,476,3.6386100287448095,right,fixation,1.0,50.0,408.645608333333,684.142916666667,,,,,4.0,2.3961720097896286,12.284008204602443
193,3929317,480,3.6386100287448095,left,fixation,1.0,,410.23011570248,706.67873553719,,,,,3.0,3.884122295083503,12.952101447166363
195,3929801,52,,left,saccade,2.0,,,,397.769,683.663,353.36,714.88,,,
196,3929961,236,3.7456744152676142,left,fixation,2.0,,391.890066666667,696.918366666667,,,,,4.0,3.447509016076612,21.032101139218568
197,3929989,212,3.7449230232882433,right,fixation,2.0,51.0,408.416814814815,660.5824629629631,,,,,4.0,4.6488513022168805,27.730509914144275
198,3930201,20,,left,saccade,3.0,,,,401.23400000000004,701.262,439.515,792.865,,,
199,3930205,20,,right,saccade,2.0,51.0,,,413.077,678.4580000000002,463.649,747.168,,,
200,3930225,320,3.704375,left,fixation,3.0,,493.747049382716,828.064888888889,,,,,1.0,4.299397377023351,31.081130513544625
201,3930229,320,3.704225,right,fixation,3.0,52.0,491.208098765432,775.514148148148,,,,,3.0,3.2242026191083077,15.933034151869151
202,3930549,28,,left,saccade,4.0,,,,510.316,836.78,433.63699999999994,736.305,,,
203,3930553,20,,right,saccade,3.0,52.0,,,480.908,766.669,439.334,696.997,,,
204,3930577,1240,3.8060671033711455,right,fixation,4.0,53.0,401.300983922829,667.934173633442,,,,,8.0,2.303882082427444,7.248930526706038
205,3930581,1244,3.806413019079685,left,fixation,4.0,,413.673112179487,701.3518205128212,,,,,4.0,4.507718728518691,9.504538159481143
206,3931821,64,,right,saccade,4.0,53.0,,,390.23400000000004,660.21,489.17900000000003,740.078,,,
207,3931829,44,,left,saccade,5.0,,,,385.43300000000005,725.6080000000003,465.969,822.802,,,
208,3931997,372,3.8990388563049847,left,fixation,5.0,,499.15493617021286,810.2866382978723,,,,,2.0,5.177201839828383,27.710785790934573
209,3932033,332,3.8992362146050663,right,fixation,5.0,54.0,478.531321428572,783.089404761905,,,,,4.0,3.3240105695105644,20.246243344261693
210,3932369,20,,right,saccade,5.0,54.0,,,471.17,780.946,415.441,714.04,,,
211,3932373,12,,left,saccade,6.0,,,,471.087,799.2360000000001,440.129,758.326,,,
212,3932389,763,3.879868421052632,left,fixation,6.0,,421.33725520833394,708.889546875,,,,,2.0,2.4394289791511303,6.257557119039509
213,3932393,755,3.8796515957446815,right,fixation,6.0,55.0,392.89142631578903,685.142957894737,,,,,2.0,2.3609888314748813,9.941188273559659
214,3933152,40,,right,saccade,6.0,55.0,,,380.51599999999996,677.309,731.3610000000001,749.102,,,
215,3933156,36,,left,saccade,7.0,,,,420.07599999999996,705.3839999999999,724.6030000000003,792.4789999999997,,,
216,3933196,729,3.9153661202185774,left,fixation,7.0,,747.309699453552,819.008595628415,,,,,3.0,5.589484984773816,25.647979294701106
217,3933196,729,3.9153661202185774,right,fixation,7.0,56.0,735.644748633879,794.275480874317,,,,,9.0,2.672864051517972,11.21333536301471
218,3933929,32,,left,saccade,8.0,,,,744.7360000000001,822.887,935.4789999999999,823.084,,,
219,3933929,32,,right,saccade,7.0,56.0,,,734.4780000000003,797.938,928.341,783.552,,,
220,3933965,447,3.9641306306306316,right,fixation,8.0,57.0,954.5760884955761,783.291407079645,,,,,2.0,2.2849728594891427,10.232992119305015
221,3933965,451,3.9641071428571433,left,fixation,8.0,,963.0834473684199,807.989456140351,,,,,3.0,2.8452172011058017,11.133656404264558
222,3934416,32,,right,saccade,8.0,57.0,,,963.206,794.7510000000003,1188.9489999999996,794.625,,,
223,3934420,32,,left,saccade,9.0,,,,979.92,816.6339999999999,1173.754,820.565,,,
224,3934452,956,3.854671548117155,right,fixation,9.0,58.0,1201.3762458333301,790.45575,,,,,1.0,1.456069719408293,3.3840539298303813
225,3934456,948,3.854227848101266,left,fixation,9.0,,1180.25319747899,816.4316638655458,,,,,3.0,2.9537536999474057,8.990904621301661
226,3935408,60,,left,saccade,10.0,,,,1163.323,808.942,471.462,697.245,,,
227,3935412,56,,right,saccade,9.0,58.0,,,1185.381,777.655,459.565,671.087,,,
228,3935472,481,3.915805785123967,left,fixation,10.0,,421.939933884298,680.9203223140499,,,,,3.0,3.0013750288370957,12.519126459271426
229,3935472,481,3.915805785123967,right,fixation,10.0,59.0,412.85714876032995,657.1430578512391,,,,,3.0,2.6734759994202584,16.128341514798695
230,3935957,48,,left,saccade,11.0,,,,439.361,698.385,1091.27,754.07,,,
231,3935957,52,,right,saccade,10.0,59.0,,,398.077,659.6010000000001,1126.931,743.89,,,
232,3936009,1252,3.8469712460063885,left,fixation,11.0,,1176.2250477707,799.33477388535,,,,,3.0,4.730471313169921,25.59680352272659
233,3936013,1248,3.8467676282051277,right,fixation,11.0,60.0,1198.145514377,766.709115015974,,,,,9.0,3.8639872378476934,23.81026471730215
234,3937265,28,,left,saccade,12.0,,,,1192.858,766.215,1404.93,795.065,,,
235,3937265,32,,right,saccade,11.0,60.0,,,1219.8310000000001,718.03,1408.521,779.409,,,
236,3937297,479,3.8071008403361337,left,fixation,12.0,,1434.10461983471,813.5101074380168,,,,,2.0,3.5228288283081035,11.040156990017367
237,3937301,479,3.807302521008404,right,fixation,12.0,61.0,1438.13388429752,796.5409421487599,,,,,1.0,2.492006465124556,7.621290245096347
