,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
72,19891997,56,,left,saccade,1.0,,,,1203.538,228.428,521.994,420.968,,,
73,19892001,52,,right,saccade,1.0,19.0,,,1195.316,250.356,528.328,453.334,,,
74,19892057,557,3.226714285714286,left,fixation,1.0,,499.0957,456.1727214285711,,,,,0.0,,
75,19892057,561,3.2264148936170214,right,fixation,1.0,20.0,485.920156028369,466.70370212766,,,,,3.0,5.044682967337151,13.152336439487971
76,19892618,24,,left,saccade,2.0,,,,485.042,471.759,446.25,364.287,,,
77,19892622,20,,right,saccade,2.0,20.0,,,470.894,488.10900000000004,440.73400000000004,408.371,,,
78,19892646,80,,right,fixation,2.0,21.0,441.8173333333329,388.476571428571,,,,,0.0,,
79,19892646,84,,left,fixation,2.0,,445.851545454545,358.24831818181815,,,,,0.0,,
82,19892870,807,3.2134067785412266,left,fixation,3.0,,501.945137931034,360.021128078818,,,,,2.0,8.240825062784428,27.41049780323308
83,19892870,807,3.2134067785412266,right,fixation,3.0,22.0,494.83568965517304,371.092403940886,,,,,2.0,6.7612963707543985,33.22056787623839
84,19893681,20,,left,saccade,3.0,,,,525.087,365.20599999999996,510.561,467.36199999999997,,,
85,19893681,20,,right,saccade,3.0,22.0,,,523.221,394.29900000000004,516.595,489.19699999999995,,,
86,19893705,220,3.1569636363636366,right,fixation,4.0,23.0,505.449125,492.5545,,,,,0.0,,
87,19893705,224,3.157410714285714,left,fixation,4.0,,503.127192982456,477.92103508771896,,,,,0.0,,
88,19893929,44,,right,saccade,4.0,23.0,,,500.767,494.52,923.03,479.865,,,
89,19893933,40,,left,saccade,4.0,,,,503.101,480.501,926.197,454.80699999999996,,,
90,19893977,268,3.2051417910447766,left,fixation,5.0,,944.412367647059,470.193941176471,,,,,1.0,3.5757759220125167,6.294388373781841
91,19893977,268,3.2051417910447766,right,fixation,5.0,24.0,926.279323529412,486.226544117647,,,,,0.0,,
92,19894249,36,,left,saccade,5.0,,,,952.439,482.288,1155.761,470.54400000000004,,,
93,19894249,36,,right,saccade,5.0,24.0,,,942.823,487.991,1137.712,481.426,,,
94,19894289,360,3.1547055555555565,right,fixation,6.0,25.0,1170.83589010989,489.43876923077005,,,,,2.0,3.3223751069597403,9.231838694288287
95,19894289,364,3.1544945054945064,left,fixation,6.0,,1175.60527173913,487.787163043478,,,,,1.0,3.5759419932220395,26.37742953739041
96,19894653,32,,right,saccade,6.0,25.0,,,1180.673,502.349,1426.433,500.288,,,
97,19894657,28,,left,saccade,6.0,,,,1194.002,495.015,1425.23,487.73900000000003,,,
98,19894689,632,3.155569182389937,left,fixation,7.0,,1440.27973584906,477.3512578616349,,,,,1.0,3.2857999406537277,14.584740827316582
99,19894689,636,3.15565625,right,fixation,7.0,26.0,1427.1618625,485.98695625,,,,,0.0,,
100,19895325,60,,left,saccade,7.0,,,,1425.0529999999999,472.345,548.151,387.959,,,
101,19895329,60,,right,saccade,7.0,26.0,,,1415.021,488.668,522.695,386.777,,,
102,19895389,184,3.2190869565217386,left,fixation,8.0,,535.746106382979,381.857340425532,,,,,1.0,4.286253754737342,7.740562834833074
103,19895393,180,3.219388888888889,right,fixation,8.0,27.0,515.141304347826,395.869,,,,,0.0,,
104,19895577,16,,right,saccade,8.0,27.0,,,514.625,388.733,508.38199999999995,457.134,,,
105,19895577,20,,left,saccade,8.0,,,,533.619,393.717,525.241,461.76099999999997,,,
106,19895597,140,3.2381714285714285,right,fixation,9.0,28.0,516.372722222222,484.82497222222196,,,,,0.0,,
107,19895601,140,3.2381000000000006,left,fixation,9.0,,521.697722222222,475.35847222222196,,,,,0.0,,
108,19895741,16,,right,saccade,9.0,28.0,,,500.849,490.385,489.255,419.75300000000004,,,
109,19895745,0,,left,saccade,9.0,,,,505.67900000000003,459.914,505.67900000000003,459.914,,,
110,19895749,560,3.2745,left,fixation,10.0,,524.883836879433,372.65429787234,,,,,1.0,8.008078360491831,51.37937767236969
111,19895761,548,3.2749744525547446,right,fixation,10.0,29.0,504.943014492754,378.30747101449305,,,,,1.0,5.487395238179966,30.95003600967217
112,19896313,60,,left,saccade,10.0,,,,530.764,357.61699999999996,1417.007,427.046,,,
113,19896313,60,,right,saccade,10.0,29.0,,,517.376,375.474,1413.461,444.28,,,
114,19896377,296,3.1664864864864866,left,fixation,11.0,,1432.03766666667,455.441693333333,,,,,0.0,,
115,19896377,300,3.166526666666667,right,fixation,11.0,30.0,1425.95048684211,447.2665,,,,,0.0,,
116,19896677,44,,left,saccade,11.0,,,,1441.0339999999999,455.348,1040.921,454.144,,,
117,19896681,40,,right,saccade,11.0,30.0,,,1414.731,466.68300000000005,1013.584,469.105,,,
118,19896725,256,3.1371484375,left,fixation,12.0,,994.858353846154,498.297046153846,,,,,2.0,7.1919479367294405,31.448666931148477
119,19896725,256,3.1371484375,right,fixation,12.0,31.0,975.371276923077,505.369030769231,,,,,1.0,8.639262844710757,50.53499882259817
120,19896985,36,,left,saccade,12.0,,,,955.903,511.705,760.563,361.885,,,
121,19896985,36,,right,saccade,12.0,31.0,,,937.039,512.732,750.882,379.43800000000016,,,
122,19897025,52,3.1819615384615383,left,fixation,13.0,,739.627285714286,349.316285714286,,,,,1.0,3.848456967120453,6.198756165554519
123,19897025,52,3.1819615384615383,right,fixation,13.0,32.0,731.181071428571,365.1895,,,,,1.0,4.171232554986341,17.744657618562275
