,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
124,7911968,52,,left,saccade,1.0,,,,1342.925,295.678,662.696,401.907,,,
126,7912024,112,3.5382857142857143,left,fixation,1.0,,647.685275862069,413.914482758621,,,,,1.0,4.454377961935601,13.387715637852414
127,7912024,116,3.538465517241379,right,fixation,1.0,32.0,619.658866666667,403.8885666666671,,,,,2.0,2.8653764282452237,8.92714872327765
128,7912140,28,,left,saccade,2.0,,,,637.138,415.74800000000016,491.075,432.711,,,
129,7912144,20,,right,saccade,1.0,32.0,,,616.067,414.59,474.36300000000006,438.85,,,
130,7912168,88,,right,fixation,2.0,33.0,462.368695652174,443.444391304348,,,,,1.0,5.251631495174736,15.120096428263945
131,7912172,80,,left,fixation,2.0,,485.645904761905,438.140857142857,,,,,1.0,2.1520802145830737,5.977350332714293
132,7912256,40,,left,saccade,3.0,,,,484.754,437.458,487.79900000000004,443.423,,,
133,7912260,40,,right,saccade,2.0,33.0,,,461.158,461.564,477.10699999999997,465.708,,,
134,7912396,80,,left,fixation,3.0,,509.3653333333329,462.743714285714,,,,,1.0,6.519515362015453,20.878324262258264
135,7912400,68,,right,fixation,3.0,34.0,484.1220555555549,473.366611111111,,,,,0.0,,
136,7912472,20,,right,saccade,3.0,34.0,,,480.282,478.884,568.285,480.394,,,
137,7912480,12,,left,saccade,4.0,,,,531.568,471.69199999999995,576.197,471.69199999999995,,,
138,7912496,188,3.4814148936170204,left,fixation,4.0,,596.2934375,468.1765,,,,,1.0,2.9375369737625827,6.38749418786421
139,7912496,528,3.437919847328244,right,fixation,4.0,35.0,616.43247368421,465.732518796993,,,,,2.0,7.745660081563343,34.81677745203706
140,7912688,12,,left,saccade,5.0,,,,604.822,457.455,649.008,448.769,,,
141,7912704,320,3.410683544303797,left,fixation,5.0,,669.509469135803,444.930950617284,,,,,0.0,,
142,7913028,20,,left,saccade,6.0,,,,669.93,441.76199999999994,778.587,454.241,,,
143,7913028,20,,right,saccade,4.0,35.0,,,647.99,460.681,741.8760000000003,467.566,,,
144,7913052,240,3.3988,right,fixation,5.0,36.0,750.293295081967,456.117131147541,,,,,0.0,,
145,7913052,244,3.3988196721311468,left,fixation,6.0,,780.293661290323,459.17146774193606,,,,,2.0,3.318025573594735,7.158497593016702
146,7913296,20,,right,saccade,5.0,36.0,,,753.408,445.842,872.028,452.543,,,
147,7913300,20,,left,saccade,7.0,,,,787.7769999999997,460.102,886.438,468.88599999999997,,,
148,7913320,188,3.4407604166666665,right,fixation,6.0,37.0,868.2954375,463.939958333333,,,,,1.0,2.3297851891918366,5.491538673268048
149,7913324,184,3.441563829787233,left,fixation,7.0,,887.3389999999997,469.848680851064,,,,,1.0,2.2415330195600096,7.096195389079961
150,7913512,32,,left,saccade,8.0,,,,882.475,475.655,607.913,477.44699999999995,,,
151,7913512,32,,right,saccade,6.0,37.0,,,875.669,448.224,588.986,472.463,,,
152,7913548,260,3.5300692307692314,right,fixation,7.0,38.0,566.673181818182,444.865393939394,,,,,6.0,4.348453131032211,16.499959039921734
153,7913548,264,3.5300681818181823,left,fixation,8.0,,586.017373134328,446.38552238805914,,,,,1.0,5.662764560903303,20.748951298800648
155,7913816,52,,left,saccade,9.0,,,,562.009,418.085,1303.282,411.12800000000004,,,
156,7913872,1327,3.582694277108433,left,fixation,9.0,,1377.68210510511,418.514885885886,,,,,17.0,3.9552158004701314,15.744670874432767
157,7913872,1327,3.582694277108433,right,fixation,8.0,39.0,1366.38710510511,392.441996996997,,,,,10.0,3.852888340104879,12.223109168235943
