,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
138,2678100,36,,left,saccade,1.0,,,,986.113,512.661,532.451,619.616,,,
139,2678100,36,,right,saccade,1.0,35.0,,,973.7610000000001,531.012,550.565,611.626,,,
140,2678140,301,3.1135789473684214,right,fixation,1.0,36.0,529.154171052631,637.056578947369,,,,,1.0,4.552393768972276,7.885947818746906
141,2678140,672,3.0783244047619047,left,fixation,1.0,,506.861662721893,655.444366863905,,,,,1.0,16.215240348374618,48.42529142916953
142,2678445,16,,right,saccade,2.0,36.0,,,529.555,642.428,470.279,637.974,,,
143,2678465,1407,3.026476027830487,right,fixation,2.0,37.0,418.2772464589231,613.495677053825,,,,,5.0,9.466358786216556,29.878635065493068
144,2678816,12,,left,saccade,2.0,,,,468.12300000000016,645.072,423.91,645.0409999999998,,,
145,2678832,344,3.025,left,fixation,2.0,,403.037712643678,642.157275862069,,,,,0.0,,
146,2679180,0,,left,saccade,3.0,,,,443.327,637.613,443.327,637.613,,,
147,2679184,680,3.0164467376028914,left,fixation,3.0,,458.6330935672509,647.037736842105,,,,,3.0,13.765146190306996,19.42975095008069
148,2679868,44,,left,saccade,4.0,,,,426.62800000000004,634.36,362.55400000000003,642.8290000000002,,,
149,2679876,68,,right,saccade,3.0,37.0,,,382.644,611.1519999999998,364.47,567.578,,,
150,2679988,0,,left,fixation,4.0,,362.55400000000003,642.8290000000002,,,,,0.0,,
151,2679992,8,,left,saccade,5.0,,,,362.55400000000003,624.911,354.444,598.821,,,
152,2679996,556,3.033393934640523,right,fixation,3.0,38.0,371.35333571428595,595.152392857143,,,,,0.0,,
153,2680004,540,3.033803779611392,left,fixation,5.0,,356.88726470588205,601.09375,,,,,1.0,3.588889181286528,13.580286963094661
154,2680548,20,,left,saccade,6.0,,,,334.92199999999997,597.7090000000002,414.57800000000003,632.548,,,
155,2680556,12,,right,saccade,4.0,38.0,,,382.593,597.506,413.745,632.581,,,
156,2680572,116,2.9683965517241377,right,fixation,4.0,39.0,438.2892333333329,655.427833333333,,,,,2.0,7.967098047098677,19.06331124763966
157,2680572,292,2.9605068493150686,left,fixation,6.0,,443.303635135135,703.6947972972971,,,,,2.0,7.050097135749727,24.52735824405441
158,2680692,0,,right,saccade,5.0,39.0,,,457.13800000000003,699.3330000000003,457.13800000000003,699.3330000000003,,,
159,2680696,164,2.9552804878048784,right,fixation,5.0,40.0,453.036095238095,713.204238095238,,,,,2.0,4.884697653353786,11.354449734784444
160,2680864,12,,right,saccade,6.0,40.0,,,447.36400000000003,694.2460000000003,435.81,640.1759999999998,,,
161,2680868,12,,left,saccade,7.0,,,,438.75800000000004,715.684,438.75800000000004,674.582,,,
162,2680880,1020,3.013478431372549,right,fixation,6.0,41.0,454.18631640625,612.91003515625,,,,,5.0,7.164871974617242,22.097311432720858
163,2680884,756,2.9981973684210534,left,fixation,7.0,,467.005336842105,635.851789473684,,,,,4.0,4.8064827504876915,13.509843557975438
164,2681644,16,,left,saccade,8.0,,,,516.822,629.967,449.904,628.754,,,
165,2681664,652,3.100346625766872,left,fixation,8.0,,426.364969512195,616.727481707316,,,,,6.0,6.4737484087260055,13.074258613650551
166,2681904,4,,right,saccade,7.0,41.0,,,422.33,602.381,402.88300000000004,604.1669999999998,,,
167,2681912,416,3.1237163461538464,right,fixation,7.0,42.0,384.533619047619,618.6499904761911,,,,,0.0,,
168,2682320,16,,left,saccade,9.0,,,,388.722,622.059,450.034,613.922,,,
169,2682332,4,,right,saccade,8.0,42.0,,,417.695,601.259,420.69800000000004,601.259,,,
170,2682340,128,3.118125,left,fixation,9.0,,462.417515151515,624.507424242424,,,,,1.0,3.325863668115225,9.994509392661518
171,2682340,876,3.108234755428822,right,fixation,8.0,43.0,470.552540909091,601.609277272727,,,,,3.0,12.867059304055527,38.404462517553576
172,2682472,16,,left,saccade,10.0,,,,448.786,628.77,509.63300000000004,628.5740000000002,,,
173,2682492,720,3.1053035003431715,left,fixation,10.0,,502.478966850829,632.4830662983429,,,,,3.0,5.706393849430124,11.779887675015276
174,2683216,40,,left,saccade,11.0,,,,481.871,640.475,480.838,674.5939999999998,,,
175,2683220,40,,right,saccade,9.0,43.0,,,437.991,611.646,426.05400000000003,559.195,,,
176,2683344,0,,left,fixation,11.0,,482.274,674.5939999999998,,,,,0.0,,
178,2683348,16,,left,saccade,12.0,,,,482.709,674.5939999999998,488.82300000000004,620.898,,,
180,2683364,176,3.0604749240121576,right,fixation,9.0,45.0,507.2523333333329,610.534533333333,,,,,2.0,6.549837929156151,19.647813751353176
181,2683368,172,3.060474924012158,left,fixation,12.0,,522.635340909091,629.786795454546,,,,,2.0,7.692097136021488,16.05141339931673
182,2683544,24,,left,saccade,13.0,,,,530.4780000000002,641.188,690.86,693.096,,,
183,2683544,24,,right,saccade,10.0,45.0,,,509.969,621.789,654.427,701.11,,,
184,2683572,424,3.105283018867925,left,fixation,13.0,,697.0714485981309,724.153196261682,,,,,1.0,3.1923054452159816,7.650977061787539
185,2683572,424,3.105283018867925,right,fixation,10.0,46.0,671.850897196261,723.4355794392529,,,,,1.0,5.504128765955766,13.845828974821153
186,2684000,24,,left,saccade,14.0,,,,706.1030000000003,739.914,521.9590000000002,669.2810000000002,,,
187,2684000,28,,right,saccade,11.0,46.0,,,684.062,737.449,489.418,644.496,,,
188,2684028,780,2.9770153846153846,left,fixation,14.0,,502.788265306123,635.750030612245,,,,,1.0,4.435643962392726,13.239740254249703
189,2684032,780,2.977146153846153,right,fixation,11.0,47.0,487.242948979592,637.6126887755099,,,,,3.0,8.338684540709766,23.97664564712664
190,2684812,16,,left,saccade,15.0,,,,552.388,633.883,487.56,633.883,,,
191,2684816,12,,right,saccade,12.0,47.0,,,495.32199999999995,630.59,449.103,618.69,,,
192,2684832,376,3.1143191489361697,left,fixation,15.0,,470.086589473684,626.715347368421,,,,,0.0,,
193,2684832,376,3.1143191489361697,right,fixation,12.0,48.0,423.728273684211,602.972421052631,,,,,0.0,,
194,2685212,16,,left,saccade,16.0,,,,462.574,638.857,473.14099999999996,709.148,,,
195,2685212,20,,right,saccade,13.0,48.0,,,433.425,615.722,443.676,678.5,,,
196,2685232,235,3.129336206896552,left,fixation,16.0,,481.7296,729.9672,,,,,0.0,,
197,2685236,227,3.1294642857142856,right,fixation,13.0,49.0,446.4970344827591,689.244137931034,,,,,0.0,,
198,2685467,40,,right,saccade,14.0,49.0,,,449.715,700.02,1010.887,740.3789999999997,,,
199,2685471,40,,left,saccade,17.0,,,,490.26099999999997,739.811,1010.5210000000001,735.2139999999997,,,
200,2685511,481,3.197318181818181,right,fixation,14.0,50.0,970.6351404958681,734.489165289256,,,,,6.0,7.123169731575308,23.146307310537768
201,2685515,473,3.198382352941177,left,fixation,17.0,,991.0539327731101,742.410647058824,,,,,6.0,8.868240708765432,26.76453063879437
202,2685992,36,,left,saccade,18.0,,,,970.7,732.7739999999999,563.936,676.5310000000002,,,
203,2685996,36,,right,saccade,15.0,50.0,,,958.232,731.92,514.653,654.09,,,
204,2686032,588,3.010102040816326,left,fixation,18.0,,515.707628378378,653.077405405406,,,,,2.0,4.030680953165227,13.445766060706385
205,2686036,908,3.0459889867841405,right,fixation,15.0,51.0,478.676381578948,607.643657894737,,,,,5.0,6.445967435751062,22.681834838638306
206,2686624,8,,left,saccade,19.0,,,,498.48,651.235,485.02,644.461,,,
207,2686636,304,3.1129013157894736,left,fixation,19.0,,489.061688311688,629.287090909091,,,,,0.0,,
208,2686944,20,,left,saccade,20.0,,,,494.26099999999997,640.177,409.566,644.569,,,
209,2686948,20,,right,saccade,16.0,51.0,,,447.436,580.961,383.407,598.263,,,
210,2686968,428,3.1391261682242986,left,fixation,20.0,,400.043981481481,639.572472222222,,,,,0.0,,
211,2686972,424,3.139231132075472,right,fixation,16.0,52.0,372.381859813084,616.9359626168219,,,,,1.0,6.470527721909554,20.719325568174266
212,2687400,20,,left,saccade,21.0,,,,389.061,630.799,477.44599999999997,631.7280000000002,,,
213,2687400,20,,right,saccade,17.0,52.0,,,370.35900000000004,609.113,439.88300000000004,603.889,,,
214,2687424,224,3.144455357142857,left,fixation,21.0,,468.65263157894685,633.93750877193,,,,,0.0,,
215,2687424,228,3.1441666666666666,right,fixation,17.0,53.0,440.009982758621,603.152206896552,,,,,0.0,,
216,2687652,8,,left,saccade,22.0,,,,464.793,636.785,482.844,636.635,,,
217,2687656,8,,right,saccade,18.0,53.0,,,448.088,601.565,482.904,596.119,,,
218,2687664,0,,left,fixation,22.0,,512.732,632.16,,,,,0.0,,
219,2687668,0,,left,saccade,23.0,,,,512.732,629.502,512.732,629.502,,,
220,2687668,2723,3.093328676470588,right,fixation,18.0,54.0,465.175992668622,605.831851906158,,,,,8.0,11.758717034895165,25.870665115942845
221,2687672,1376,3.112392441860465,left,fixation,23.0,,501.934846376811,620.270768115942,,,,,8.0,6.945890636935424,18.65700560509157
222,2689052,16,,left,saccade,24.0,,,,510.671,598.563,458.14099999999996,619.034,,,
223,2689072,935,3.0769999999999995,left,fixation,24.0,,462.72779574468086,640.844234042553,,,,,2.0,3.7526948004053455,9.248819715847684
224,2690011,8,,left,saccade,25.0,,,,495.517,656.5210000000002,498.901,649.764,,,
225,2690023,368,3.064559782608696,left,fixation,25.0,,500.533666666666,639.3682150537641,,,,,1.0,3.4165508354349146,8.268641545018115
226,2690395,20,,left,saccade,26.0,,,,500.589,639.6759999999998,468.416,732.326,,,
227,2690395,20,,right,saccade,19.0,54.0,,,474.972,618.982,463.01199999999994,707.581,,,
228,2690419,529,3.040477443609023,left,fixation,26.0,,449.11024060150396,734.090406015038,,,,,2.0,4.519967852667454,15.10028596220826
229,2690419,529,3.040477443609023,right,fixation,19.0,55.0,454.47175939849603,728.8800225563907,,,,,0.0,,
230,2690952,20,,right,saccade,20.0,55.0,,,459.116,722.245,641.021,726.1210000000003,,,
231,2690952,24,,left,saccade,27.0,,,,455.667,731.572,639.788,727.66,,,
232,2690976,455,3.0381769911504417,right,fixation,20.0,56.0,660.461330434782,730.7810695652182,,,,,0.0,,
233,2690980,455,3.038398230088495,left,fixation,27.0,,677.501808695652,720.8772434782599,,,,,0.0,,
234,2691435,32,,right,saccade,21.0,56.0,,,667.529,721.618,944.9730000000001,721.618,,,
235,2691439,28,,left,saccade,28.0,,,,690.064,737.062,904.12,728.4639999999997,,,
236,2691471,944,3.0171122881355936,right,fixation,21.0,57.0,951.1569493670888,717.144168776371,,,,,1.0,5.23703772290322,11.276229866404885
237,2691471,948,3.0171097046413498,left,fixation,28.0,,939.723836134454,734.6326260504201,,,,,3.0,4.405196656888948,12.356365951110892
238,2692419,24,,right,saccade,22.0,57.0,,,952.559,714.012,1151.149,718.2239999999997,,,
239,2692423,24,,left,saccade,29.0,,,,962.893,721.4910000000001,1179.921,722.875,,,
240,2692447,972,3.022185185185185,right,fixation,22.0,58.0,1202.09031147541,725.63356147541,,,,,2.0,5.465187011860284,14.926102408478355
241,2692451,968,3.022270661157025,left,fixation,29.0,,1219.79191769547,730.3840823045268,,,,,3.0,8.470895332810349,27.462468641333423
242,2693423,24,,left,saccade,30.0,,,,1251.053,737.555,1413.914,728.92,,,
243,2693423,24,,right,saccade,23.0,58.0,,,1249.028,728.203,1395.1729999999998,724.02,,,
244,2693451,856,2.996873831775701,left,fixation,30.0,,1467.51085581395,702.535186046512,,,,,2.0,4.540351716856668,23.59939110839778
245,2693451,856,2.996873831775701,right,fixation,23.0,59.0,1429.0144697674402,716.800195348837,,,,,0.0,,
246,2694311,24,,left,saccade,31.0,,,,1487.141,697.2289999999997,1218.653,696.3969999999997,,,
247,2694311,24,,right,saccade,24.0,59.0,,,1443.3120000000001,725.2639999999999,1253.904,721.404,,,
248,2694339,1344,3.0702448071216617,left,fixation,31.0,,1207.34043620178,709.991154302671,,,,,2.0,4.177789626952456,8.695584413663576
