,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
234,2440625,64,,right,saccade,1.0,57.0,,,1347.954,558.729,516.876,670.9639999999997,,,
235,2440629,56,,left,saccade,1.0,,,,1324.308,565.498,507.806,672.3610000000001,,,
236,2440689,388,3.6683195876288655,left,fixation,1.0,,471.5169183673471,695.403602040816,,,,,1.0,6.9536649409582045,21.963052451788187
237,2440693,380,3.667684210526316,right,fixation,1.0,58.0,471.45040625,724.461489583333,,,,,3.0,5.510470987007757,16.63459331266018
238,2441077,24,,right,saccade,2.0,58.0,,,443.055,745.291,569.694,744.877,,,
239,2441081,16,,left,saccade,2.0,,,,451.35699999999997,701.265,535.175,693.78,,,
240,2441101,323,3.723234042117338,left,fixation,2.0,,549.71306097561,710.33825609756,,,,,1.0,9.209207726207746,27.15294643312211
241,2441105,327,3.723616637470805,right,fixation,2.0,59.0,564.389289156626,730.9864457831329,,,,,0.0,,
242,2441428,40,,left,saccade,3.0,,,,549.4580000000002,701.413,579.386,806.722,,,
243,2441436,68,,right,saccade,3.0,59.0,,,563.432,721.7539999999997,627.928,671.1360000000002,,,
245,2441608,180,3.6979093792866937,right,fixation,3.0,60.0,648.7032173913041,690.045260869565,,,,,1.0,5.493360934902352,13.840846253029538
246,2441616,24,,left,saccade,4.0,,,,603.664,789.925,621.381,708.699,,,
247,2441644,144,3.6979093792866937,left,fixation,3.0,,637.7640270270269,704.318486486487,,,,,0.0,,
248,2441792,20,,left,saccade,5.0,,,,646.956,730.8760000000003,721.015,714.07,,,
249,2441792,20,,right,saccade,4.0,60.0,,,650.611,721.7389999999997,753.992,722.081,,,
250,2441816,316,3.766360759493672,left,fixation,4.0,,747.16375,705.47875,,,,,1.0,4.8848002631746885,7.749421913923684
251,2441816,316,3.766360759493672,right,fixation,4.0,61.0,757.3151375,712.65275,,,,,0.0,,
252,2442136,20,,left,saccade,6.0,,,,750.049,688.595,831.9630000000003,680.548,,,
253,2442136,20,,right,saccade,5.0,61.0,,,758.297,718.6419999999997,846.596,718.6419999999997,,,
254,2442160,1033,3.824928571428572,left,fixation,5.0,,799.448633204633,671.90477992278,,,,,3.0,8.552694981270845,21.28335987583729
255,2442160,1033,3.824928571428572,right,fixation,5.0,62.0,792.23477992278,713.356702702702,,,,,3.0,7.754828099584987,28.88752743374889
256,2443197,16,,right,saccade,6.0,62.0,,,754.113,699.674,823.08,689.075,,,
257,2443197,20,,left,saccade,7.0,,,,758.9069999999997,674.475,831.3389999999997,669.063,,,
258,2443217,136,3.907426470588237,right,fixation,6.0,63.0,830.8480857142862,698.2972857142862,,,,,0.0,,
259,2443221,132,3.9068181818181817,left,fixation,6.0,,840.506205882353,665.506794117647,,,,,0.0,,
260,2443357,24,,left,saccade,8.0,,,,845.138,661.2539999999998,705.2310000000001,681.565,,,
261,2443357,24,,right,saccade,7.0,63.0,,,833.5830000000003,690.4580000000003,691.095,692.182,,,
262,2443385,331,3.8627865853658534,left,fixation,7.0,,684.266297619047,674.096119047619,,,,,1.0,7.948734366411947,17.764278904588302
263,2443385,331,3.8627865853658534,right,fixation,7.0,64.0,679.946428571429,709.5313214285719,,,,,0.0,,
264,2443720,20,,right,saccade,8.0,64.0,,,672.38,731.1060000000001,554.1569999999998,730.2180000000003,,,
265,2443720,24,,left,saccade,9.0,,,,679.99,703.7280000000003,537.721,706.735,,,
266,2443744,228,3.890543859649122,right,fixation,8.0,65.0,543.886431034483,717.482275862068,,,,,0.0,,
267,2443748,224,3.8905892857142854,left,fixation,8.0,,546.286140350877,683.107912280702,,,,,0.0,,
268,2443976,16,,left,saccade,10.0,,,,545.289,664.933,487.38,656.7330000000002,,,
269,2443976,20,,right,saccade,9.0,65.0,,,548.382,724.283,469.449,708.837,,,
271,2444000,576,3.8707569444444436,right,fixation,9.0,66.0,506.120144827586,705.741586206897,,,,,2.0,7.529006702840152,28.20080768494984
272,2444580,20,,right,saccade,10.0,66.0,,,541.559,729.2489999999997,453.63,726.721,,,
273,2444584,16,,left,saccade,11.0,,,,521.106,663.48,462.246,663.655,,,
274,2444604,288,3.815222222222221,right,fixation,10.0,67.0,444.527698630137,702.778082191781,,,,,0.0,,
275,2444604,292,3.8147876712328768,left,fixation,9.0,,445.326162162162,671.476540540541,,,,,3.0,7.487280636413557,19.709950465763328
276,2444896,28,,right,saccade,11.0,67.0,,,460.04900000000004,713.8580000000003,642.81,689.159,,,
277,2444900,28,,left,saccade,12.0,,,,444.431,674.1160000000001,634.754,658.4989999999998,,,
278,2444928,292,3.764890410958904,right,fixation,11.0,68.0,646.8919594594597,698.014445945946,,,,,0.0,,
279,2444932,288,3.7645,left,fixation,10.0,,653.642109589041,662.645369863013,,,,,2.0,7.812756345701127,23.066405800214834
280,2445224,20,,left,saccade,13.0,,,,657.0369999999998,698.1310000000003,755.455,691.653,,,
281,2445224,20,,right,saccade,12.0,68.0,,,660.015,702.6339999999999,739.113,704.314,,,
282,2445248,516,3.8293372093023264,left,fixation,11.0,,758.138330769231,670.618730769231,,,,,1.0,4.838760484646646,17.484749583565694
283,2445248,516,3.8293372093023264,right,fixation,12.0,69.0,757.937215384615,685.3632461538459,,,,,0.0,,
284,2445768,20,,left,saccade,14.0,,,,749.635,676.94,851.375,670.555,,,
285,2445768,20,,right,saccade,13.0,69.0,,,752.1619999999997,702.793,852.165,683.2389999999998,,,
286,2445792,912,3.981872807017544,right,fixation,13.0,70.0,859.0297772925778,671.243593886463,,,,,2.0,7.852856024565168,24.111659556261124
287,2445792,916,3.9818537117903934,left,fixation,12.0,,861.6415347826089,665.8896217391299,,,,,8.0,8.02556785971027,21.971061328182408
