,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
102,2288593,52,,left,saccade,1.0,,,,1201.844,309.745,472.43699999999995,414.106,,,
103,2288593,56,,right,saccade,1.0,25.0,,,1189.379,301.874,441.089,419.215,,,
104,2288649,604,2.9768881578947366,left,fixation,1.0,,452.71976315789396,444.82447368421,,,,,5.0,7.43283429654075,22.88758967057665
105,2288653,1196,2.9877740305875298,right,fixation,1.0,26.0,417.7530533333329,451.709176666667,,,,,5.0,6.9993710012991475,24.60526415745766
106,2289257,0,,left,saccade,2.0,,,,412.17,471.75300000000004,412.17,471.75300000000004,,,
107,2289261,584,3.000329880236495,left,fixation,2.0,,409.98156462585,455.269843537415,,,,,1.0,6.4222589591894135,24.37063669664788
108,2289849,40,,left,saccade,3.0,,,,427.038,413.23900000000003,462.418,397.64,,,
109,2289853,40,,right,saccade,2.0,26.0,,,446.027,431.49199999999996,443.305,430.79400000000004,,,
110,2290057,1184,2.9095197941210875,right,fixation,2.0,27.0,426.43118855218887,433.921013468014,,,,,3.0,5.991025471663607,18.851511890892585
111,2290065,1180,2.9093709019464202,left,fixation,3.0,,432.427543918919,413.305807432433,,,,,1.0,7.815593083701321,33.96990192803039
112,2291245,16,,right,saccade,3.0,27.0,,,416.845,440.64300000000003,475.51199999999994,436.577,,,
113,2291249,12,,left,saccade,4.0,,,,415.171,420.04400000000004,466.13,419.967,,,
114,2291265,3335,2.97231512605042,right,fixation,3.0,28.0,431.403562874251,443.798964071856,,,,,11.0,5.754514029671673,22.959541574513512
115,2291265,4279,2.9671608980355466,left,fixation,4.0,,431.350199813259,427.07874416433197,,,,,13.0,7.121925696273243,27.112130971522642
116,2294604,8,,right,saccade,4.0,28.0,,,408.05800000000005,471.945,408.98,439.056,,,
117,2294616,4152,2.940540944123314,right,fixation,4.0,29.0,416.948200192493,444.87432627526397,,,,,13.0,6.402544487514996,25.471123592344046
118,2295548,12,,left,saccade,5.0,,,,466.397,407.68,419.333,398.61699999999996,,,
119,2295564,3484,2.9389586681974738,left,fixation,5.0,,414.449214449541,438.110688073395,,,,,8.0,4.736021272701821,18.068911924764308
120,2298772,0,,right,saccade,5.0,29.0,,,418.842,489.80300000000005,418.842,489.80300000000005,,,
121,2298776,272,2.9500882352941176,right,fixation,5.0,30.0,395.83672463768096,489.993333333333,,,,,0.0,,
122,2299052,20,,right,saccade,6.0,30.0,,,400.098,482.99300000000005,493.60900000000004,516.124,,,
123,2299052,24,,left,saccade,6.0,,,,399.006,461.69599999999997,479.35,506.001,,,
124,2299076,1644,2.8839087591240875,right,fixation,6.0,31.0,439.34214320388395,470.086427184466,,,,,6.0,7.090255464192732,27.02464563207702
125,2299080,1644,2.8838369829683703,left,fixation,6.0,,439.631121359223,466.17772815533897,,,,,1.0,7.66570536183361,31.081982433557812
126,2300724,12,,right,saccade,7.0,31.0,,,460.601,417.115,416.186,424.416,,,
127,2300728,12,,left,saccade,7.0,,,,460.83099999999996,415.379,418.564,424.64300000000003,,,
128,2300740,7220,2.946655869324473,right,fixation,7.0,32.0,418.151642303433,451.073405315615,,,,,15.0,7.257828483209848,33.079844561452155
129,2300744,5552,2.9314647228221737,left,fixation,7.0,,420.418768898488,430.035942404607,,,,,9.0,5.754320695441347,19.279601533351386
130,2306300,12,,left,saccade,8.0,,,,410.908,454.63599999999997,416.409,414.139,,,
131,2306316,5355,2.991019058295964,left,fixation,8.0,,424.711620149254,427.431814925374,,,,,24.0,6.693040092030687,26.917602362772627
132,2307964,20,,right,saccade,8.0,32.0,,,400.00800000000004,482.135,409.708,407.631,,,
133,2307988,3683,2.9877717391304346,right,fixation,8.0,33.0,434.329480477223,436.867175704989,,,,,16.0,5.316132319494205,20.886586618122692
134,2311675,32,,left,saccade,9.0,,,,415.902,423.485,655.674,531.502,,,
135,2311675,32,,right,saccade,9.0,33.0,,,401.135,446.471,658.65,490.88699999999994,,,
136,2311711,416,2.846995192307692,left,fixation,9.0,,697.4251904761909,539.352561904762,,,,,0.0,,
137,2311711,420,2.846695238095238,right,fixation,9.0,34.0,708.35729245283,534.298433962264,,,,,2.0,6.588678314649153,18.741993356165636
138,2312131,44,,left,saccade,10.0,,,,732.1110000000001,549.2330000000002,473.963,491.426,,,
139,2312135,36,,right,saccade,10.0,34.0,,,726.2719999999997,540.31,482.68199999999996,512.781,,,
140,2312175,204,2.8743379629629637,right,fixation,10.0,35.0,450.642288461538,459.229461538462,,,,,1.0,5.530471451171444,30.853799911842227
141,2312179,200,2.874938679245284,left,fixation,10.0,,436.597803921569,446.47437254902,,,,,0.0,,
