,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
68,2941998,56,,left,saccade,1.0,,,,1331.424,328.965,493.47,468.38300000000004,,,
69,2942002,52,,right,saccade,1.0,16.0,,,1321.1470000000004,289.256,469.621,435.374,,,
70,2942058,420,3.075676190476192,right,fixation,1.0,17.0,450.32454716981204,457.047103773585,,,,,3.0,3.2536691053130813,13.071894335539188
71,2942058,424,3.075518867924529,left,fixation,1.0,,461.454168224299,478.9065981308409,,,,,2.0,3.344136050431313,13.617927961476855
72,2942482,20,,right,saccade,2.0,17.0,,,427.87,450.991,521.669,442.849,,,
73,2942486,20,,left,saccade,2.0,,,,442.147,482.647,522.943,476.82300000000004,,,
74,2942506,236,3.036864406779661,right,fixation,2.0,18.0,534.7251166666671,446.227533333333,,,,,1.0,3.167046512306252,9.513390667895454
75,2942510,236,3.0362796610169487,left,fixation,2.0,,544.953933333333,477.61795,,,,,2.0,2.618557892811705,6.377541111175653
76,2942746,16,,right,saccade,3.0,18.0,,,545.525,456.36199999999997,617.525,453.43,,,
77,2942750,12,,left,saccade,3.0,,,,558.31,482.86800000000005,600.938,474.88199999999995,,,
78,2942766,396,2.984979797979797,right,fixation,3.0,19.0,628.73419,453.16398,,,,,1.0,2.305895114218693,6.5154893139349115
79,2942766,400,2.98497,left,fixation,3.0,,640.56801980198,478.11845544554495,,,,,1.0,3.456765544230304,4.178938740876683
80,2943166,20,,right,saccade,4.0,19.0,,,636.471,446.76199999999994,729.779,447.81199999999995,,,
81,2943170,20,,left,saccade,4.0,,,,656.904,485.15,727.437,478.466,,,
82,2943190,368,2.9768315217391312,right,fixation,4.0,20.0,745.679559139785,448.149731182796,,,,,3.0,2.3625401924956564,6.766690307741303
83,2943194,364,2.9767197802197796,left,fixation,4.0,,756.418173913043,477.995076086957,,,,,2.0,2.8418361256417697,6.363220992947423
84,2943562,20,,left,saccade,5.0,,,,758.765,479.70300000000003,833.427,481.94300000000004,,,
85,2943562,20,,right,saccade,5.0,20.0,,,749.9910000000001,453.779,828.2810000000003,455.478,,,
86,2943586,304,2.9850723684210534,left,fixation,5.0,,852.319337662337,469.047649350649,,,,,1.0,2.9731012801823864,8.307638533301704
87,2943586,304,2.9850723684210534,right,fixation,5.0,21.0,844.25677922078,449.65733766233706,,,,,2.0,3.2159120968744097,9.245439039393217
88,2943894,20,,right,saccade,6.0,21.0,,,839.935,453.963,719.42,455.611,,,
89,2943894,24,,left,saccade,6.0,,,,850.24,461.06199999999995,724.51,471.811,,,
90,2943918,396,2.9999191919191914,right,fixation,6.0,22.0,724.42111,453.68560999999994,,,,,4.0,2.989265495988392,13.035389018023976
91,2943922,392,3.0001071428571437,left,fixation,6.0,,738.523444444444,477.62763636363604,,,,,1.0,5.5757904496931365,44.512458986220906
92,2944318,20,,left,saccade,7.0,,,,759.4789999999997,478.653,687.449,483.087,,,
93,2944318,20,,right,saccade,7.0,22.0,,,749.687,465.80699999999996,664.6389999999999,465.736,,,
94,2944342,208,3.0119230769230767,left,fixation,7.0,,670.064339622642,485.169773584906,,,,,1.0,4.225273183147115,13.594073304201315
95,2944342,208,3.0119230769230767,right,fixation,7.0,23.0,646.46158490566,464.218283018868,,,,,1.0,2.4843043515461543,3.210342349345402
96,2944554,20,,left,saccade,8.0,,,,665.6410000000002,472.17199999999997,562.953,474.014,,,
97,2944554,20,,right,saccade,8.0,23.0,,,638.908,473.56,541.46,470.25300000000004,,,
98,2944578,300,3.03356,left,fixation,8.0,,556.00175,488.365039473684,,,,,0.0,,
99,2944578,304,3.0334802631578945,right,fixation,8.0,24.0,532.399090909091,463.95335064935097,,,,,4.0,2.718672642367816,7.291844976373535
100,2944882,24,,left,saccade,9.0,,,,552.308,495.852,434.47,495.506,,,
101,2944886,20,,right,saccade,9.0,24.0,,,527.52,470.30300000000005,416.341,468.61800000000005,,,
102,2944910,260,3.031915384615385,right,fixation,9.0,25.0,413.107590909091,473.529939393939,,,,,0.0,,
103,2944910,264,3.03184090909091,left,fixation,9.0,,426.303537313433,490.201432835821,,,,,0.0,,
104,2945174,20,,right,saccade,10.0,25.0,,,420.14599999999996,485.186,540.852,479.54900000000004,,,
105,2945178,20,,left,saccade,10.0,,,,430.506,498.85400000000004,542.636,488.659,,,
106,2945198,332,2.9981265060240965,right,fixation,10.0,26.0,548.2128928571431,463.384702380952,,,,,2.0,4.524032307242262,15.949965665691467
107,2945202,328,2.9979634146341465,left,fixation,10.0,,560.065048192771,472.9729156626509,,,,,0.0,,
108,2945534,24,,left,saccade,11.0,,,,557.752,484.815,717.199,475.35400000000004,,,
109,2945534,24,,right,saccade,11.0,26.0,,,557.895,470.36800000000005,706.9730000000003,455.37,,,
110,2945562,580,2.9388965517241377,right,fixation,11.0,27.0,744.918424657534,455.98786301369796,,,,,5.0,2.79258328289786,9.165127104376893
111,2945562,996,2.9212208835341364,left,fixation,11.0,,799.604335999999,488.164419999999,,,,,4.0,5.475699506885478,27.369393426659805
112,2946146,20,,right,saccade,12.0,27.0,,,756.668,465.381,838.563,475.345,,,
113,2946170,388,2.8953969072164947,right,fixation,12.0,28.0,854.8471938775508,473.903224489796,,,,,1.0,3.212288129632476,6.436218221906369
114,2946562,24,,left,saccade,12.0,,,,852.959,494.91,700.544,499.042,,,
115,2946562,24,,right,saccade,13.0,28.0,,,841.184,474.625,697.6439999999999,477.966,,,
116,2946590,428,2.8916775700934583,right,fixation,13.0,29.0,660.291537037037,471.81975,,,,,3.0,2.6849441275068187,10.929220452982518
117,2946590,432,2.8918101851851845,left,fixation,12.0,,667.909972477065,486.703311926606,,,,,1.0,3.591126583523476,13.927386043331952
118,2947022,20,,right,saccade,14.0,29.0,,,645.69,470.68800000000016,732.637,464.03,,,
119,2947026,20,,left,saccade,13.0,,,,667.74,482.585,745.82,482.48900000000003,,,
120,2947046,328,2.9071585365853663,right,fixation,14.0,30.0,754.525867469879,463.288493975903,,,,,3.0,2.2674815770462047,9.338084190442896
121,2947050,324,2.9071419753086425,left,fixation,13.0,,769.558146341463,500.2993658536589,,,,,2.0,2.3673871795981443,8.306332812410808
122,2947378,24,,left,saccade,14.0,,,,773.715,494.30199999999996,582.944,497.51300000000003,,,
123,2947378,24,,right,saccade,15.0,30.0,,,759.948,459.94800000000004,589.933,470.93300000000005,,,
124,2947406,272,2.9296544117647056,left,fixation,14.0,,557.2072898550721,497.154405797101,,,,,2.0,5.728007125136825,27.89151605372812
125,2947406,272,2.9296544117647056,right,fixation,15.0,31.0,551.023652173913,464.709985507247,,,,,4.0,3.9938851543895937,19.543399669342264
126,2947682,20,,left,saccade,15.0,,,,523.9069999999998,486.647,466.189,499.017,,,
127,2947682,20,,right,saccade,16.0,31.0,,,523.846,455.608,457.784,465.724,,,
128,2947706,351,2.98656896551724,left,fixation,15.0,,449.567404494382,481.77475280898904,,,,,1.0,4.387091418139266,7.821059902596367
129,2947706,351,2.98656896551724,right,fixation,16.0,32.0,443.16367415730315,453.888606741573,,,,,1.0,2.9751870015924022,3.675223122478358
130,2948061,16,,left,saccade,16.0,,,,454.7,477.04,526.948,475.496,,,
131,2948061,20,,right,saccade,17.0,32.0,,,453.811,450.616,540.185,449.885,,,
132,2948081,149,2.9801599999999997,left,fixation,16.0,,558.804078947368,482.25810526315803,,,,,1.0,2.529927628521317,9.48747432144088
133,2948086,144,2.9791428571428566,right,fixation,17.0,33.0,556.6953513513511,464.93413513513497,,,,,1.0,3.6591639375986134,7.657599754492352
134,2948234,39,,left,saccade,17.0,,,,564.61,487.82599999999996,535.053,443.625,,,
135,2948234,39,,right,saccade,18.0,33.0,,,562.85,464.70599999999996,579.485,413.903,,,
136,2948393,204,2.9828038366035345,left,fixation,17.0,,556.4338461538459,456.836923076923,,,,,1.0,4.181408298780576,11.953920402947226
137,2948397,196,2.9825449200855134,right,fixation,18.0,34.0,563.9730000000002,454.45032000000003,,,,,4.0,3.928537354984104,21.64146245467668
138,2948597,24,,right,saccade,19.0,34.0,,,558.101,492.289,673.753,468.207,,,
139,2948601,20,,left,saccade,18.0,,,,562.674,464.407,669.385,457.75300000000004,,,
140,2948625,417,2.9471666666666665,left,fixation,18.0,,660.318714285714,473.995123809524,,,,,3.0,4.502812833424988,23.835165058982568
141,2948625,417,2.9471666666666665,right,fixation,19.0,35.0,654.534352380952,457.9611428571431,,,,,5.0,4.2412956442467715,18.323756603065444
142,2949046,20,,left,saccade,19.0,,,,653.807,472.949,728.8889999999999,475.20099999999996,,,
143,2949046,20,,right,saccade,20.0,35.0,,,653.68,474.515,739.5939999999997,474.99800000000016,,,
144,2949070,200,2.90481,left,fixation,19.0,,763.5686078431371,470.099215686274,,,,,1.0,3.5096946725383993,16.472306517303483
145,2949070,200,2.90481,right,fixation,20.0,36.0,756.4577647058818,476.6346078431369,,,,,2.0,2.4048324518188653,8.682089515003943
146,2949274,16,,left,saccade,20.0,,,,757.905,478.20099999999996,825.5980000000003,475.031,,,
147,2949274,20,,right,saccade,21.0,36.0,,,757.638,487.605,848.95,477.716,,,
148,2949294,280,2.9110499999999995,left,fixation,20.0,,850.5243380281689,477.02071830985915,,,,,0.0,,
149,2949298,276,2.9111956521739133,right,fixation,21.0,37.0,860.048385714285,454.897071428571,,,,,0.0,,
150,2949578,24,,left,saccade,21.0,,,,858.453,490.07599999999996,690.632,494.348,,,
151,2949578,28,,right,saccade,22.0,37.0,,,856.929,456.11400000000003,675.9689999999998,452.786,,,
152,2949606,136,2.9253970588235303,left,fixation,21.0,,659.168714285714,486.76511428571405,,,,,1.0,2.6772628020258145,19.986221378739923
153,2949610,132,2.925727272727272,right,fixation,22.0,38.0,651.6469117647059,455.549264705882,,,,,1.0,2.185456029197491,10.242002977933595
