,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
37,2602416,340,3.7750941176470594,left,fixation,1.0,,424.057290697675,469.69618604651197,,,,,2.0,3.45536316852352,13.162965993579302
44,2603832,24,,right,saccade,1.0,12.0,,,395.662,207.75599999999997,405.91,375.74800000000016,,,
45,2603836,24,,left,saccade,1.0,,,,415.52,195.477,420.47,376.12800000000004,,,
46,2603860,2524,3.6183613312202856,right,fixation,1.0,13.0,415.99976107595,449.8750015822789,,,,,7.0,5.115990467499262,21.12264628947621
47,2603864,2332,3.6080085763293313,left,fixation,2.0,,411.59361130137,448.861101027398,,,,,4.0,5.347719669138512,18.599013474096207
48,2606200,12,,left,saccade,2.0,,,,446.2,509.32,460.251,546.078,,,
49,2606216,164,3.748329268292683,left,fixation,3.0,,474.231452380952,561.663452380952,,,,,0.0,,
50,2606384,20,,left,saccade,3.0,,,,472.64,554.6619999999998,449.72900000000004,489.00699999999995,,,
51,2606388,16,,right,saccade,2.0,13.0,,,473.03,527.701,432.767,489.275,,,
52,2606408,616,3.673493506493507,right,fixation,2.0,14.0,425.396180645161,455.15457419354897,,,,,0.0,,
53,2606408,624,3.674057324840765,left,fixation,4.0,,421.914700636943,447.77375159235703,,,,,2.0,3.182837617522452,7.452301938751466
54,2607028,20,,right,saccade,3.0,14.0,,,408.668,448.32199999999995,439.10900000000004,519.91,,,
55,2607036,4,,left,saccade,4.0,,,,429.87,476.767,430.897,482.03,,,
56,2607044,336,3.740702380952381,left,fixation,5.0,,468.4226941176471,551.731282352941,,,,,0.0,,
57,2607052,324,3.7408580246913576,right,fixation,3.0,15.0,464.82925609756103,549.773536585366,,,,,0.0,,
58,2607380,32,,right,saccade,4.0,15.0,,,477.223,555.663,695.095,551.5459999999998,,,
59,2607384,32,,left,saccade,5.0,,,,476.384,566.716,704.796,571.9580000000002,,,
60,2607416,168,3.766297619047621,right,fixation,4.0,16.0,709.471186046511,557.4174186046511,,,,,0.0,,
61,2607420,168,3.7662023809523815,left,fixation,6.0,,714.675581395349,565.807558139535,,,,,1.0,3.3269043335275383,8.882684278977951
62,2607588,32,,right,saccade,5.0,16.0,,,713.09,573.122,950.076,571.697,,,
63,2607592,28,,left,saccade,6.0,,,,703.951,557.7040000000002,946.035,558.82,,,
64,2607624,136,3.761132352941176,left,fixation,7.0,,979.9018,545.9192857142859,,,,,1.0,3.336623084963463,9.09799648274274
65,2607624,136,3.761132352941176,right,fixation,5.0,17.0,969.813971428571,567.658914285714,,,,,0.0,,
66,2607764,24,,left,saccade,7.0,,,,993.174,544.785,1168.771,556.661,,,
67,2607764,24,,right,saccade,6.0,17.0,,,986.313,558.509,1141.152,563.904,,,
68,2607792,72,3.6918611111111113,left,fixation,8.0,,1185.56036842105,576.837578947368,,,,,0.0,,
69,2607792,72,3.6918611111111113,right,fixation,6.0,18.0,1161.75884210526,558.275421052631,,,,,0.0,,
70,2607868,52,,right,saccade,7.0,18.0,,,1166.566,558.8580000000002,438.839,450.73800000000006,,,
71,2607868,56,,left,saccade,8.0,,,,1197.192,576.191,443.18800000000016,443.55699999999996,,,
72,2607924,960,3.632104166666666,right,fixation,7.0,19.0,407.553012448132,454.964373443984,,,,,3.0,7.926164232340072,30.150566320495468
73,2607928,960,3.6324833333333335,left,fixation,9.0,,406.417900414937,451.323908713693,,,,,7.0,5.129308886705985,14.691008811471722
74,2608888,48,,right,saccade,8.0,19.0,,,418.216,483.51800000000003,980.1089999999999,538.894,,,
75,2608892,48,,left,saccade,9.0,,,,371.023,460.31199999999995,980.7560000000001,542.925,,,
76,2608940,176,3.7762272727272728,right,fixation,8.0,20.0,982.014733333334,557.3360444444439,,,,,0.0,,
77,2608944,172,3.7768488372093034,left,fixation,10.0,,990.2344318181821,564.1195227272731,,,,,0.0,,
78,2609120,24,,left,saccade,10.0,,,,990.248,570.726,1183.934,601.807,,,
79,2609120,24,,right,saccade,9.0,20.0,,,989.8889999999999,567.725,1163.096,566.273,,,
80,2609148,524,3.631414772727273,left,fixation,11.0,,1207.88207575757,600.784553030303,,,,,0.0,,
81,2609148,524,3.631414772727273,right,fixation,9.0,21.0,1182.94890909091,567.4839090909089,,,,,0.0,,
