,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
240,20850389,45,,left,saccade,1.0,,,,970.1110000000001,72.962,623.505,642.612,,,
241,20850394,48,,right,saccade,1.0,63.0,,,932.4739999999999,69.529,641.137,718.6189999999997,,,
242,20850438,140,3.8067714285714285,left,fixation,1.0,,624.180972222222,677.278194444445,,,,,0.0,,
243,20850446,132,3.8053636363636354,right,fixation,1.0,64.0,607.974970588235,731.6112941176469,,,,,0.0,,
244,20850582,24,,left,saccade,2.0,,,,626.268,690.316,436.88599999999997,691.2,,,
245,20850582,24,,right,saccade,2.0,64.0,,,592.5509999999998,747.836,409.656,756.7360000000001,,,
246,20850610,108,3.811611111111111,left,fixation,2.0,,419.63178571428597,662.565392857143,,,,,0.0,,
247,20850610,108,3.811611111111111,right,fixation,2.0,65.0,400.15178571428595,738.857285714286,,,,,0.0,,
274,20854673,40,,left,saccade,3.0,,,,971.377,632.238,397.10699999999997,674.675,,,
275,20854673,40,,right,saccade,3.0,72.0,,,947.2669999999999,607.5930000000002,418.01099999999997,721.0219999999997,,,
276,20854717,1404,3.7977948717948724,left,fixation,3.0,,391.831011363637,693.086019886363,,,,,2.0,5.0584034761998335,9.759603121629167
277,20854717,1408,3.7977556818181815,right,fixation,3.0,73.0,353.30919830028296,765.0569093484419,,,,,2.0,5.868295147207683,15.450879316442348
278,20856125,24,,left,saccade,4.0,,,,389.653,702.784,459.509,804.913,,,
279,20856129,20,,right,saccade,4.0,73.0,,,342.066,754.665,432.194,858.9639999999997,,,
280,20856153,496,3.860672,right,fixation,4.0,74.0,446.762896,854.5066000000011,,,,,1.0,10.948876931245286,18.469360844382287
281,20856153,500,3.8610992063492064,left,fixation,4.0,,471.852111111111,820.9691904761902,,,,,0.0,,
282,20856653,28,,right,saccade,5.0,74.0,,,438.30199999999996,871.318,665.865,888.21,,,
283,20856657,24,,left,saccade,5.0,,,,466.30199999999996,816.2180000000003,668.2610000000002,807.8430000000003,,,
284,20856685,544,4.014896296296296,left,fixation,5.0,,684.179591240876,827.650861313869,,,,,0.0,,
285,20856685,544,4.014896296296296,right,fixation,5.0,75.0,702.2988248175191,871.7962335766431,,,,,0.0,,
286,20857233,48,,right,saccade,6.0,75.0,,,690.77,852.453,867.7669999999997,100.65799999999999,,,
287,20857233,52,,left,saccade,6.0,,,,683.707,820.818,846.388,85.162,,,
290,20857425,12,,right,saccade,7.0,76.0,,,875.028,49.081,927.865,45.43600000000001,,,
292,20857441,336,3.914186746987952,right,fixation,6.0,77.0,954.3500941176468,35.0746941176471,,,,,0.0,,
293,20857445,336,3.913813253012048,left,fixation,6.0,,963.944317647059,64.7826470588235,,,,,0.0,,
294,20857781,56,,right,saccade,8.0,77.0,,,938.7,45.195,1180.825,804.248,,,
295,20857785,52,,left,saccade,7.0,,,,964.679,40.413000000000004,1151.481,826.7919999999997,,,
296,20857841,428,3.986943925233645,left,fixation,7.0,,1147.33457407407,853.988287037037,,,,,0.0,,
297,20857841,432,3.987462962962963,right,fixation,7.0,78.0,1177.8198256880698,814.94623853211,,,,,0.0,,
298,20858273,28,,left,saccade,8.0,,,,1154.379,845.977,1386.631,832.7919999999997,,,
299,20858277,24,,right,saccade,9.0,78.0,,,1206.922,778.148,1411.451,798.248,,,
300,20858305,1268,3.995443217665615,left,fixation,8.0,,1413.08022641509,814.068710691825,,,,,0.0,,
301,20858305,1268,3.995443217665615,right,fixation,8.0,79.0,1428.1650880503198,815.884075471698,,,,,0.0,,
302,20859577,56,,left,saccade,9.0,,,,1422.201,793.707,437.31699999999995,726.7860000000003,,,
