,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
68,20174700,60,,left,saccade,1.0,,,,1205.754,241.084,434.224,396.74,,,
70,20174764,224,3.6468125,left,fixation,1.0,,407.711157894737,397.553701754386,,,,,0.0,,
71,20174764,224,3.6468125,right,fixation,1.0,18.0,415.32317543859705,361.629824561403,,,,,0.0,,
72,20174992,20,,right,saccade,1.0,18.0,,,426.217,388.783,543.553,380.004,,,
73,20174992,24,,left,saccade,2.0,,,,398.13300000000004,383.798,512.442,389.461,,,
74,20175016,308,3.6106298701298702,right,fixation,2.0,19.0,534.489076923077,383.638948717949,,,,,0.0,,
75,20175020,300,3.610886666666666,left,fixation,2.0,,525.547118421052,401.982710526316,,,,,0.0,,
76,20175324,16,,left,saccade,3.0,,,,516.37,402.009,456.533,406.38599999999997,,,
77,20175328,12,,right,saccade,2.0,19.0,,,508.529,383.63300000000004,458.056,383.63300000000004,,,
78,20175344,328,3.4914629629629625,right,fixation,3.0,20.0,415.617144578313,391.12249397590404,,,,,2.0,5.28038097189313,14.38048859494
79,20175344,624,3.447083333333334,left,fixation,3.0,,431.952687898089,385.317617834395,,,,,4.0,7.993067997488213,29.7413477691505
80,20175676,8,,right,saccade,3.0,20.0,,,414.244,381.25800000000004,446.74,374.26199999999994,,,
81,20175688,260,3.396416666666666,right,fixation,4.0,21.0,463.0613787878791,363.6135,,,,,1.0,3.6468375645512783,7.19564569722552
82,20175952,16,,right,saccade,4.0,21.0,,,439.815,354.98199999999997,500.81,362.436,,,
83,20175972,0,,left,saccade,4.0,,,,489.664,383.394,489.664,383.394,,,
84,20175972,308,3.373045454545455,right,fixation,5.0,22.0,523.2948589743589,377.145807692308,,,,,0.0,,
85,20175976,304,3.3728815789473683,left,fixation,4.0,,517.9513766233762,379.592363636364,,,,,0.0,,
86,20176284,28,,right,saccade,5.0,22.0,,,507.792,374.162,479.713,513.096,,,
87,20176284,32,,left,saccade,5.0,,,,513.7959999999998,381.62300000000016,452.969,478.287,,,
88,20176316,188,3.3378936170212765,right,fixation,6.0,23.0,486.840166666667,538.9090625,,,,,0.0,,
89,20176320,188,3.337,left,fixation,5.0,,463.618875,514.2905,,,,,0.0,,
90,20176508,28,,right,saccade,6.0,23.0,,,478.031,544.411,721.701,528.3340000000002,,,
91,20176512,24,,left,saccade,6.0,,,,482.18,524.845,662.7339999999998,516.281,,,
92,20176540,524,3.282282442748092,left,fixation,6.0,,714.5361742424243,503.160977272727,,,,,1.0,4.866036309062134,32.568891307503804
93,20176540,524,3.282282442748092,right,fixation,7.0,24.0,736.185075757576,514.534803030303,,,,,0.0,,
94,20177068,20,,right,saccade,7.0,24.0,,,736.7689999999999,503.866,916.659,510.795,,,
95,20177068,24,,left,saccade,7.0,,,,721.992,509.704,893.421,504.086,,,
96,20177092,416,3.2203221153846155,right,fixation,8.0,25.0,954.5016571428572,510.924352380953,,,,,1.0,6.2250364679877945,34.74467743410483
97,20177096,412,3.2201844660194183,left,fixation,7.0,,936.2319038461541,496.149923076923,,,,,2.0,4.281591835458563,25.443042857535936
98,20177512,24,,right,saccade,8.0,25.0,,,989.182,507.289,1186.13,522.506,,,
99,20177512,28,,left,saccade,8.0,,,,963.577,484.311,1171.782,498.17199999999997,,,
100,20177540,232,3.2546034482758617,right,fixation,9.0,26.0,1207.89928813559,515.4674915254229,,,,,0.0,,
101,20177544,228,3.254736842105264,left,fixation,8.0,,1199.63744827586,505.539224137931,,,,,1.0,2.913108353250478,9.941303737438023
102,20177776,28,,left,saccade,9.0,,,,1202.261,507.58,1453.4879999999994,522.034,,,
103,20177776,28,,right,saccade,9.0,26.0,,,1214.712,510.28,1459.374,520.7669999999998,,,
104,20177808,312,3.319083333333334,left,fixation,9.0,,1461.1853670886096,498.825544303797,,,,,2.0,6.75095551154403,16.488213840450474
105,20177808,312,3.319083333333334,right,fixation,10.0,27.0,1462.77175949367,515.133886075949,,,,,2.0,4.161255288664065,8.659441428409146
106,20178124,44,,left,saccade,10.0,,,,1462.6660000000006,496.80699999999996,879.335,465.407,,,
107,20178124,48,,right,saccade,10.0,27.0,,,1449.507,486.62699999999995,940.1139999999999,466.57800000000003,,,
108,20178172,120,3.2625500000000005,left,fixation,10.0,,878.190483870967,450.7343548387098,,,,,0.0,,
109,20178176,116,3.2621551724137934,right,fixation,11.0,28.0,902.6866,466.3229333333329,,,,,0.0,,
110,20178296,23,,left,saccade,11.0,,,,881.675,457.406,746.535,463.49300000000005,,,
111,20178296,23,,right,saccade,11.0,28.0,,,896.529,470.286,768.3789999999997,481.335,,,
112,20178323,300,3.2218066666666663,left,fixation,11.0,,730.74025,483.620657894737,,,,,0.0,,
113,20178323,300,3.2218066666666663,right,fixation,12.0,29.0,755.723434210526,491.474605263158,,,,,0.0,,
114,20178627,24,,left,saccade,12.0,,,,725.31,485.42199999999997,577.747,477.87699999999995,,,
115,20178627,32,,right,saccade,12.0,29.0,,,749.12,480.656,572.914,449.29,,,
116,20178655,348,3.285586206896552,left,fixation,12.0,,525.450613636364,404.68802272727305,,,,,1.0,5.079964000856673,22.177382081751727
117,20178663,340,3.286441176470588,right,fixation,13.0,30.0,543.862639534884,430.458686046512,,,,,1.0,5.44262848314632,16.066369378300784
118,20179007,24,,left,saccade,13.0,,,,510.836,399.965,700.686,464.031,,,
119,20179007,24,,right,saccade,13.0,30.0,,,547.406,446.733,726.807,470.181,,,
120,20179035,3224,3.38996468401487,left,fixation,13.0,,718.759700123915,468.200121437422,,,,,1.0,3.895322383606028,6.737688179190153
121,20179035,3224,3.38996468401487,right,fixation,14.0,31.0,736.0923928128882,466.357988847584,,,,,0.0,,
