,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
19,20058024,52,,left,saccade,1.0,,,,947.623,266.212,504.189,353.913,,,
20,20058072,692,3.9233063583815033,right,fixation,1.0,6.0,483.803747126437,400.380586206896,,,,,2.0,7.600888118154103,18.80892563436465
21,20058080,684,3.9236725146198834,left,fixation,1.0,,495.818819767441,386.032686046511,,,,,2.0,9.51875856591257,28.10315154985117
22,20058768,36,,right,saccade,1.0,6.0,,,501.694,401.44300000000004,699.954,481.58099999999996,,,
23,20058768,40,,left,saccade,2.0,,,,519.821,392.23800000000006,728.023,472.996,,,
24,20058808,536,3.926768656716418,right,fixation,2.0,7.0,719.0505481481482,521.836222222222,,,,,0.0,,
25,20058812,528,3.926992424242425,left,fixation,2.0,,725.489721804511,499.461390977444,,,,,0.0,,
26,20059344,40,,left,saccade,3.0,,,,716.685,498.50800000000004,528.572,385.36800000000005,,,
27,20059348,36,,right,saccade,2.0,7.0,,,708.086,520.064,521.6519999999998,454.404,,,
28,20059388,832,3.821103365384616,right,fixation,3.0,8.0,453.024985645933,421.411377990431,,,,,2.0,10.881028723486716,33.964034148356426
29,20059388,1400,3.825514285714285,left,fixation,3.0,,455.153883190884,379.453698005698,,,,,6.0,9.174643184659224,23.01926775077836
30,20060224,8,,right,saccade,3.0,8.0,,,440.06300000000016,427.305,455.014,428.94800000000004,,,
31,20060236,904,3.8224292035398233,right,fixation,4.0,9.0,431.223101321586,419.1405198237889,,,,,1.0,11.138243590341242,49.591628829874104
32,20060792,4,,left,saccade,4.0,,,,423.341,376.69800000000004,420.965,376.69800000000004,,,
33,20060800,344,3.80793023255814,left,fixation,4.0,,399.22256321839103,364.910494252874,,,,,0.0,,
34,20061144,24,,right,saccade,4.0,9.0,,,373.88599999999997,398.289,509.855,400.881,,,
35,20061148,20,,left,saccade,5.0,,,,402.62800000000004,358.10900000000015,483.483,364.096,,,
36,20061172,619,3.815574675324676,right,fixation,5.0,10.0,503.905057692308,402.28421794871804,,,,,0.0,,
37,20061172,623,3.8156096774193538,left,fixation,5.0,,515.247484076433,391.265031847134,,,,,1.0,4.495454346089833,9.895203130810467
38,20061795,56,,right,saccade,5.0,10.0,,,511.749,418.11400000000003,1066.396,443.481,,,
39,20061799,60,,left,saccade,6.0,,,,532.317,377.224,1066.451,446.73,,,
40,20061855,177,3.8485222222222224,right,fixation,6.0,11.0,1077.10784444444,466.86715555555605,,,,,1.0,9.143547793389653,32.18824272929478
41,20061863,169,3.849127906976745,left,fixation,6.0,,1085.69458139535,474.993162790698,,,,,0.0,,
42,20062036,20,,left,saccade,7.0,,,,1117.106,476.55,1212.8039999999999,491.79400000000004,,,
43,20062036,24,,right,saccade,6.0,11.0,,,1119.251,497.49300000000005,1208.43,509.731,,,
44,20062060,144,3.857541666666666,left,fixation,7.0,,1228.98183783784,486.700189189189,,,,,0.0,,
45,20062064,144,3.85775,right,fixation,7.0,12.0,1224.03162162162,514.187837837838,,,,,0.0,,
46,20062208,28,,left,saccade,8.0,,,,1228.492,488.01599999999996,981.008,495.204,,,
47,20062212,24,,right,saccade,7.0,12.0,,,1218.2,499.972,974.8810000000001,512.705,,,
48,20062240,783,3.951769230769232,left,fixation,8.0,,967.778842639595,512.497939086294,,,,,0.0,,
49,20062240,783,3.951769230769232,right,fixation,8.0,13.0,950.628487309644,518.342994923858,,,,,0.0,,
50,20063027,28,,left,saccade,9.0,,,,966.2460000000001,504.917,721.57,506.966,,,
51,20063027,36,,right,saccade,8.0,13.0,,,945.6210000000001,518.016,676.705,513.804,,,
52,20063059,128,3.904859375,left,fixation,9.0,,672.061393939394,503.69,,,,,0.0,,
53,20063067,116,3.903413793103448,right,fixation,9.0,14.0,661.163766666667,512.7258,,,,,0.0,,
54,20063187,52,,right,saccade,9.0,14.0,,,646.604,500.707,1459.714,514.758,,,
55,20063191,52,,left,saccade,10.0,,,,664.659,507.603,1468.2060000000001,520.375,,,
56,20063243,521,3.844996185972212,right,fixation,10.0,15.0,1438.15717557252,507.415358778626,,,,,0.0,,
57,20063247,517,3.844609675691748,left,fixation,10.0,,1446.6157538461498,513.897961538462,,,,,0.0,,
