,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
166,2504251,56,,left,saccade,1.0,,,,1333.953,552.727,530.438,682.2139999999997,,,
168,2504311,508,3.3139291338582684,left,fixation,1.0,,529.5363125,715.2769140625,,,,,2.0,4.578543356535043,26.199786078578907
171,2504823,20,,left,saccade,2.0,,,,543.587,710.577,453.465,714.459,,,
173,2504847,348,3.3837298850574715,left,fixation,2.0,,446.953068181818,719.689409090909,,,,,0.0,,
175,2505199,8,,left,saccade,3.0,,,,484.449,714.829,501.5,711.408,,,
177,2505211,388,3.375778350515464,left,fixation,3.0,,534.992499999999,721.924806122449,,,,,1.0,4.0929619945570686,5.954969857186499
178,2505603,20,,left,saccade,4.0,,,,540.0790000000002,732.39,636.1080000000002,732.1210000000003,,,
181,2505627,400,3.346095,left,fixation,4.0,,650.9069009900991,739.791128712872,,,,,2.0,2.37649027419026,8.080498441040753
183,2506031,16,,left,saccade,5.0,,,,654.33,743.1039999999997,732.7539999999997,747.403,,,
184,2506051,304,3.3396184210526316,left,fixation,5.0,,749.6366623376622,739.5791818181821,,,,,3.0,4.326874711206299,14.640084719368105
186,2506359,16,,left,saccade,6.0,,,,756.93,722.885,833.832,719.2139999999997,,,
188,2506379,604,3.3472152317880792,left,fixation,6.0,,846.228927631578,736.075368421053,,,,,4.0,5.415469159742114,20.272056573555567
191,2506987,24,,left,saccade,7.0,,,,839.8739999999997,757.5989999999997,693.9119999999997,762.304,,,
193,2507015,400,3.355295,left,fixation,7.0,,728.309851485148,747.352534653465,,,,,4.0,4.848599309513666,23.70457460065395
194,2507419,28,,left,saccade,8.0,,,,754.0930000000003,754.02,532.964,743.578,,,
196,2507451,504,3.3298015873015867,left,fixation,8.0,,539.768015748032,743.220858267717,,,,,2.0,3.310271904304825,20.893744493370413
198,2507959,32,,left,saccade,9.0,,,,556.649,733.671,777.268,734.172,,,
200,2507995,916,3.343623913043478,left,fixation,9.0,,827.897030434782,746.5438869565221,,,,,8.0,5.029534089189456,20.890532700907485
202,2508915,44,,left,saccade,10.0,,,,795.961,721.539,1497.8429999999994,693.628,,,
203,2508915,48,,right,saccade,1.0,51.0,,,805.3860000000003,779.685,1518.451,686.0089999999999,,,
204,2508963,836,3.296126794258373,left,fixation,10.0,,1512.40572380952,694.3734857142862,,,,,9.0,3.010822608526444,11.08488588468591
205,2508967,832,3.2960793269230764,right,fixation,1.0,52.0,1533.3614593301404,696.316971291866,,,,,10.0,2.462168142292692,11.992868399567175
206,2509803,52,,left,saccade,11.0,,,,1502.799,709.092,697.566,707.052,,,
207,2509803,56,,right,saccade,2.0,52.0,,,1535.305,705.805,695.1610000000003,739.064,,,
208,2509859,436,3.3110136363636364,left,fixation,11.0,,711.8389636363637,739.516245454545,,,,,5.0,4.330919157310008,16.864708724105302
209,2509863,432,3.3109357798165138,right,fixation,2.0,53.0,698.088192660551,778.721926605505,,,,,2.0,4.271032579662454,25.865840559355888
