,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
50,21803292,40,,left,saccade,1.0,,,,730.248,329.102,413.658,424.88199999999995,,,
51,21803296,40,,right,saccade,1.0,14.0,,,719.948,327.008,399.7,444.38199999999995,,,
52,21803336,800,3.0022069892473118,left,fixation,1.0,,418.0628009950249,447.23142786069604,,,,,4.0,3.9247461660450016,16.115472536754282
53,21803340,804,3.002091397849462,right,fixation,1.0,15.0,403.78609405940597,445.091188118812,,,,,4.0,4.624867396405071,26.741477448589478
54,21804140,40,,left,saccade,2.0,,,,410.277,456.55400000000003,378.772,406.848,,,
55,21804148,36,,right,saccade,2.0,15.0,,,402.665,440.67,395.162,375.46,,,
56,21804200,28,2.9635714285714285,right,fixation,2.0,16.0,397.990875,375.19675,,,,,1.0,10.967561616218784,27.405994690943064
57,21804232,4,,right,saccade,3.0,16.0,,,403.819,401.631,407.358,405.531,,,
58,21804232,360,2.9467161052455166,left,fixation,2.0,,403.17830769230795,453.252021978022,,,,,2.0,7.836000640055887,44.95685652751352
59,21804240,344,2.9465276469562176,right,fixation,3.0,17.0,419.46768965517305,446.209862068966,,,,,1.0,3.5911597670142967,5.730275473308412
60,21804588,32,,right,saccade,4.0,17.0,,,417.345,460.465,442.626,587.83,,,
61,21804596,24,,left,saccade,3.0,,,,424.64599999999996,482.07,433.89300000000003,572.012,,,
62,21804624,160,2.914025,left,fixation,3.0,,430.869463414634,618.826512195122,,,,,0.0,,
64,21804788,20,,left,saccade,4.0,,,,433.837,625.3580000000002,419.651,509.89099999999996,,,
65,21804792,32,,right,saccade,5.0,18.0,,,449.491,626.139,431.955,470.75,,,
66,21804812,2500,2.953076677316293,left,fixation,4.0,,419.41755591054397,475.43470447284403,,,,,7.0,4.343061010167176,15.392604844398534
67,21804828,2472,2.95328352180937,right,fixation,4.0,19.0,414.633447495961,441.882914378029,,,,,5.0,3.879105427411996,15.81713048032023
68,21807304,20,,right,saccade,6.0,19.0,,,408.838,445.945,445.899,530.451,,,
69,21807316,16,,left,saccade,5.0,,,,426.87699999999995,485.82599999999996,444.086,523.764,,,
70,21807328,680,2.9293058823529416,right,fixation,5.0,20.0,486.449403508772,574.382771929824,,,,,2.0,5.908618414533332,22.31018669104401
71,21807336,676,2.929189349112426,left,fixation,5.0,,482.192594117647,560.485041176471,,,,,4.0,2.980527459259549,12.678721465219555
72,21808012,32,,right,saccade,7.0,20.0,,,493.149,565.01,703.9019999999997,552.903,,,
73,21808016,28,,left,saccade,6.0,,,,495.76,564.2080000000002,669.694,559.626,,,
74,21808048,1336,2.873723053892216,right,fixation,6.0,21.0,739.3782686567171,556.545480597016,,,,,5.0,5.1404614885636315,17.58156814661835
75,21808048,1344,2.873529761904762,left,fixation,6.0,,733.0250949554901,569.649388724035,,,,,7.0,5.5991643937889375,16.633477025084947
76,21809388,36,,right,saccade,8.0,21.0,,,739.5210000000003,551.305,957.127,548.073,,,
77,21809396,32,,left,saccade,7.0,,,,749.995,546.656,950.37,552.635,,,
78,21809428,348,2.820323863636364,right,fixation,7.0,22.0,973.0691931818179,572.8620568181817,,,,,0.0,,
79,21809432,340,2.8200000000000003,left,fixation,7.0,,966.942034883721,564.50623255814,,,,,4.0,3.0575748986359206,6.108470476132009
