,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
10,3268218,4,,left,saccade,1.0,,,,393.07199999999995,186.709,390.101,185.326,,,
11,3268226,1672,3.149083732057416,left,fixation,1.0,,392.502637231503,165.564572792363,,,,,1.0,7.915183708473789,19.730943920654184
12,3269902,20,,left,saccade,2.0,,,,415.39599999999996,198.921,485.465,260.536,,,
13,3269906,16,,right,saccade,1.0,3.0,,,427.65,202.403,472.51800000000003,226.832,,,
14,3269926,1208,3.119194719471948,left,fixation,2.0,,493.427587458746,307.955574257426,,,,,0.0,,
15,3269926,1216,3.119118032786885,right,fixation,1.0,4.0,484.805285245901,287.898163934426,,,,,0.0,,
16,3271138,28,,left,saccade,3.0,,,,456.87800000000004,316.538,403.70300000000003,236.09099999999998,,,
17,3271146,20,,right,saccade,2.0,4.0,,,472.05800000000005,274.945,425.088,222.12099999999998,,,
18,3271170,1520,3.1343868421052634,right,fixation,2.0,5.0,403.290175853018,181.934270341207,,,,,1.0,5.011134962372403,15.249075119494949
19,3271170,1524,3.1344475065616804,left,fixation,3.0,,390.198238219895,176.606544502618,,,,,0.0,,
20,3272694,36,,right,saccade,3.0,5.0,,,389.945,165.41,615.133,233.229,,,
21,3272698,36,,left,saccade,4.0,,,,372.835,164.61599999999999,622.523,219.12099999999998,,,
22,3272734,2428,3.09501647446458,right,fixation,3.0,6.0,715.9200082236839,276.461657894737,,,,,2.0,6.610284782900848,16.721486929033254
23,3272738,2428,3.094933278418451,left,fixation,4.0,,726.339756578948,293.225133223684,,,,,1.0,5.604782605557125,17.36733790769335
24,3275166,40,,right,saccade,4.0,6.0,,,725.444,276.176,552.8480000000002,228.05700000000002,,,
25,3275170,48,,left,saccade,5.0,,,,730.002,278.23400000000004,515.379,193.403,,,
26,3275210,2312,3.059379757785467,right,fixation,4.0,7.0,403.604245250432,196.451214162349,,,,,2.0,7.310971195579022,20.660094119463125
27,3275222,2300,3.0592078260869564,left,fixation,5.0,,422.711324652778,204.999421875,,,,,1.0,12.681986737538855,43.83752243227251
28,3277526,40,,left,saccade,6.0,,,,408.76300000000003,202.614,681.6410000000002,306.527,,,
29,3277526,44,,right,saccade,5.0,7.0,,,411.324,203.294,687.4860000000001,304.797,,,
30,3277570,400,3.0162,left,fixation,6.0,,723.832653465347,327.341059405941,,,,,0.0,,
31,3277574,396,3.0160656565656563,right,fixation,5.0,8.0,709.34985,320.4274,,,,,0.0,,
32,3277974,24,,left,saccade,7.0,,,,719.623,314.34,880.063,298.334,,,
33,3277974,24,,right,saccade,6.0,8.0,,,713.258,300.03,866.5360000000003,293.383,,,
34,3278002,1184,2.9801503378378382,right,fixation,6.0,9.0,922.512848484849,299.660464646464,,,,,1.0,6.2833703911374545,35.522071026335276
35,3278002,1188,2.9803299663299665,left,fixation,7.0,,945.8544932885899,323.65583557046904,,,,,1.0,6.193878931834388,18.974834913642766
36,3279190,24,,right,saccade,7.0,9.0,,,935.3969999999999,288.941,1075.781,283.866,,,
37,3279194,28,,left,saccade,8.0,,,,968.487,320.1,1103.0439999999999,309.573,,,
38,3279218,492,3.0336991869918704,right,fixation,7.0,10.0,1169.4161854838699,286.74737096774214,,,,,2.0,7.770194400423403,39.70513977426392
39,3279226,488,3.0336844262295086,left,fixation,8.0,,1159.65137398374,324.113398373983,,,,,0.0,,
40,3279714,32,,right,saccade,8.0,10.0,,,1192.766,306.07,997.388,293.08299999999997,,,
41,3279718,32,,left,saccade,9.0,,,,1173.765,323.753,989.2180000000001,315.623,,,
42,3279750,372,3.03863440860215,right,fixation,8.0,11.0,953.250936170213,280.761468085107,,,,,0.0,,
43,3279754,368,3.0387228260869565,left,fixation,9.0,,955.551096774194,316.978774193548,,,,,0.0,,
44,3280126,32,,left,saccade,10.0,,,,958.193,330.958,751.4010000000003,319.272,,,
45,3280126,36,,right,saccade,9.0,11.0,,,945.11,281.119,718.4789999999997,261.092,,,
46,3280162,1112,3.0957949640287774,left,fixation,10.0,,725.9410716845889,268.131125448028,,,,,0.0,,
47,3280166,1112,3.096028776978417,right,fixation,9.0,12.0,716.144795698924,261.19182437276,,,,,1.0,7.377899160857228,17.346527519938984
48,3281278,20,,left,saccade,11.0,,,,706.865,248.94400000000002,626.749,245.567,,,
49,3281282,8,,right,saccade,10.0,12.0,,,676.2410000000001,249.391,670.7080000000002,249.391,,,
50,3281294,116,3.121844827586207,right,fixation,10.0,13.0,611.614866666667,257.5205,,,,,0.0,,
51,3281302,104,3.1224615384615384,left,fixation,11.0,,604.246962962963,250.387,,,,,0.0,,
52,3281410,20,,left,saccade,12.0,,,,596.384,255.611,506.35900000000004,269.858,,,
53,3281414,20,,right,saccade,11.0,13.0,,,570.813,273.528,492.84,274.907,,,
54,3281434,1223,3.142678921568628,left,fixation,12.0,,486.228462540716,305.807221498371,,,,,0.0,,
55,3281438,1223,3.1428913398692813,right,fixation,11.0,14.0,480.984312703583,281.682022801303,,,,,0.0,,
