,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
46,2094417,56,,left,saccade,1.0,,,,1211.333,197.658,489.244,381.895,,,
47,2094417,60,,right,saccade,1.0,15.0,,,1216.955,265.216,480.151,420.36199999999997,,,
48,2094477,784,3.832252551020408,left,fixation,1.0,,460.823035532994,414.397416243655,,,,,5.0,9.025602734991761,26.134825780070372
49,2094481,780,3.8323717948717952,right,fixation,1.0,15.0,474.22300510204,437.464841836735,,,,,7.0,9.261937429773463,27.72112818709423
50,2095265,36,,left,saccade,2.0,,,,463.647,484.776,776.1260000000003,486.306,,,
51,2095265,36,,right,saccade,2.0,16.0,,,494.13199999999995,506.77099999999996,812.533,517.9,,,
52,2095305,132,3.927045454545455,right,fixation,2.0,16.0,823.3318529411771,533.046352941176,,,,,0.0,,
53,2095305,136,3.9276764705882345,left,fixation,2.0,,797.4901428571429,494.236914285714,,,,,0.0,,
54,2095441,24,,right,saccade,3.0,17.0,,,822.6289999999997,533.345,980.807,524.552,,,
55,2095445,20,,left,saccade,3.0,,,,809.763,493.366,942.013,499.19300000000004,,,
56,2095469,180,3.9867,left,fixation,3.0,,962.634956521739,499.363326086956,,,,,0.0,,
57,2095469,180,3.9867,right,fixation,3.0,17.0,983.4358478260872,520.2444782608701,,,,,0.0,,
58,2095653,36,,left,saccade,4.0,,,,969.298,505.819,727.2239999999997,516.821,,,
59,2095653,36,,right,saccade,4.0,18.0,,,982.087,524.966,742.878,531.586,,,
60,2095693,200,3.9533400000000003,right,fixation,4.0,18.0,725.283549019608,552.436294117647,,,,,0.0,,
61,2095693,204,3.9532941176470575,left,fixation,4.0,,708.9855769230769,519.8536153846151,,,,,0.0,,
62,2095897,48,,right,saccade,5.0,19.0,,,719.922,547.5169999999998,1149.083,506.918,,,
63,2095901,44,,left,saccade,5.0,,,,703.572,512.2230000000002,1164.5810000000001,499.35900000000004,,,
64,2095949,364,3.9114890109890115,right,fixation,5.0,19.0,1185.41616304348,497.33267391304395,,,,,1.0,7.6109939433398255,20.297633211781186
65,2095949,368,3.9110163043478257,left,fixation,5.0,,1190.1726344086,499.503516129032,,,,,1.0,8.8774394957104,25.997771019839448
66,2096317,24,,right,saccade,6.0,20.0,,,1210.892,504.80199999999996,1386.015,501.996,,,
67,2096321,24,,left,saccade,6.0,,,,1232.356,506.281,1385.644,511.17,,,
68,2096345,136,3.8584117647058815,right,fixation,6.0,20.0,1414.6106857142902,504.035057142857,,,,,0.0,,
69,2096349,132,3.858212121212121,left,fixation,6.0,,1426.63667647059,497.343823529412,,,,,0.0,,
70,2096485,48,,left,saccade,7.0,,,,1443.6770000000001,507.061,848.7439999999997,459.625,,,
71,2096485,52,,right,saccade,7.0,21.0,,,1428.3410000000001,512.878,873.306,467.17,,,
72,2096537,164,3.9173536585365856,left,fixation,7.0,,826.209785714286,457.890785714286,,,,,1.0,4.580148523792653,12.183322535334925
73,2096541,160,3.91785,right,fixation,7.0,21.0,837.83631707317,472.39092682926804,,,,,3.0,6.118901437017268,15.503480975689364
82,2096973,52,,left,saccade,8.0,,,,1332.3229999999999,246.958,836.846,374.704,,,
83,2096973,52,,right,saccade,8.0,24.0,,,1341.89,252.582,868.829,422.213,,,
84,2097029,100,3.9104423076923074,left,fixation,8.0,,816.311115384615,402.28976923076897,,,,,0.0,,
85,2097029,104,3.9106666666666654,right,fixation,8.0,24.0,828.3065925925929,439.375814814815,,,,,0.0,,
86,2097133,20,,left,saccade,9.0,,,,810.439,396.889,750.908,451.05699999999996,,,
87,2097137,16,,right,saccade,9.0,25.0,,,810.9780000000003,441.084,756.9839999999997,457.583,,,
88,2097157,204,3.9177400000000002,left,fixation,9.0,,714.1615,471.58915384615403,,,,,0.0,,
89,2097157,204,3.9177400000000002,right,fixation,9.0,25.0,730.953903846154,503.77440384615403,,,,,0.0,,
90,2097365,32,,left,saccade,10.0,,,,707.982,487.04,573.049,552.67,,,
91,2097365,32,,right,saccade,10.0,26.0,,,726.985,508.18199999999996,576.869,556.054,,,
98,2097873,40,,left,saccade,11.0,,,,452.907,582.276,720.9010000000003,461.31,,,
99,2097873,44,,right,saccade,11.0,28.0,,,467.624,613.13,754.029,476.157,,,
