,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
84,2275385,48,,left,saccade,1.0,,,,1336.164,235.752,507.407,406.36199999999997,,,
85,2275385,52,,right,saccade,1.0,23.0,,,1328.745,284.553,520.564,412.918,,,
86,2275437,112,3.722089285714286,left,fixation,1.0,,499.22417241379287,430.427586206897,,,,,0.0,,
87,2275441,108,3.7226851851851848,right,fixation,1.0,24.0,495.59378571428596,434.59625,,,,,1.0,6.705856820305987,22.304210364861593
88,2275553,20,,left,saccade,2.0,,,,495.445,435.284,400.23400000000004,445.51,,,
89,2275553,20,,right,saccade,2.0,24.0,,,490.337,438.779,382.931,457.89,,,
90,2275577,248,3.7300967741935485,left,fixation,2.0,,410.8090952380951,452.310365079365,,,,,1.0,8.33514088396566,23.80365217776465
91,2275577,248,3.7300967741935485,right,fixation,2.0,25.0,398.74217460317396,462.550476190476,,,,,4.0,5.871077495189903,23.46902431941663
92,2275829,24,,left,saccade,3.0,,,,423.306,448.298,590.6030000000002,444.02,,,
93,2275829,24,,right,saccade,3.0,25.0,,,419.583,461.338,604.684,471.333,,,
94,2275857,252,3.7588333333333335,right,fixation,3.0,26.0,578.084890625,468.1466875,,,,,1.0,7.2581013682795845,30.901744190255588
95,2275857,256,3.75859375,left,fixation,3.0,,583.0181846153849,456.534723076923,,,,,0.0,,
96,2276113,28,,right,saccade,4.0,26.0,,,537.056,473.629,740.582,468.129,,,
97,2276117,20,,left,saccade,4.0,,,,571.38,488.14599999999996,740.312,489.20099999999996,,,
98,2276141,216,3.7409722222222235,left,fixation,4.0,,760.851036363636,488.55550909090897,,,,,0.0,,
99,2276145,388,3.7216391752577316,right,fixation,4.0,27.0,708.684255102041,473.445020408163,,,,,1.0,12.273465871545813,56.558539602786844
100,2276361,20,,left,saccade,5.0,,,,759.8919999999997,491.037,658.87,484.25300000000004,,,
101,2276385,148,3.6922432432432433,left,fixation,5.0,,670.405763157895,475.89786842105286,,,,,0.0,,
102,2276537,16,,right,saccade,5.0,27.0,,,663.2539999999998,492.594,728.8510000000001,489.61400000000003,,,
103,2276537,20,,left,saccade,6.0,,,,685.967,490.347,752.164,485.335,,,
104,2276557,100,3.6622,right,fixation,5.0,28.0,739.659,473.323923076923,,,,,0.0,,
105,2276561,96,3.662104166666667,left,fixation,6.0,,767.9948400000003,488.09772000000004,,,,,0.0,,
106,2276661,16,,right,saccade,6.0,28.0,,,754.954,461.62,815.448,457.129,,,
107,2276661,20,,left,saccade,7.0,,,,770.8489999999997,486.791,857.99,469.42699999999996,,,
108,2276681,248,3.6023709677419364,right,fixation,6.0,29.0,839.092444444445,463.58779365079397,,,,,0.0,,
109,2276685,244,3.6017377049180337,left,fixation,7.0,,867.3939999999999,462.407161290323,,,,,0.0,,
110,2276933,28,,left,saccade,8.0,,,,867.3760000000003,472.855,555.117,487.05199999999996,,,
111,2276933,32,,right,saccade,7.0,29.0,,,839.694,464.644,527.216,478.356,,,
112,2276965,292,3.5386849315068485,left,fixation,8.0,,516.285743243243,447.500283783784,,,,,1.0,9.420262353329411,27.456403879605173
113,2276969,148,3.5737567567567563,right,fixation,7.0,30.0,520.006789473684,457.812947368421,,,,,0.0,,
114,2277121,0,,right,saccade,8.0,30.0,,,480.461,426.352,480.461,426.352,,,
115,2277125,132,3.4962272727272734,right,fixation,8.0,31.0,462.076352941177,453.311647058824,,,,,1.0,7.146591528289696,35.862244338579785
116,2277261,48,,left,saccade,9.0,,,,487.644,431.36699999999996,1307.2089999999996,444.097,,,
117,2277261,48,,right,saccade,9.0,31.0,,,469.63300000000004,454.50300000000004,1348.9589999999996,426.852,,,
118,2277313,828,3.5252584541062797,left,fixation,9.0,,1372.93794711538,403.834711538462,,,,,5.0,5.580918254188872,12.556051868555086
119,2277313,832,3.5256442307692315,right,fixation,9.0,32.0,1375.06509090909,403.990956937799,,,,,5.0,4.805550020692103,14.009080900697596
120,2278145,40,,left,saccade,10.0,,,,1387.9660000000001,394.593,872.072,421.152,,,
121,2278149,36,,right,saccade,10.0,32.0,,,1384.0929999999994,397.096,864.8539999999997,428.848,,,
122,2278189,193,3.7019591836734698,left,fixation,10.0,,856.372163265306,440.22387755102096,,,,,0.0,,
123,2278189,197,3.70266,right,fixation,10.0,33.0,841.3185800000001,439.4957,,,,,0.0,,
124,2278386,24,,left,saccade,11.0,,,,845.944,450.718,700.092,456.13,,,
125,2278390,20,,right,saccade,11.0,33.0,,,830.449,429.656,690.285,453.583,,,
126,2278414,163,3.7710975609756106,left,fixation,11.0,,705.012928571429,467.58369047619004,,,,,0.0,,
127,2278414,163,3.7710975609756106,right,fixation,11.0,34.0,690.0575238095239,464.791619047619,,,,,0.0,,
