,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
434,3471383,60,,left,saccade,1.0,,,,1480.934,441.87,686.248,554.721,,,
435,3471387,56,,right,saccade,1.0,109.0,,,1461.945,431.284,658.659,545.489,,,
436,3471447,208,3.3955769230769235,left,fixation,1.0,,676.759830188679,580.029169811321,,,,,2.0,3.556827963039898,10.405839624975076
437,3471447,208,3.3955769230769235,right,fixation,1.0,110.0,649.593547169811,587.864698113208,,,,,2.0,3.0404146591628654,5.307193584233122
438,3471659,24,,left,saccade,2.0,,,,667.85,594.378,520.3580000000002,619.903,,,
439,3471659,24,,right,saccade,2.0,110.0,,,653.438,617.643,469.50699999999995,640.422,,,
440,3471687,84,,left,fixation,2.0,,508.391045454546,633.162045454545,,,,,0.0,,
441,3471687,88,,right,fixation,2.0,111.0,460.00004347826103,638.725043478261,,,,,2.0,5.4362682676421334,12.215016181151313
442,3471775,44,,left,saccade,3.0,,,,507.35400000000004,631.73,407.42699999999996,641.755,,,
443,3471779,44,,right,saccade,3.0,111.0,,,460.86400000000003,627.318,394.769,638.127,,,
444,3471903,20,,right,fixation,3.0,112.0,394.8888333333329,648.770666666667,,,,,0.0,,
446,3471931,132,3.4144077777777766,left,fixation,3.0,,424.9925588235289,625.795647058824,,,,,2.0,8.974357658593402,25.981386028172988
448,3472067,32,,left,saccade,4.0,,,,442.898,647.945,776.318,649.605,,,
451,3472107,448,3.4223274336283187,right,fixation,4.0,114.0,748.1841327433632,647.181451327434,,,,,8.0,5.677830181032406,14.161884204599323
453,3472559,20,,right,saccade,4.0,114.0,,,733.566,650.7819999999998,825.492,657.112,,,
455,3472583,288,3.3848680555555566,right,fixation,5.0,115.0,836.96395890411,645.836424657535,,,,,3.0,4.867867788657087,12.50163150230572
456,3472871,32,,left,saccade,5.0,,,,860.084,665.633,666.732,645.42,,,
457,3472875,28,,right,saccade,5.0,115.0,,,833.586,651.703,640.765,638.827,,,
458,3472907,220,3.312745454545455,left,fixation,4.0,,649.331125,645.9026071428569,,,,,6.0,4.144915702608212,13.846863994727547
459,3472907,220,3.312745454545455,right,fixation,6.0,116.0,631.654321428571,611.759946428572,,,,,6.0,7.465357313261896,24.10782847049277
460,3473131,28,,left,saccade,6.0,,,,651.555,650.929,447.38199999999995,625.009,,,
461,3473131,28,,right,saccade,6.0,116.0,,,631.602,615.256,377.80699999999996,619.211,,,
462,3473163,632,3.319113924050633,left,fixation,5.0,,435.870226415094,627.880295597485,,,,,5.0,3.134683458617449,13.375479703831427
463,3473163,632,3.319113924050633,right,fixation,7.0,117.0,398.74663522012605,624.642823899371,,,,,14.0,3.7938733142883354,13.686963032350922
464,3473799,12,,left,saccade,7.0,,,,458.425,640.3969999999998,509.865,643.812,,,
465,3473799,12,,right,saccade,7.0,117.0,,,432.531,643.6419999999998,486.775,639.523,,,
466,3473815,124,3.3714690082644627,left,fixation,6.0,,525.3855625,644.2601875,,,,,1.0,1.8335484798002168,1.365507964092404
468,3473943,32,,left,saccade,8.0,,,,532.743,644.247,501.897,618.885,,,
469,3473951,40,,right,saccade,8.0,118.0,,,494.856,665.2180000000002,483.665,595.577,,,
470,3474095,0,,right,fixation,8.0,119.0,482.13800000000003,595.577,,,,,0.0,,
471,3474099,16,,right,saccade,9.0,119.0,,,479.163,595.577,473.50800000000004,655.423,,,
472,3474103,444,3.338436781609196,left,fixation,7.0,,544.8075,630.2013125,,,,,4.0,3.4421728030787184,18.968233839406412
473,3474119,428,3.338436781609196,right,fixation,9.0,120.0,497.464796296296,648.6643796296299,,,,,6.0,4.711477509285464,20.677853888975662
474,3474551,16,,left,saccade,9.0,,,,538.601,626.078,463.695,622.008,,,
475,3474551,16,,right,saccade,10.0,120.0,,,496.59,612.48,415.588,630.674,,,
476,3474571,308,3.304185897435897,left,fixation,8.0,,452.522256410256,634.977333333334,,,,,1.0,2.176066820103566,7.929570101840365
477,3474571,308,3.304185897435897,right,fixation,10.0,121.0,407.98970512820506,630.559371794871,,,,,3.0,3.479052367785895,8.658657955008284
478,3474883,32,,left,saccade,10.0,,,,447.33,624.271,662.9639999999997,640.799,,,
479,3474883,32,,right,saccade,11.0,121.0,,,408.713,623.379,658.8380000000002,594.9169999999998,,,
480,3474919,660,3.2992256097560984,right,fixation,11.0,122.0,712.257301204819,630.2971506024099,,,,,3.0,6.6021393153038295,29.350715946978692
482,3475583,20,,right,saccade,12.0,122.0,,,745.842,657.702,658.841,650.059,,,
483,3475587,16,,left,saccade,11.0,,,,748.908,650.003,673.075,643.222,,,
484,3475607,400,3.2749349999999997,right,fixation,12.0,123.0,634.1890594059413,625.381811881188,,,,,6.0,4.352653415625917,19.769418513556907
485,3475607,404,3.2754653465346535,left,fixation,9.0,,643.544019607843,647.924774509804,,,,,5.0,3.7637665539729066,18.021231701020263
486,3476011,16,,right,saccade,13.0,123.0,,,631.192,642.288,564.55,645.872,,,
488,3476031,232,3.299181034482758,right,fixation,13.0,124.0,526.890338983051,635.618847457627,,,,,6.0,5.039452941492229,18.4128719145013
489,3476035,228,3.2985701754385963,left,fixation,10.0,,545.761724137931,631.851982758621,,,,,1.0,2.4682944628944865,5.1301439550951615
491,3476267,32,,right,saccade,14.0,124.0,,,512.269,608.589,852.88,614.173,,,
493,3476303,600,3.3079699999999996,right,fixation,14.0,125.0,842.35438410596,638.625006622516,,,,,8.0,3.3850827730291364,7.650458868712469
495,3476907,40,,right,saccade,15.0,125.0,,,837.1260000000003,611.586,473.504,623.904,,,
496,3476943,524,3.2274585230875656,left,fixation,11.0,,463.838886363636,648.081181818182,,,,,3.0,4.5291793910176965,27.063687885940105
497,3476951,524,3.2271016162209816,right,fixation,15.0,126.0,416.42068939394,630.6796893939389,,,,,6.0,3.5434637987731272,17.346060632913186
498,3477471,32,,left,saccade,12.0,,,,433.895,642.023,861.054,640.45,,,
499,3477479,40,,right,saccade,16.0,126.0,,,377.661,641.446,843.3639999999997,593.019,,,
500,3477591,500,3.3078886276814576,right,fixation,16.0,127.0,832.377753968254,626.430682539682,,,,,5.0,5.5106543019326075,21.58047417796723
502,3478095,44,,left,saccade,13.0,,,,850.955,666.0889999999997,409.17,649.9590000000002,,,
503,3478095,44,,right,saccade,17.0,127.0,,,838.3960000000003,606.873,376.494,649.74,,,
504,3478143,559,3.2847805755395685,left,fixation,12.0,,421.73407801418404,641.459134751773,,,,,2.0,5.00411138179916,25.674851974763584
