,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
56,2111410,1300,3.399584615384615,right,fixation,1.0,15.0,467.34945705521403,357.626920245399,,,,,6.0,6.441603466586101,37.694754789451366
57,2111414,1300,3.3994384615384616,left,fixation,1.0,,486.469285276073,369.797187116565,,,,,5.0,6.039540449740904,40.3184066063215
58,2112714,32,,right,saccade,1.0,16.0,,,495.522,339.03,696.3889999999999,442.519,,,
59,2112718,32,,left,saccade,1.0,,,,524.984,370.139,716.89,453.616,,,
60,2112750,3772,3.6123274789819186,right,fixation,2.0,16.0,710.500940677966,498.470493644067,,,,,1.0,2.556879418570845,7.0020482717559815
61,2112754,3736,3.612536490459445,left,fixation,2.0,,730.243568983958,500.639906951873,,,,,0.0,,
62,2116494,44,,left,saccade,2.0,,,,736.806,521.2180000000002,674.7669999999998,463.176,,,
63,2116526,40,,right,saccade,2.0,17.0,,,710.732,501.89,744.189,505.731,,,
64,2116606,2488,3.5318241912119754,right,fixation,3.0,17.0,710.663341894062,485.75691171749605,,,,,2.0,5.024337460653607,27.19164955090877
65,2116982,2112,3.5145800781250003,left,fixation,3.0,,722.704727788279,510.0841568998111,,,,,2.0,3.859552048881788,8.136862838750968
66,2119098,32,,right,saccade,3.0,18.0,,,717.0360000000003,495.445,894.591,477.306,,,
67,2119098,36,,left,saccade,3.0,,,,733.174,510.212,928.6080000000001,522.2869999999998,,,
68,2119134,936,3.582229468599034,right,fixation,4.0,18.0,934.7842765957448,485.345365957447,,,,,1.0,3.2175763869029823,6.037475631420832
69,2119138,924,3.582123786407767,left,fixation,4.0,,960.457284482759,521.204538793104,,,,,0.0,,
73,2120214,608,3.406187969924812,left,fixation,5.0,,503.012274509804,349.431183006536,,,,,2.0,6.975795013161916,30.17761379995397
74,2120318,4,,right,saccade,4.0,20.0,,,447.32099999999997,358.76300000000015,450.69199999999995,363.175,,,
75,2120326,496,3.4074435483870964,right,fixation,5.0,20.0,497.186128000001,374.767872,,,,,0.0,,
76,2120826,40,,right,saccade,5.0,21.0,,,496.301,370.14099999999996,907.201,472.087,,,
77,2120826,44,,left,saccade,4.0,,,,514.154,367.75699999999995,914.8510000000001,486.20599999999996,,,
78,2120870,216,3.527712962962963,right,fixation,6.0,21.0,926.731036363636,481.577763636364,,,,,0.0,,
79,2120874,212,3.528669811320756,left,fixation,6.0,,931.528611111111,516.381537037037,,,,,0.0,,
80,2121090,28,,left,saccade,5.0,,,,933.924,524.751,758.57,531.253,,,
81,2121090,28,,right,saccade,6.0,22.0,,,929.61,479.12800000000004,751.377,483.02099999999996,,,
82,2121122,504,3.5968849206349214,left,fixation,7.0,,732.453716535433,530.171582677165,,,,,1.0,3.510913560282836,8.041982653550116
83,2121122,504,3.5968849206349214,right,fixation,7.0,22.0,725.372251968504,490.324913385827,,,,,0.0,,
84,2121630,28,,left,saccade,6.0,,,,728.461,547.337,908.296,540.604,,,
85,2121630,32,,right,saccade,7.0,23.0,,,715.52,469.301,920.293,481.81699999999995,,,
86,2121662,2359,3.6187359932088285,left,fixation,8.0,,960.7904416243672,530.325641285956,,,,,0.0,,
87,2121666,2355,3.618721088435373,right,fixation,8.0,23.0,953.366359322034,508.49948983050905,,,,,1.0,3.945015455539363,10.720824035492717
88,2124025,28,,left,saccade,7.0,,,,979.437,513.6669999999998,1178.028,515.227,,,
89,2124025,28,,right,saccade,8.0,24.0,,,956.836,485.44599999999997,1154.9189999999999,496.079,,,
90,2124057,264,3.485386363636364,left,fixation,9.0,,1196.54908955224,511.853313432836,,,,,0.0,,
91,2124057,264,3.485386363636364,right,fixation,9.0,24.0,1178.3227761194,513.507119402985,,,,,2.0,3.682737808758589,11.241720280866932
92,2124325,32,,right,saccade,9.0,25.0,,,1183.8419999999999,518.1419999999998,982.2539999999999,481.58099999999996,,,
93,2124325,36,,left,saccade,8.0,,,,1203.789,498.963,964.6510000000001,484.017,,,
94,2124361,276,3.4838188405797106,right,fixation,10.0,25.0,947.7153142857139,468.727742857143,,,,,1.0,2.9197511785157837,9.631549667628754
95,2124365,272,3.4836691176470587,left,fixation,10.0,,953.165362318841,480.551492753623,,,,,0.0,,
96,2124641,44,,left,saccade,9.0,,,,948.02,470.69,1423.93,507.05,,,
97,2124641,44,,right,saccade,10.0,26.0,,,952.9119999999999,471.426,1394.609,497.277,,,
98,2124689,428,3.4267695993031366,left,fixation,11.0,,1435.41016666667,513.544407407408,,,,,0.0,,
99,2124689,432,3.4267695993031366,right,fixation,11.0,26.0,1424.28975229358,495.712541284403,,,,,0.0,,
100,2125121,40,,left,saccade,10.0,,,,1441.2920000000001,512.299,935.069,352.39599999999996,,,
101,2125125,44,,right,saccade,11.0,27.0,,,1434.582,498.958,929.337,431.621,,,
102,2125353,485,3.386487865887865,left,fixation,12.0,,943.8539262295088,411.94562295082,,,,,2.0,5.716028152698359,30.446359383652894
103,2125361,481,3.3861243593008306,right,fixation,12.0,27.0,955.4438347107448,418.093413223141,,,,,3.0,11.608513912769576,26.440139611177283
104,2125842,48,,left,saccade,11.0,,,,958.6439999999999,449.70300000000003,564.071,330.84,,,
105,2125846,44,,right,saccade,12.0,28.0,,,956.867,404.276,529.711,346.353,,,
107,2125894,559,3.3282428571428566,right,fixation,13.0,28.0,514.521184397163,351.195432624114,,,,,0.0,,
