,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
58,2546265,56,,left,saccade,1.0,,,,1185.868,283.476,480.207,550.604,,,
59,2546265,56,,right,saccade,1.0,15.0,,,1209.923,290.953,499.634,552.319,,,
60,2546325,100,3.44734,left,fixation,1.0,,457.571307692308,565.0213846153849,,,,,0.0,,
61,2546325,104,3.4468461538461534,right,fixation,1.0,16.0,483.107592592593,568.967740740741,,,,,0.0,,
62,2546429,20,,left,saccade,2.0,,,,447.116,567.286,447.70300000000003,463.097,,,
63,2546433,20,,right,saccade,2.0,16.0,,,474.295,564.6569999999998,472.26,456.285,,,
64,2546453,524,3.469964700817908,left,fixation,2.0,,430.330856060606,413.43667424242403,,,,,4.0,4.611192897721796,20.79296403828178
65,2546457,524,3.4702424052161316,right,fixation,2.0,17.0,448.840742424242,426.849765151515,,,,,3.0,4.748017796324756,18.550118403369762
68,2547145,1384,3.4222316293929715,left,fixation,3.0,,425.33830259366,424.760602305475,,,,,4.0,6.276597806165938,36.48234004153354
69,2547153,1372,3.4221554487179486,right,fixation,3.0,18.0,452.33485755814,437.02492441860494,,,,,6.0,5.3760952694173385,20.04145658089448
70,2548529,16,,right,saccade,3.0,18.0,,,471.204,471.93199999999996,477.719,406.98400000000004,,,
71,2548533,12,,left,saccade,3.0,,,,440.38300000000004,438.19699999999995,442.26099999999997,390.16900000000004,,,
72,2548549,1556,3.441462724935733,left,fixation,4.0,,435.26438461538396,408.810756410256,,,,,6.0,5.589074019416269,25.227474455290288
73,2548549,1556,3.441462724935733,right,fixation,4.0,19.0,460.444938461539,427.706235897436,,,,,9.0,5.624104800524746,20.764683387600023
74,2550109,32,,left,saccade,4.0,,,,449.509,412.972,573.714,471.776,,,
75,2550109,32,,right,saccade,4.0,19.0,,,466.45300000000003,435.42400000000004,597.638,493.03,,,
76,2550145,24,3.4246666666666665,left,fixation,5.0,,592.464,474.970142857143,,,,,0.0,,
77,2550145,24,3.4246666666666665,right,fixation,5.0,20.0,621.4590000000002,503.124571428571,,,,,1.0,7.826981513400375,13.859225447332902
78,2550173,20,,left,saccade,5.0,,,,608.018,475.548,687.836,477.017,,,
79,2550173,20,,right,saccade,5.0,20.0,,,640.993,514.164,707.205,517.013,,,
80,2550197,280,3.3804,left,fixation,6.0,,702.777253521127,513.220929577465,,,,,0.0,,
81,2550197,280,3.3804,right,fixation,6.0,21.0,729.797352112676,531.9617605633799,,,,,0.0,,
82,2550481,36,,right,saccade,6.0,21.0,,,728.967,526.456,519.486,494.97,,,
83,2550481,44,,left,saccade,6.0,,,,702.82,521.615,479.255,465.668,,,
84,2550521,856,3.3669462616822434,right,fixation,7.0,22.0,440.749493023256,462.789065116279,,,,,6.0,5.911878023527372,17.404722637934032
85,2550529,836,3.3664904306220103,left,fixation,7.0,,411.62291428571405,448.3719666666671,,,,,2.0,4.772661602160097,22.11433606305881
86,2551369,16,,left,saccade,7.0,,,,360.723,445.575,367.15,394.164,,,
87,2551381,0,,right,saccade,7.0,22.0,,,395.705,420.01800000000003,395.705,420.01800000000003,,,
88,2551385,4872,3.427181576106602,right,fixation,8.0,23.0,429.45704183757204,421.703263330599,,,,,25.0,4.5628126238749145,18.55853162406293
89,2551389,4856,3.4272048869075333,left,fixation,8.0,,406.603875720164,415.4169934156369,,,,,21.0,4.490187871946446,18.658694442678296
91,2556261,80,,right,saccade,8.0,23.0,,,462.61,461.67699999999996,508.191,391.036,,,
92,2556445,1176,3.3449594012000086,left,fixation,9.0,,428.396701694915,400.42685084745796,,,,,8.0,5.8597463051994385,26.86139538167306
93,2556461,1124,3.3443958296449785,right,fixation,9.0,24.0,459.283205673759,397.738517730497,,,,,4.0,6.496195421778343,31.16404666534085
94,2557589,16,,right,saccade,9.0,24.0,,,422.36699999999996,417.204,499.074,419.43800000000016,,,
95,2557609,16,3.361625,right,fixation,10.0,25.0,505.5972,420.9786,,,,,0.0,,
96,2557625,36,,left,saccade,8.0,,,,443.401,423.908,638.997,483.656,,,
97,2557629,32,,right,saccade,10.0,25.0,,,511.71,423.05,662.676,520.2959999999998,,,
98,2557665,372,3.3195053763440865,left,fixation,10.0,,690.966478723404,506.24532978723397,,,,,2.0,6.385672545345957,34.50048175006247
99,2557665,376,3.3191063829787244,right,fixation,11.0,26.0,714.2098842105272,536.3987578947371,,,,,4.0,4.725737324298503,14.066105529109366
100,2558041,40,,left,saccade,9.0,,,,723.049,537.275,485.707,438.959,,,
101,2558045,36,,right,saccade,11.0,26.0,,,724.6289999999997,530.336,504.715,443.634,,,
102,2558085,919,3.332229257641921,left,fixation,11.0,,432.873021645022,405.947372294373,,,,,5.0,4.016151354875712,13.058865019791313
103,2558085,919,3.332229257641921,right,fixation,12.0,27.0,460.288701298701,420.022411255411,,,,,2.0,4.054293065895116,13.521400597084448
104,2559008,40,,left,saccade,10.0,,,,432.611,414.06800000000004,687.693,482.659,,,
105,2559008,44,,right,saccade,12.0,27.0,,,459.968,420.306,720.492,497.42800000000005,,,
106,2559052,216,3.3822870370370377,left,fixation,12.0,,728.5507636363631,516.479618181818,,,,,1.0,4.915762134309478,10.372701191107453
107,2559056,212,3.3819622641509435,right,fixation,13.0,28.0,749.3580925925929,547.205870370371,,,,,1.0,5.206185490463353,8.329132607901082
108,2559272,28,,left,saccade,11.0,,,,733.4,521.076,922.528,528.7909999999998,,,
109,2559272,28,,right,saccade,13.0,28.0,,,752.798,549.707,938.408,533.612,,,
110,2559304,244,3.3801393442622967,left,fixation,13.0,,952.854935483871,543.844741935484,,,,,1.0,3.4251817672773237,9.482215142043668
111,2559304,244,3.3801393442622967,right,fixation,14.0,29.0,974.66514516129,549.183451612903,,,,,2.0,4.610494475818029,12.638695067544171
112,2559552,48,,left,saccade,12.0,,,,949.6039999999999,545.857,508.524,447.539,,,
113,2559552,48,,right,saccade,14.0,29.0,,,978.8380000000001,558.117,535.696,446.83099999999996,,,
114,2559604,1640,3.4069025974025973,left,fixation,14.0,,428.062698296837,413.84705596107,,,,,5.0,44.26567593953251,22.062912520467663
