,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
36,2422107,32,,left,saccade,1.0,,,,433.6,194.99599999999998,416.72900000000004,407.9,,,
37,2422111,28,,right,saccade,1.0,10.0,,,413.76099999999997,185.95,398.579,370.691,,,
38,2422143,792,3.337701005025126,right,fixation,1.0,10.0,392.1421809045221,435.88406030150804,,,,,2.0,8.05353499096903,16.000924362451148
39,2422143,1624,3.3706081081081085,left,fixation,1.0,,403.648565110565,444.111481572482,,,,,2.0,7.189975855219528,29.181383351188327
40,2422939,0,,right,saccade,2.0,11.0,,,368.775,457.157,368.775,457.157,,,
41,2422943,368,3.382478260869565,right,fixation,2.0,11.0,380.605376344086,511.217258064516,,,,,0.0,,
42,2423315,16,,right,saccade,3.0,12.0,,,376.413,503.296,431.8,491.923,,,
43,2423335,432,3.419092592592593,right,fixation,3.0,12.0,436.00423853211,440.441082568807,,,,,0.0,,
44,2423771,24,,right,saccade,4.0,13.0,,,435.99,450.79699999999997,541.359,579.43,,,
45,2423771,28,,left,saccade,2.0,,,,431.62300000000016,441.082,580.1709999999998,553.128,,,
46,2423799,64,3.46859375,right,fixation,4.0,13.0,573.697647058823,569.653647058823,,,,,1.0,5.666312783067621,11.352094828709026
47,2423803,108,3.471222222222221,left,fixation,2.0,,574.7722142857141,560.8110357142859,,,,,1.0,5.947445506732781,19.83551587430993
48,2423867,4,,right,saccade,5.0,14.0,,,584.901,578.435,584.901,594.607,,,
49,2423875,36,3.4763333333333333,right,fixation,5.0,14.0,578.1335,612.3242,,,,,0.0,,
50,2423915,24,,left,saccade,3.0,,,,574.4780000000002,590.303,727.319,583.206,,,
51,2423915,24,,right,saccade,6.0,15.0,,,578.614,617.4630000000002,739.553,593.016,,,
52,2423943,116,3.495844827586206,left,fixation,3.0,,740.999866666667,584.7136,,,,,0.0,,
53,2423943,116,3.495844827586206,right,fixation,6.0,15.0,747.2504,593.697033333333,,,,,0.0,,
54,2424063,24,,right,saccade,7.0,16.0,,,741.041,609.597,961.68,602.762,,,
55,2424063,28,,left,saccade,4.0,,,,744.1519999999997,588.15,961.445,587.651,,,
56,2424091,388,3.534494845360825,right,fixation,7.0,16.0,971.621959183673,594.797836734694,,,,,0.0,,
57,2424095,384,3.53471875,left,fixation,4.0,,977.3473814432988,566.0124329896901,,,,,2.0,7.096583981330467,17.337823057447277
58,2424483,52,,left,saccade,5.0,,,,975.693,573.313,410.871,460.135,,,
59,2424483,52,,right,saccade,8.0,17.0,,,971.461,602.727,427.51099999999997,475.991,,,
60,2424539,884,3.472331447963801,left,fixation,5.0,,389.5671666666671,466.39404954954887,,,,,3.0,70.85501064141535,213.61193053705972
61,2424539,884,3.472331447963801,right,fixation,8.0,17.0,396.931054054054,482.14429279279295,,,,,3.0,72.33818196166833,215.5644287174981
62,2425427,52,,right,saccade,9.0,18.0,,,413.036,496.454,1091.5410000000004,548.974,,,
63,2425427,56,,left,saccade,6.0,,,,407.62300000000016,468.074,1151.697,536.8430000000002,,,
64,2425483,124,3.5085967741935487,right,fixation,9.0,18.0,1102.21853125,566.672,,,,,0.0,,
65,2425487,1232,3.4467289644012946,left,fixation,6.0,,1205.77496440129,561.346482200648,,,,,4.0,8.2084410009213,16.65045995077971
66,2425611,16,,right,saccade,10.0,19.0,,,1122.667,595.36,1179.149,595.36,,,
67,2425631,1088,3.4387646520146524,right,fixation,10.0,19.0,1207.1628791208802,572.05243956044,,,,,2.0,8.355838847946814,17.303259715922852
