,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
99,2222117,24,,right,saccade,1.0,25.0,,,1329.749,263.474,1310.6860000000001,391.092,,,
101,2222145,132,3.159515151515152,right,fixation,1.0,26.0,1309.1359117647098,400.090058823529,,,,,0.0,,
102,2222281,52,,left,saccade,1.0,,,,1295.912,378.62199999999996,522.893,414.819,,,
103,2222281,56,,right,saccade,2.0,26.0,,,1301.952,423.108,487.31699999999995,436.407,,,
104,2222337,308,3.216168831168831,left,fixation,1.0,,479.11576923077,433.115423076923,,,,,2.0,7.210275632224777,22.6444385380894
105,2222341,300,3.216846666666666,right,fixation,2.0,27.0,451.8490526315789,444.140013157895,,,,,1.0,13.321342585406995,41.72911229585407
106,2222645,20,,right,saccade,3.0,27.0,,,429.708,465.375,523.012,467.022,,,
107,2222649,16,,left,saccade,2.0,,,,464.85900000000004,449.668,522.009,445.08,,,
108,2222669,176,3.194602272727273,right,fixation,3.0,28.0,531.238577777778,452.83384444444397,,,,,0.0,,
109,2222669,180,3.1943777777777767,left,fixation,2.0,,536.729130434783,424.149739130435,,,,,0.0,,
110,2222849,16,,right,saccade,4.0,28.0,,,533.12,450.01199999999994,617.247,460.662,,,
111,2222853,16,,left,saccade,3.0,,,,548.784,426.445,614.137,437.64300000000003,,,
112,2222869,212,3.1329716981132076,right,fixation,4.0,29.0,624.903444444444,449.44300000000004,,,,,0.0,,
113,2222873,208,3.1325480769230767,left,fixation,3.0,,648.050811320755,418.931358490566,,,,,0.0,,
114,2223085,16,,left,saccade,4.0,,,,647.915,421.45,728.584,430.653,,,
115,2223085,20,,right,saccade,5.0,29.0,,,627.493,446.316,724.7719999999997,442.519,,,
116,2223105,428,3.0847075471698107,left,fixation,4.0,,756.2773518518518,418.032314814815,,,,,0.0,,
117,2223109,416,3.0846213592233007,right,fixation,5.0,30.0,730.867971428571,427.184190476191,,,,,0.0,,
118,2223529,20,,right,saccade,6.0,30.0,,,727.332,410.414,824.586,406.24699999999996,,,
119,2223537,16,,left,saccade,5.0,,,,757.712,411.21,825.548,419.61800000000005,,,
120,2223553,216,3.0544454545454545,right,fixation,6.0,31.0,825.879945454546,414.304309090909,,,,,0.0,,
121,2223557,208,3.0544905660377366,left,fixation,5.0,,844.0297547169812,419.608452830189,,,,,0.0,,
122,2223769,28,,left,saccade,6.0,,,,850.447,427.38199999999995,584.899,448.025,,,
123,2223773,28,,right,saccade,7.0,31.0,,,822.6569999999997,428.20300000000003,563.069,437.025,,,
124,2223801,300,3.1198866666666665,left,fixation,6.0,,548.8483815789468,421.338802631579,,,,,2.0,11.917811017168026,34.89136925213023
125,2223805,292,3.120068493150685,right,fixation,7.0,32.0,506.165918918919,428.94955405405403,,,,,1.0,13.102960175514207,63.01704253612668
126,2224101,56,,right,saccade,8.0,32.0,,,469.277,408.13300000000004,1390.69,392.895,,,
