,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
34,19525627,144,3.0613378378378377,left,fixation,1.0,,477.132189189189,641.263459459459,,,,,3.0,9.625071659633363,27.955108717075483
36,19525759,16,,right,saccade,1.0,9.0,,,439.86800000000005,612.818,418.961,658.925,,,
37,19525775,0,,left,saccade,1.0,,,,436.586,676.227,436.586,676.227,,,
38,19525779,751,3.057729946524064,right,fixation,1.0,10.0,389.73089947089994,685.996788359789,,,,,4.0,4.396543310231522,10.556992365492622
39,19525779,939,3.054788461538461,left,fixation,2.0,,419.496546610169,702.6340889830499,,,,,4.0,6.336025312426371,27.764549314084338
40,19526534,16,,right,saccade,2.0,10.0,,,388.795,726.378,440.324,696.2460000000003,,,
41,19526554,164,3.042451219512195,right,fixation,2.0,11.0,425.495071428571,670.587690476191,,,,,2.0,4.460219156996756,8.723254810418496
42,19526722,40,,left,saccade,2.0,,,,457.56800000000004,688.6110000000001,775.487,830.51,,,
43,19526722,40,,right,saccade,3.0,11.0,,,410.981,673.65,772.4860000000001,802.058,,,
44,19526766,113,3.0958275862068962,left,fixation,3.0,,801.785793103448,854.0419999999997,,,,,1.0,6.460810806530211,18.80962716270573
45,19526766,113,3.0958275862068962,right,fixation,3.0,12.0,790.5598965517239,837.395931034483,,,,,1.0,9.965741942887233,22.13156399805485
46,19526883,16,,left,saccade,3.0,,,,806.8689999999997,856.834,738.86,850.065,,,
47,19526883,20,,right,saccade,4.0,12.0,,,795.45,839.34,729.832,836.5189999999999,,,
48,19526903,1044,3.0976211832061065,left,fixation,4.0,,731.282847328243,831.919034351145,,,,,4.0,6.71765235408376,18.839553765137342
49,19526907,1040,3.0976216475095786,right,fixation,4.0,13.0,726.301030651341,807.7893639846741,,,,,6.0,5.184081915605412,19.649333975051125
