,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
120,520042,40,,left,saccade,1.0,,,,964.7639999999999,477.673,506.13,575.144,,,
121,520042,40,,right,saccade,1.0,31.0,,,974.17,464.825,496.059,601.448,,,
122,520086,160,3.263193891557996,left,fixation,1.0,,482.21092682926803,610.7452195121949,,,,,1.0,10.43912745528945,25.89567595178784
123,520086,164,3.263193891557996,right,fixation,1.0,32.0,458.24773809523805,625.093214285714,,,,,4.0,5.1341115007463465,15.006883542241695
124,520250,40,,left,saccade,2.0,,,,471.10900000000004,622.067,505.751,614.432,,,
125,520254,52,,right,saccade,2.0,32.0,,,445.236,641.4580000000002,534.817,617.999,,,
126,520402,320,3.2918970029548333,left,fixation,2.0,,550.033,614.860024691358,,,,,4.0,6.853186705545279,20.131155421108325
127,520410,308,3.2915682307361167,right,fixation,2.0,33.0,540.062358974359,651.031756410256,,,,,3.0,4.701700439819093,18.747057787241236
128,520722,20,,right,saccade,3.0,33.0,,,536.399,667.944,428.284,657.439,,,
129,520726,20,,left,saccade,3.0,,,,546.5219999999998,623.3380000000002,428.564,610.413,,,
130,520746,416,3.2554014624422596,right,fixation,3.0,34.0,408.950066666667,643.765419047619,,,,,4.0,3.895751281845728,12.569072806243314
131,520750,404,3.254851154761766,left,fixation,3.0,,422.429725490196,613.880598039216,,,,,1.0,6.0157038426290725,6.350196296178599
132,521158,40,,left,saccade,4.0,,,,415.751,622.408,419.62199999999996,577.7090000000002,,,
133,521166,52,,right,saccade,4.0,34.0,,,398.458,650.7669999999998,431.18300000000005,647.003,,,
134,521338,2608,3.4459672259929617,right,fixation,4.0,35.0,491.906215926493,641.869748851455,,,,,16.0,3.829591653293997,15.29064087345421
135,521342,548,3.2764224680697973,left,fixation,4.0,,466.989391304348,602.446826086957,,,,,4.0,6.162281599193375,20.932420576574952
136,521894,0,,left,saccade,5.0,,,,487.895,611.898,487.895,611.898,,,
137,521898,2044,3.482398437500001,left,fixation,5.0,,531.722298828126,614.699273437499,,,,,7.0,4.796434661747262,17.340016632813914
138,523946,28,,left,saccade,6.0,,,,526.307,621.736,703.0260000000003,683.693,,,
139,523950,24,,right,saccade,5.0,35.0,,,505.029,653.221,679.615,689.814,,,
140,523978,416,3.5308365384615383,left,fixation,6.0,,714.703,708.6333142857138,,,,,1.0,6.214715659000206,9.52856253587082
141,523978,416,3.5308365384615383,right,fixation,5.0,36.0,684.260695238095,734.571142857143,,,,,1.0,3.645257668837991,9.312082151699473
142,524398,23,,left,saccade,7.0,,,,715.613,721.217,498.281,711.197,,,
143,524398,23,,right,saccade,6.0,36.0,,,675.753,746.06,482.905,739.801,,,
144,524425,321,3.455191358024692,left,fixation,7.0,,497.601111111111,711.879382716049,,,,,1.0,4.279417564861421,16.696622442877473
145,524425,321,3.455191358024692,right,fixation,6.0,37.0,474.868086419753,731.840395061728,,,,,2.0,4.507868071621325,14.7463180211764
146,524750,20,,left,saccade,8.0,,,,495.587,707.073,498.31199999999995,596.067,,,
147,524750,20,,right,saccade,7.0,37.0,,,477.579,727.0210000000003,488.62199999999996,627.5790000000002,,,
148,524774,216,3.4213425925925924,left,fixation,8.0,,490.64316363636397,594.2741636363639,,,,,0.0,,
149,524774,216,3.4213425925925924,right,fixation,7.0,38.0,491.56043636363603,626.993309090909,,,,,2.0,4.060776364405192,13.374107895218573
150,524994,60,,left,saccade,9.0,,,,463.458,603.8330000000002,1345.87,669.987,,,
151,524994,64,,right,saccade,8.0,38.0,,,472.001,650.206,1336.7089999999996,701.555,,,
152,525058,136,3.4202352941176475,left,fixation,9.0,,1363.25885714286,698.6535714285719,,,,,1.0,10.441196612191732,21.167331149674844
153,525062,604,3.4083708609271524,right,fixation,8.0,39.0,1413.9114736842098,730.860493421053,,,,,3.0,7.319065411489514,24.437661746016232
154,525198,20,,left,saccade,10.0,,,,1358.602,702.701,1432.3770000000006,708.433,,,
155,525222,444,3.4041441441441433,left,fixation,10.0,,1440.23464285714,718.136017857143,,,,,1.0,2.8689961465448235,6.231385078776567
156,525670,28,,right,saccade,9.0,39.0,,,1432.366,738.5989999999997,1147.97,735.404,,,
157,525670,32,,left,saccade,11.0,,,,1430.8429999999994,727.798,1125.9080000000001,725.571,,,
158,525702,160,3.3698750000000004,right,fixation,9.0,40.0,1124.2506829268302,742.3486341463409,,,,,2.0,3.856730443478853,6.138627152283826
159,525706,412,3.3566407766990296,left,fixation,11.0,,1168.12336538461,729.119817307692,,,,,3.0,8.396706944890223,24.99523949255341
160,525866,20,,right,saccade,10.0,40.0,,,1120.971,751.832,1211.009,748.683,,,
161,525890,228,3.3467068965517237,right,fixation,10.0,41.0,1209.8527758620696,750.240017241379,,,,,0.0,,
162,526122,24,,left,saccade,12.0,,,,1218.787,733.337,1014.322,732.0889999999997,,,
163,526122,24,,right,saccade,11.0,41.0,,,1208.923,757.331,1009.472,751.1010000000001,,,
164,526150,380,3.4395947368421056,left,fixation,12.0,,986.81009375,744.7756875,,,,,1.0,4.474368863004247,12.991600709689358
165,526150,380,3.4395947368421056,right,fixation,11.0,42.0,978.4444479166659,753.0438333333328,,,,,4.0,3.8466423629972,10.340390909319217
166,526534,48,,right,saccade,12.0,42.0,,,972.061,760.465,497.642,631.224,,,
167,526534,52,,left,saccade,13.0,,,,993.7689999999999,749.618,497.82599999999996,591.221,,,
168,526586,500,3.394564,right,fixation,12.0,43.0,464.275785714286,618.4107698412699,,,,,2.0,6.088212166603673,18.621521988570127
169,526590,916,3.4095742358078605,left,fixation,13.0,,497.58127391304396,596.8486260869561,,,,,4.0,7.281257759150763,21.475139368580127
170,527090,8,,right,saccade,13.0,43.0,,,466.00800000000004,635.4630000000002,499.465,631.109,,,
171,527102,400,3.42817,right,fixation,13.0,44.0,503.814881188119,636.907613861386,,,,,1.0,2.8103206272198777,8.49951680979565
172,527506,20,,right,saccade,14.0,44.0,,,507.089,639.125,486.589,707.2539999999997,,,
173,527510,12,,left,saccade,14.0,,,,511.533,621.764,507.949,667.711,,,
174,527526,136,3.4250882352941185,left,fixation,14.0,,494.736714285714,700.462285714286,,,,,1.0,3.849199455009397,14.135708047352926
175,527530,132,3.4248636363636367,right,fixation,14.0,45.0,470.1884411764711,726.321,,,,,0.0,,
176,527666,28,,left,saccade,15.0,,,,482.51199999999994,713.459,706.3580000000003,703.346,,,
177,527666,28,,right,saccade,15.0,45.0,,,474.06199999999995,744.3910000000003,689.5360000000003,733.071,,,
178,527698,200,3.46856,left,fixation,15.0,,734.088627450981,704.922960784314,,,,,1.0,7.3004713736701525,13.275227531006756
179,527698,200,3.46856,right,fixation,15.0,46.0,711.881352941177,727.781352941176,,,,,1.0,9.457229493590852,14.785163171233522
180,527902,24,,right,saccade,16.0,46.0,,,716.082,728.76,939.2589999999999,731.934,,,
181,527902,28,,left,saccade,16.0,,,,730.908,707.3,955.5880000000001,710.946,,,
182,527930,352,3.573522727272727,right,fixation,16.0,47.0,959.960202247191,744.808426966292,,,,,2.0,5.599299328430778,21.41457297427646
183,527934,348,3.57396551724138,left,fixation,16.0,,974.5356704545461,736.9764431818179,,,,,0.0,,
184,528286,40,,left,saccade,17.0,,,,990.561,738.186,1381.8,727.903,,,
185,528286,40,,right,saccade,17.0,47.0,,,969.867,751.6460000000003,1379.398,739.813,,,
186,528330,112,3.484125,left,fixation,17.0,,1409.49817241379,717.4747931034482,,,,,0.0,,
187,528330,116,3.483965517241379,right,fixation,17.0,48.0,1398.3967,730.3076,,,,,1.0,4.8345414725700895,8.846492920926242
188,528446,44,,left,saccade,18.0,,,,1425.589,718.248,771.947,709.5319999999997,,,
189,528450,44,,right,saccade,18.0,48.0,,,1393.925,731.6610000000003,750.3530000000003,725.664,,,
190,528494,248,3.5071370967741937,left,fixation,18.0,,743.0575238095239,701.6104761904761,,,,,1.0,6.9376974246183325,11.480199040086365
191,528498,244,3.5072622950819667,right,fixation,18.0,49.0,729.71685483871,729.016129032258,,,,,0.0,,
192,528746,48,,right,saccade,19.0,49.0,,,732.4010000000003,737.712,1386.266,724.9739999999997,,,
193,528746,52,,left,saccade,19.0,,,,738.6110000000001,703.815,1392.43,697.4639999999997,,,
194,528798,339,3.5122142857142857,right,fixation,19.0,50.0,1417.85674418605,717.268174418605,,,,,1.0,6.316469119602248,10.15464947696368
195,528802,335,3.5121144578313253,left,fixation,19.0,,1430.33372941176,704.672858823529,,,,,3.0,6.2321835453873895,12.546051557436082
196,529141,24,,left,saccade,20.0,,,,1467.69,713.541,1254.839,714.294,,,
197,529141,24,,right,saccade,20.0,50.0,,,1437.87,719.062,1247.8339999999996,713.554,,,
198,529169,228,3.490245614035088,left,fixation,20.0,,1231.15103448276,712.1224827586211,,,,,0.0,,
199,529169,232,3.4899913793103443,right,fixation,20.0,51.0,1234.72371186441,720.695779661017,,,,,1.0,4.286812419761659,18.164523803281988
200,529401,40,,left,saccade,21.0,,,,1224.351,724.0930000000003,710.571,683.71,,,
201,529405,40,,right,saccade,21.0,51.0,,,1223.63,725.043,703.305,693.5169999999997,,,
