,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
10,2633454,12,,right,saccade,1.0,3.0,,,407.529,188.929,408.599,227.80900000000003,,,
11,2633470,156,3.748782051282053,right,fixation,1.0,4.0,413.2561,229.60635,,,,,1.0,2.4282775159450862,6.322585309823857
12,2633630,20,,right,saccade,2.0,4.0,,,412.092,236.887,458.779,316.968,,,
13,2633638,12,,left,saccade,1.0,,,,430.714,239.799,452.88800000000003,266.692,,,
14,2633654,224,3.7789375,left,fixation,1.0,,474.560947368421,301.846052631579,,,,,1.0,5.516353125530998,16.589866063353238
15,2633654,224,3.7789375,right,fixation,2.0,5.0,472.308578947369,339.645228070175,,,,,1.0,4.557147072944273,8.571566951263943
16,2633882,24,,left,saccade,2.0,,,,468.415,311.88599999999997,435.091,183.69299999999998,,,
17,2633882,24,,right,saccade,3.0,5.0,,,483.059,348.805,449.626,220.987,,,
18,2633910,776,3.924358247422681,left,fixation,2.0,,419.491835897436,173.280394871795,,,,,6.0,2.3602499919988085,8.641792565151043
19,2633910,776,3.924358247422681,right,fixation,3.0,6.0,418.05456410256403,171.322138461539,,,,,5.0,3.1939725813047715,9.853092215803027
20,2634690,48,,left,saccade,3.0,,,,410.273,181.72099999999998,847.847,265.381,,,
21,2634690,52,,right,saccade,4.0,6.0,,,402.332,165.36900000000003,856.753,256.862,,,
22,2634742,112,3.865875,left,fixation,3.0,,864.7856896551732,283.79786206896597,,,,,2.0,3.0693708357820526,16.824927685946527
23,2634746,108,3.865092592592592,right,fixation,4.0,7.0,865.861535714286,292.455214285714,,,,,0.0,,
24,2634858,20,,left,saccade,4.0,,,,864.8969999999997,291.564,957.7669999999999,292.237,,,
25,2634858,20,,right,saccade,5.0,7.0,,,868.082,299.8540000000001,945.431,306.531,,,
26,2634882,172,3.8474534883720932,right,fixation,5.0,8.0,961.665863636364,321.157477272727,,,,,1.0,6.370788063933282,19.336647201622007
27,2634882,176,3.84725,left,fixation,4.0,,968.023911111111,296.954244444444,,,,,0.0,,
28,2635058,28,,right,saccade,6.0,8.0,,,964.703,317.633,1190.165,321.809,,,
29,2635062,28,,left,saccade,5.0,,,,966.355,296.428,1210.442,303.36,,,
30,2635090,204,3.80256862745098,right,fixation,6.0,9.0,1215.55380769231,290.746,,,,,1.0,6.700268759120407,29.871766017428516
31,2635094,200,3.80194,left,fixation,5.0,,1225.56374509804,301.675941176471,,,,,2.0,2.8505727680277215,8.455635137099069
32,2635298,24,,right,saccade,7.0,9.0,,,1217.943,302.027,1408.611,307.752,,,
33,2635298,28,,left,saccade,6.0,,,,1227.197,312.873,1419.631,303.286,,,
34,2635326,296,3.7268079220779216,right,fixation,7.0,10.0,1440.50862666667,303.3169200000001,,,,,2.0,3.935680086868495,20.924270443467726
35,2635330,296,3.72607951232441,left,fixation,6.0,,1439.09885333333,319.95547999999997,,,,,1.0,3.8666609482716177,29.30079596188484
36,2635626,40,,right,saccade,8.0,10.0,,,1464.463,299.972,1472.489,229.975,,,
37,2635630,40,,left,saccade,7.0,,,,1455.0639999999999,331.624,1499.809,355.655,,,
38,2635698,0,,left,fixation,7.0,,1485.9379999999999,335.496,,,,,0.0,,
39,2635702,4,,left,saccade,8.0,,,,1485.9379999999999,335.496,1485.9379999999999,335.496,,,
40,2635710,384,3.695488176003101,left,fixation,8.0,,1458.8293402061802,293.908030927835,,,,,4.0,3.362944649555713,9.103740987314037
41,2635726,372,3.6954368792971737,right,fixation,8.0,11.0,1460.20364893617,254.927606382979,,,,,2.0,5.069559681525457,13.06077808682852
