,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
272,1767393,60,,left,saccade,1.0,,,,1322.723,428.93699999999995,427.189,539.086,,,
273,1767397,60,,right,saccade,1.0,67.0,,,1348.9160000000004,394.714,421.279,531.96,,,
274,1767457,308,3.5286184943314227,left,fixation,1.0,,410.821307692308,560.008846153846,,,,,0.0,,
275,1767461,308,3.5287070641019906,right,fixation,1.0,68.0,405.32021794871804,559.6381025641031,,,,,1.0,3.5893791052368766,7.788887019337285
276,1767769,76,,left,saccade,2.0,,,,402.38800000000003,582.043,395.80199999999996,614.06,,,
277,1767773,44,,right,saccade,2.0,68.0,,,422.91,577.974,438.207,601.339,,,
278,1767925,12,,right,fixation,2.0,69.0,446.978,597.98075,,,,,0.0,,
279,1767941,24,,right,saccade,3.0,69.0,,,452.82099999999997,584.9019999999998,501.53,531.889,,,
280,1767945,0,,left,fixation,2.0,,417.795,608.9540000000002,,,,,0.0,,
282,1767969,380,3.4733396226415088,right,fixation,3.0,70.0,523.96940625,580.876177083333,,,,,2.0,7.201049670600488,28.14950959652679
283,1767977,380,3.472803680981595,left,fixation,3.0,,519.76065625,568.848229166667,,,,,4.0,7.104052949825318,39.329724067123045
284,1768353,24,,right,saccade,4.0,70.0,,,507.19199999999995,584.369,615.386,580.7719999999998,,,
285,1768361,12,,left,saccade,3.0,,,,553.999,577.506,596.4169999999998,579.9780000000002,,,
286,1768377,668,3.3490299401197605,left,fixation,4.0,,656.3971726190471,604.891839285714,,,,,3.0,7.130569396083871,31.90118837397064
287,1768381,376,3.3645159574468084,right,fixation,4.0,71.0,626.995252631579,590.984757894737,,,,,0.0,,
288,1768761,16,,right,saccade,5.0,71.0,,,630.566,599.2,701.215,601.825,,,
289,1768781,264,3.329333333333333,right,fixation,5.0,72.0,721.514179104478,594.262432835821,,,,,0.0,,
290,1769049,20,,left,saccade,4.0,,,,708.3580000000003,615.19,849.885,602.247,,,
291,1769049,20,,right,saccade,6.0,72.0,,,723.466,593.585,821.666,590.487,,,
292,1769073,316,3.417430379746836,left,fixation,5.0,,852.400625,602.23795,,,,,0.0,,
293,1769073,320,3.41786875,right,fixation,6.0,73.0,839.287296296296,586.537456790123,,,,,0.0,,
294,1769393,32,,left,saccade,5.0,,,,856.6410000000003,586.28,560.681,593.345,,,
295,1769397,32,,right,saccade,7.0,73.0,,,851.566,583.759,559.068,586.241,,,
296,1769429,292,3.4739726027397264,left,fixation,6.0,,544.9865540540541,582.197675675675,,,,,0.0,,
297,1769433,292,3.4745410958904106,right,fixation,7.0,74.0,544.7625,585.1736081081079,,,,,0.0,,
298,1769725,20,,left,saccade,6.0,,,,523.011,594.3290000000002,629.469,593.8240000000002,,,
299,1769729,16,,right,saccade,8.0,74.0,,,525.048,586.822,619.198,595.254,,,
300,1769749,320,3.5440375000000004,left,fixation,7.0,,635.389160493828,589.3180864197531,,,,,0.0,,
301,1769749,320,3.5440375000000004,right,fixation,8.0,75.0,619.969888888889,591.632407407408,,,,,0.0,,
302,1770073,24,,left,saccade,7.0,,,,627.9169999999998,587.361,417.33,582.1619999999998,,,
303,1770073,24,,right,saccade,9.0,75.0,,,621.298,588.668,422.842,588.0419999999998,,,
304,1770101,247,3.5267213114754097,left,fixation,8.0,,418.839634920635,591.662285714286,,,,,0.0,,
305,1770101,247,3.5267213114754097,right,fixation,9.0,76.0,419.696190476191,590.175904761905,,,,,0.0,,
306,1770352,32,,left,saccade,8.0,,,,431.216,602.288,679.571,601.1,,,
307,1770352,32,,right,saccade,10.0,76.0,,,417.61699999999996,592.116,697.293,601.16,,,
308,1770388,333,3.5405297619047618,left,fixation,9.0,,709.8397261904761,616.780119047619,,,,,1.0,4.392629407440511,16.232178535242838
309,1770388,333,3.5405297619047618,right,fixation,10.0,77.0,722.670261904762,620.513011904761,,,,,0.0,,
310,1770725,16,,right,saccade,11.0,77.0,,,717.197,616.435,650.857,614.286,,,
311,1770725,20,,left,saccade,9.0,,,,724.307,618.794,612.77,612.9540000000002,,,
312,1770745,424,3.503721698113208,right,fixation,11.0,78.0,615.590102803739,604.11953271028,,,,,0.0,,
313,1770749,424,3.5036273584905664,left,fixation,10.0,,616.472831775701,599.785691588785,,,,,0.0,,
314,1771173,20,,right,saccade,12.0,78.0,,,607.381,590.932,515.87,597.7080000000002,,,
315,1771177,16,,left,saccade,10.0,,,,603.979,592.455,530.352,592.977,,,
316,1771197,380,3.530531578947368,left,fixation,11.0,,522.23128125,587.57165625,,,,,1.0,4.071048602291799,12.736869474089715
317,1771197,380,3.530531578947368,right,fixation,12.0,79.0,510.506010416666,611.750041666667,,,,,0.0,,
318,1771581,24,,left,saccade,11.0,,,,541.257,580.318,729.25,597.237,,,
319,1771581,32,,right,saccade,13.0,79.0,,,518.914,613.764,726.904,609.326,,,
320,1771609,379,3.628143617021277,left,fixation,12.0,,739.92559375,598.780302083333,,,,,2.0,4.068633057583131,21.474638044867252
321,1771617,375,3.629354838709677,right,fixation,13.0,80.0,728.5250315789481,600.516210526315,,,,,0.0,,
322,1771992,16,,left,saccade,12.0,,,,730.832,590.471,817.7389999999997,593.111,,,
323,1771996,20,,right,saccade,14.0,80.0,,,727.43,606.057,806.165,623.688,,,
324,1772012,688,3.6532238372093024,left,fixation,13.0,,836.158208092486,609.553387283237,,,,,0.0,,
325,1772020,680,3.65325,right,fixation,14.0,81.0,816.098216374269,602.956263157895,,,,,0.0,,
326,1772704,25,,right,saccade,15.0,81.0,,,818.1560000000003,599.7719999999998,622.381,586.775,,,
327,1772704,29,,left,saccade,13.0,,,,834.117,603.655,606.4680000000002,605.556,,,
328,1772733,388,3.6331777221526895,right,fixation,15.0,82.0,601.274979591836,588.34237755102,,,,,2.0,12.220172582385265,33.1543441524771
329,1772737,392,3.6332738044858233,left,fixation,14.0,,610.680858585859,600.30696969697,,,,,0.0,,
330,1773125,48,,right,saccade,16.0,82.0,,,625.742,590.355,634.059,600.815,,,
331,1773133,48,,left,saccade,14.0,,,,630.997,609.569,614.2280000000002,570.5980000000002,,,
332,1773293,20,,right,fixation,16.0,83.0,631.1705,576.9195,,,,,0.0,,
333,1773301,431,3.5765408304498267,left,fixation,15.0,,623.9645504587149,587.860385321101,,,,,4.0,7.647659152954755,27.808127493347673
334,1773317,4,,right,saccade,17.0,83.0,,,629.771,561.29,629.771,551.898,,,
335,1773325,407,3.576540830449828,right,fixation,17.0,84.0,615.9641067961161,587.275669902913,,,,,1.0,8.083538315270399,73.06604755288197
336,1773736,24,,left,saccade,15.0,,,,624.491,619.441,818.044,605.857,,,
337,1773736,28,,right,saccade,18.0,84.0,,,599.515,608.658,816.433,610.558,,,
338,1773764,413,3.4322451923076924,left,fixation,16.0,,837.857413461537,598.933625,,,,,0.0,,
339,1773768,409,3.4316941747572813,right,fixation,18.0,85.0,827.2138737864079,594.339009708738,,,,,0.0,,
340,1774181,20,,left,saccade,16.0,,,,837.6610000000003,629.573,738.055,619.436,,,
341,1774181,20,,right,saccade,19.0,85.0,,,835.76,580.045,718.055,588.036,,,
342,1774205,227,3.4116875,right,fixation,19.0,86.0,722.396448275862,602.269793103448,,,,,0.0,,
343,1774205,231,3.4120000000000004,left,fixation,17.0,,715.728355932203,606.688966101695,,,,,0.0,,
344,1774436,36,,right,saccade,20.0,86.0,,,725.936,604.352,444.897,598.639,,,
345,1774440,28,,left,saccade,17.0,,,,708.08,594.783,460.342,595.7130000000002,,,
346,1774472,816,3.3836862745098037,left,fixation,18.0,,411.211336585366,585.5390146341459,,,,,0.0,,
347,1774476,808,3.3834108910891088,right,fixation,20.0,87.0,418.235270935961,597.671891625616,,,,,1.0,4.721952059265306,13.264391429688814
348,1775288,20,,right,saccade,21.0,87.0,,,403.53,591.872,491.1,589.996,,,
349,1775292,16,,left,saccade,18.0,,,,422.208,584.364,479.31300000000016,585.869,,,
350,1775312,504,3.4667857142857144,left,fixation,19.0,,506.300338582677,600.854480314961,,,,,0.0,,
351,1775312,508,3.467137795275591,right,fixation,21.0,88.0,507.943609375,603.334234375,,,,,0.0,,
352,1775820,12,,left,saccade,19.0,,,,508.38,607.307,467.801,605.511,,,
353,1775824,4,,right,saccade,22.0,88.0,,,476.223,592.971,465.41900000000004,594.0790000000002,,,
354,1775832,256,3.4771640625,right,fixation,22.0,89.0,440.520030769231,601.889076923077,,,,,0.0,,
355,1775836,252,3.4766904761904764,left,fixation,20.0,,434.118046875,593.95621875,,,,,0.0,,
356,1776092,20,,right,saccade,23.0,89.0,,,435.046,592.128,590.533,595.883,,,
357,1776092,24,,left,saccade,20.0,,,,446.68300000000005,591.731,587.5319999999998,591.731,,,
358,1776116,332,3.521234939759037,right,fixation,23.0,90.0,609.171142857143,608.136107142857,,,,,0.0,,
359,1776120,324,3.5214382716049397,left,fixation,21.0,,615.111926829268,583.290914634146,,,,,0.0,,
360,1776448,16,,left,saccade,21.0,,,,637.024,582.768,705.377,599.7090000000002,,,
361,1776452,12,,right,saccade,24.0,90.0,,,627.127,597.8009999999998,672.596,600.131,,,
362,1776468,780,3.549435897435897,left,fixation,22.0,,728.6120408163271,612.78574489796,,,,,0.0,,
363,1776468,780,3.549435897435897,right,fixation,24.0,91.0,710.5104132653059,620.939280612244,,,,,0.0,,
364,1777252,20,,left,saccade,22.0,,,,745.675,609.788,854.1030000000003,603.019,,,
365,1777252,20,,right,saccade,25.0,91.0,,,725.0110000000003,634.5319999999998,853.7560000000003,631.773,,,
366,1777276,384,3.6006415754257906,left,fixation,23.0,,856.663226804124,620.328051546392,,,,,0.0,,
367,1777276,384,3.6006415754257906,right,fixation,25.0,92.0,860.310443298969,628.102597938144,,,,,1.0,6.611187340830346,15.185974219654153
375,1777964,240,3.492355140186916,right,fixation,26.0,94.0,558.237032786885,591.188393442623,,,,,1.0,6.383877261421064,24.833773494980488
377,1777976,456,3.4765779816513764,left,fixation,24.0,,604.313078260869,597.777486956522,,,,,2.0,4.3521523341222546,19.29161759110521
378,1778208,12,,right,saccade,26.0,94.0,,,549.7769999999998,602.807,610.1080000000002,606.971,,,
379,1778224,208,3.460134615384616,right,fixation,27.0,95.0,615.882433962264,607.0303584905661,,,,,0.0,,
