,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
120,3310945,1048,3.4443257231698645,right,fixation,1.0,32.0,414.618733840304,591.78877946768,,,,,7.0,7.5936173280521295,24.47654642510857
121,3310953,2104,3.406316080246913,left,fixation,1.0,,494.894967741935,625.256182163188,,,,,13.0,4.39245500105151,20.728414446552254
122,3311997,0,,right,saccade,1.0,32.0,,,441.81199999999995,598.769,441.81199999999995,598.769,,,
123,3312001,1048,3.372570881226053,right,fixation,2.0,33.0,472.882030418251,593.029608365019,,,,,2.0,4.009915366311904,21.15729191084123
124,3313053,24,,right,saccade,2.0,33.0,,,477.37199999999996,592.061,470.101,718.21,,,
125,3313061,12,,left,saccade,1.0,,,,537.45,662.587,529.136,695.703,,,
126,3313077,436,3.3401590909090912,left,fixation,2.0,,509.986181818182,736.8487363636369,,,,,1.0,2.4369815232053798,8.231267763838066
127,3313081,432,3.3399587155963304,right,fixation,3.0,34.0,460.19367889908204,736.772605504588,,,,,0.0,,
128,3313517,28,,right,saccade,3.0,34.0,,,484.23900000000003,736.846,737.914,741.028,,,
129,3313517,36,,left,saccade,2.0,,,,511.375,748.3380000000003,750.6619999999997,734.209,,,
130,3313549,140,3.3709428571428566,right,fixation,4.0,35.0,778.1554166666672,723.686694444444,,,,,1.0,3.935948600895198,7.209885574681463
131,3313557,260,3.350538461538462,left,fixation,3.0,,767.970227272727,727.0120454545461,,,,,3.0,3.671798346324044,23.0656951356931
132,3313693,4,,right,saccade,4.0,35.0,,,732.92,725.22,727.632,725.22,,,
133,3313701,116,3.3268103448275865,right,fixation,5.0,36.0,704.595466666666,719.7011,,,,,1.0,2.5220308505470648,5.825288404877468
134,3313821,28,,left,saccade,3.0,,,,723.0210000000003,726.795,936.368,727.2330000000003,,,
135,3313821,28,,right,saccade,5.0,36.0,,,706.279,726.927,954.2310000000001,726.235,,,
136,3313853,640,3.3457343750000006,left,fixation,4.0,,957.089857142857,744.095062111801,,,,,3.0,2.6584517858722743,9.547430592163359
137,3313853,640,3.3457343750000006,right,fixation,6.0,37.0,966.6390372670801,728.599645962732,,,,,4.0,3.6776127556848164,20.36418115953721
138,3314497,28,,right,saccade,6.0,37.0,,,979.666,732.9680000000003,1167.846,705.7389999999997,,,
139,3314497,44,,left,saccade,4.0,,,,945.4680000000001,734.217,1198.891,742.253,,,
140,3314529,280,3.197678571428572,right,fixation,7.0,38.0,1207.7449859154901,715.1664366197183,,,,,0.0,,
141,3314545,264,3.194075757575757,left,fixation,5.0,,1193.3310149253698,750.9441194029849,,,,,2.0,2.5732133976422014,11.471893208259209
142,3314813,24,,right,saccade,7.0,38.0,,,1225.97,728.4630000000003,1448.9470000000001,731.059,,,
143,3314813,28,,left,saccade,5.0,,,,1207.6580000000001,745.227,1441.845,758.202,,,
144,3314841,252,3.1356129032258058,right,fixation,8.0,39.0,1446.07621875,731.791281250001,,,,,0.0,,
145,3314845,244,3.13565,left,fixation,6.0,,1469.6284193548404,744.2099516129041,,,,,4.0,3.3053149627191716,12.596393701485232
146,3315093,60,,left,saccade,6.0,,,,1457.4560000000001,738.57,447.63300000000004,652.526,,,
147,3315097,56,,right,saccade,8.0,39.0,,,1445.6989999999994,732.0369999999997,445.066,629.425,,,
148,3315157,128,3.169546875,right,fixation,9.0,40.0,418.63451515151496,659.7470909090911,,,,,2.0,4.535593227697861,26.004270384042147
149,3315157,396,3.19708,left,fixation,7.0,,477.28515,699.4411,,,,,3.0,5.447428223968491,20.361822043899696
150,3315289,20,,right,saccade,9.0,40.0,,,414.13,676.018,479.81,678.45,,,
151,3315313,240,3.2122377049180333,right,fixation,10.0,41.0,475.03060655737687,686.760393442623,,,,,3.0,4.251965918952699,16.243603032369087
152,3315557,44,,left,saccade,7.0,,,,494.94599999999997,714.066,409.699,599.024,,,
153,3315557,44,,right,saccade,10.0,41.0,,,489.37699999999995,689.363,403.894,580.119,,,
155,3315605,308,3.3399999999999994,left,fixation,8.0,,433.30029487179496,598.370141025641,,,,,2.0,7.634050702463488,21.484009662363604
156,3315913,8,,right,saccade,11.0,42.0,,,422.57,587.247,457.33099999999996,587.247,,,
157,3315917,0,,left,saccade,8.0,,,,468.846,610.252,468.846,610.252,,,
158,3315921,347,3.389075686298469,left,fixation,9.0,,514.322840909091,615.856806818181,,,,,2.0,5.2466670680915595,18.46023541592547
159,3315925,187,3.3915760869565217,right,fixation,11.0,43.0,472.4411875,574.9971875,,,,,0.0,,
160,3316116,20,,right,saccade,12.0,43.0,,,465.69800000000004,571.485,541.765,579.303,,,
161,3316140,128,3.3763990688131322,right,fixation,12.0,44.0,541.497848484849,589.855151515152,,,,,1.0,5.626866112677609,15.945455057790019
162,3316272,40,,left,saccade,9.0,,,,547.956,607.7769999999998,490.32099999999997,616.346,,,
163,3316272,40,,right,saccade,13.0,44.0,,,540.139,611.769,522.515,590.406,,,
164,3316405,568,3.424493087557604,left,fixation,10.0,,516.871048951048,618.533104895105,,,,,5.0,7.002655965338588,29.176737276618447
165,3316409,548,3.4228899521531098,right,fixation,13.0,45.0,502.01265942029005,594.656789855073,,,,,2.0,8.424272686145821,16.788359424338353
166,3316961,20,,right,saccade,14.0,45.0,,,455.92400000000004,610.846,458.92199999999997,675.052,,,
167,3316977,4,,left,saccade,10.0,,,,484.759,699.569,485.952,700.7189999999997,,,
