,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
108,3216456,52,,left,saccade,1.0,,,,1171.146,210.614,478.325,469.779,,,
109,3216456,52,,right,saccade,1.0,27.0,,,1212.618,201.454,529.476,466.145,,,
110,3216512,56,,left,fixation,1.0,,477.039733333333,485.5794,,,,,0.0,,
111,3216512,64,,right,fixation,1.0,28.0,513.0884117647059,473.08476470588204,,,,,0.0,,
112,3216572,84,,left,saccade,2.0,,,,476.726,489.724,442.32599999999996,480.389,,,
113,3216580,52,,right,saccade,2.0,28.0,,,506.463,459.577,443.56199999999995,441.45,,,
114,3216660,144,3.225,right,fixation,2.0,29.0,479.656783783784,478.147918918919,,,,,1.0,19.2512720827886,31.201655420826626
115,3216704,88,,left,fixation,2.0,,457.09686956521796,502.107826086957,,,,,0.0,,
116,3216796,20,,left,saccade,3.0,,,,469.064,497.272,410.24699999999996,444.384,,,
117,3216808,4,,right,saccade,3.0,29.0,,,456.778,462.875,455.689,460.292,,,
118,3216816,548,3.2357757847533635,right,fixation,3.0,30.0,411.46465217391295,408.95484057971,,,,,1.0,7.34608365049024,16.06320033492705
119,3216820,540,3.2353167420814484,left,fixation,3.0,,391.568558823529,433.647455882353,,,,,0.0,,
121,3217368,48,,right,saccade,4.0,30.0,,,405.425,419.301,367.48199999999997,411.462,,,
122,3217476,2712,3.1486430288461538,right,fixation,4.0,31.0,394.3247820324,428.762070692195,,,,,4.0,62.49512692127396,192.92738113998334
124,3217492,32,,left,saccade,4.0,,,,357.60900000000015,285.985,361.246,407.63300000000004,,,
125,3217528,2660,3.1486430288461538,left,fixation,4.0,,366.464572072072,447.7838993994,,,,,6.0,35.675542350982475,105.52161319441284
126,3220192,68,,left,saccade,5.0,,,,372.556,440.81800000000004,422.47900000000004,420.005,,,
127,3220192,104,,right,saccade,5.0,31.0,,,404.767,442.961,454.76800000000003,482.856,,,
128,3220328,8,,left,fixation,5.0,,430.945333333333,420.005,,,,,0.0,,
129,3220340,20,,left,saccade,6.0,,,,435.285,420.005,444.94,500.99300000000005,,,
130,3220344,488,3.3712654454615425,right,fixation,5.0,32.0,478.333170731707,530.848203252032,,,,,0.0,,
131,3220364,468,3.3712654454615425,left,fixation,6.0,,450.699084745763,530.165550847458,,,,,1.0,5.544529218067111,17.124002861480733
132,3220836,60,,left,saccade,7.0,,,,451.208,528.4,425.88300000000004,443.25800000000004,,,
133,3220836,68,,right,saccade,6.0,32.0,,,476.319,532.106,448.843,478.35400000000004,,,
134,3220960,240,3.325875,right,fixation,6.0,33.0,458.341672131148,532.806081967213,,,,,1.0,20.76116114620975,49.071998716172075
135,3220968,12,,left,fixation,7.0,,438.667,445.5635,,,,,0.0,,
136,3220984,12,,left,saccade,8.0,,,,448.162,458.87199999999996,449.44699999999995,496.829,,,
137,3221000,200,3.325875,left,fixation,8.0,,454.896156862745,535.44962745098,,,,,0.0,,
138,3221204,60,,left,saccade,9.0,,,,447.6,531.315,382.228,376.506,,,
139,3221204,64,,right,saccade,7.0,33.0,,,458.55300000000005,538.646,416.285,448.66900000000004,,,
140,3221356,1684,3.349309810038013,right,fixation,7.0,34.0,409.8472985782,428.605914691943,,,,,0.0,,
141,3221364,4,,left,fixation,9.0,,391.853,376.506,,,,,0.0,,
142,3221372,16,,left,saccade,10.0,,,,393.413,379.48800000000006,405.454,439.67,,,
143,3221392,1648,3.349309810038013,left,fixation,10.0,,400.342547215496,447.529644067796,,,,,1.0,11.46897645825467,33.37842729967967
144,3223044,92,,left,saccade,11.0,,,,392.36,456.226,396.41,420.82099999999997,,,
145,3223044,68,,right,saccade,8.0,34.0,,,400.389,438.897,365.034,369.88599999999997,,,
146,3223196,1520,3.1623112873254846,right,fixation,8.0,35.0,390.176291338583,428.730900262468,,,,,0.0,,
147,3223228,1476,3.1623112873254864,left,fixation,11.0,,394.60584324324304,455.6899486486489,,,,,3.0,4.998474025612644,14.421451151622886
148,3224708,92,,left,saccade,12.0,,,,387.16900000000004,459.49699999999996,426.205,447.194,,,
149,3224720,64,,right,saccade,9.0,35.0,,,382.415,436.467,400.657,424.995,,,
150,3224880,480,3.1638454320987655,right,fixation,9.0,36.0,469.5382892561991,506.38148760330597,,,,,1.0,7.237453743855259,26.238081103617247
151,3224916,144,3.147730769230769,left,fixation,12.0,,443.876108108108,492.96467567567595,,,,,2.0,8.577898904192612,22.68063826005627
152,3225064,4,,left,saccade,13.0,,,,467.184,519.121,472.48199999999997,519.97,,,
153,3225071,285,3.1685650422352176,left,fixation,13.0,,471.637833333333,540.197277777778,,,,,0.0,,
154,3225360,64,,left,saccade,14.0,,,,472.717,539.961,406.901,425.966,,,
155,3225364,56,,right,saccade,10.0,36.0,,,481.55199999999996,532.047,412.18300000000005,502.14,,,
156,3225476,580,3.0725434782608687,right,fixation,10.0,37.0,457.19351369863,556.2252534246579,,,,,1.0,28.85956286917737,28.52384774184584
157,3225484,0,,left,fixation,14.0,,408.963,428.394,,,,,0.0,,
158,3225488,28,,left,saccade,15.0,,,,414.63599999999997,429.666,447.44699999999995,536.46,,,
159,3225520,712,3.0790660377358483,left,fixation,15.0,,464.896726256983,552.055039106145,,,,,0.0,,
160,3226060,4,,right,saccade,11.0,37.0,,,471.847,561.13,465.954,558.016,,,
161,3226068,164,3.097621951219512,right,fixation,11.0,38.0,456.61400000000003,530.0834523809518,,,,,0.0,,
162,3226236,20,,right,saccade,12.0,38.0,,,440.306,528.264,408.86300000000006,409.134,,,
163,3226236,24,,left,saccade,16.0,,,,454.417,526.433,407.31,413.61,,,
164,3226260,1872,3.2113011754014456,right,fixation,12.0,39.0,389.512415778251,423.584469083155,,,,,0.0,,
165,3226264,1864,3.2115578638023634,left,fixation,16.0,,391.08908351177695,435.468700214133,,,,,0.0,,
166,3228132,72,,left,saccade,17.0,,,,366.85,431.095,463.86699999999996,442.60699999999997,,,
167,3228136,84,,right,saccade,13.0,39.0,,,394.654,427.153,484.461,446.384,,,
168,3228296,0,,right,fixation,13.0,40.0,486.435,446.384,,,,,0.0,,
169,3228300,16,,right,saccade,14.0,40.0,,,496.835,446.384,504.92,498.32300000000004,,,
170,3228304,8,,left,fixation,17.0,,469.702666666667,432.82800000000003,,,,,0.0,,
171,3228316,20,,left,saccade,18.0,,,,472.28,442.60699999999997,478.528,513.352,,,
172,3228320,1883,3.199952478757833,right,fixation,14.0,41.0,470.861881355932,542.4318241525431,,,,,0.0,,
173,3228340,1859,3.199952478757834,left,fixation,18.0,,461.47960729613686,548.406693133046,,,,,4.0,5.601283601835903,17.052550395811714
174,3230203,64,,left,saccade,19.0,,,,439.532,547.805,428.37800000000004,439.78,,,
175,3230207,64,,right,saccade,15.0,41.0,,,471.32599999999996,544.618,433.152,440.73400000000004,,,
176,3230331,16,,left,fixation,19.0,,434.5848,416.5796,,,,,0.0,,
177,3230335,0,,right,fixation,15.0,42.0,433.19,440.73400000000004,,,,,0.0,,
178,3230339,16,,right,saccade,16.0,42.0,,,434.454,440.73400000000004,451.81,504.171,,,
179,3230351,24,,left,saccade,20.0,,,,441.895,413.64300000000003,478.342,518.919,,,
180,3230359,1376,3.326150613890416,right,fixation,16.0,43.0,479.465701449275,534.962008695652,,,,,0.0,,
181,3230379,1356,3.326150613890416,left,fixation,20.0,,462.8913088235289,533.871967647059,,,,,1.0,5.515981921249869,15.777671374445585
182,3231739,20,,left,saccade,21.0,,,,480.52,530.614,411.005,445.309,,,
183,3231739,20,,right,saccade,17.0,43.0,,,475.88599999999997,549.905,453.44,459.332,,,
184,3231763,792,3.3123603854854196,left,fixation,21.0,,390.19302512562797,428.07148241206,,,,,0.0,,
185,3231763,800,3.3123603854854204,right,fixation,17.0,44.0,412.507791044776,422.36050248756203,,,,,0.0,,
188,3232691,300,3.2468727123603784,right,fixation,18.0,45.0,392.408421052632,391.691789473684,,,,,1.0,9.6302006728832,19.100676977531432
190,3232703,28,,left,saccade,22.0,,,,361.469,297.2340000000001,384.54400000000004,395.341,,,
191,3232735,260,3.2468754497289725,left,fixation,22.0,,387.990848484848,422.711378787879,,,,,0.0,,
192,3232995,24,,right,saccade,18.0,45.0,,,404.652,398.76300000000003,443.85,500.32300000000004,,,
193,3232999,24,,left,saccade,23.0,,,,399.129,433.061,448.125,526.461,,,
194,3233023,608,3.2520668534080297,right,fixation,19.0,46.0,476.83742483660103,535.342836601308,,,,,0.0,,
195,3233027,596,3.2520033882352943,left,fixation,23.0,,472.767286666667,547.6067266666661,,,,,0.0,,
196,3233627,68,,left,saccade,24.0,,,,478.305,548.607,447.949,436.324,,,
197,3233635,64,,right,saccade,19.0,46.0,,,473.605,545.215,431.713,507.3,,,
198,3233759,352,3.1638662931839403,right,fixation,20.0,47.0,478.693382022472,542.260056179776,,,,,0.0,,
199,3233767,0,,left,fixation,24.0,,451.685,436.324,,,,,0.0,,
200,3233771,16,,left,saccade,25.0,,,,460.45300000000003,436.324,472.57099999999997,517.432,,,
201,3233791,320,3.1638662931839403,left,fixation,25.0,,483.46114814814797,538.96687654321,,,,,0.0,,
202,3234115,24,,left,saccade,26.0,,,,460.849,530.283,646.835,532.352,,,
203,3234115,24,,right,saccade,20.0,47.0,,,485.61300000000006,539.59,655.454,541.754,,,
204,3234143,1032,3.1501911196911205,right,fixation,21.0,48.0,695.256162162162,555.141992277992,,,,,1.0,6.4200210842506085,16.67195756352564
205,3234143,1036,3.1500423076923076,left,fixation,26.0,,698.5716923076918,567.181088461539,,,,,1.0,11.693690279852278,44.67137836467549
206,3235179,24,,right,saccade,21.0,48.0,,,706.935,541.877,904.176,538.096,,,
207,3235183,24,,left,saccade,27.0,,,,711.58,570.4830000000002,918.029,567.47,,,
208,3235207,1004,3.212533864541833,right,fixation,22.0,49.0,948.8231388888879,554.065178571428,,,,,2.0,9.225844846191153,30.02281501064269
209,3235211,1000,3.212804,left,fixation,27.0,,959.544215139442,581.869545816733,,,,,2.0,9.568725517878542,34.763893409198396
210,3236215,24,,left,saccade,28.0,,,,978.2389999999999,589.701,1156.344,579.155,,,
211,3236215,24,,right,saccade,22.0,49.0,,,956.3739999999999,548.825,1195.698,544.5880000000002,,,
212,3236243,304,3.208625,left,fixation,28.0,,1203.8526883116901,565.202051948052,,,,,1.0,5.053470149862917,10.990714489968331
213,3236243,304,3.208625,right,fixation,23.0,50.0,1230.82525974026,543.451896103896,,,,,0.0,,
214,3236551,20,,left,saccade,29.0,,,,1216.677,552.567,1364.045,545.303,,,
215,3236551,24,,right,saccade,23.0,50.0,,,1232.3239999999996,542.235,1432.9720000000002,534.297,,,
216,3236575,352,3.1449550561797763,left,fixation,29.0,,1399.62250561798,533.112112359551,,,,,0.0,,
217,3236579,348,3.144573863636363,right,fixation,24.0,51.0,1446.8310909090899,531.059306818182,,,,,0.0,,
