,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
106,3554286,28,,right,saccade,1.0,27.0,,,419.941,135.7,390.42199999999997,369.559,,,
108,3554318,2508,3.719302232854864,right,fixation,1.0,28.0,390.50061624203795,405.40892675159205,,,,,4.0,5.574980427952408,24.885745742832757
109,3554322,2504,3.7192963258785934,left,fixation,1.0,,384.932889952154,414.337424242425,,,,,16.0,4.84856027426385,17.201573722532856
110,3556830,24,,left,saccade,1.0,,,,366.838,402.901,466.36400000000003,565.026,,,
111,3556830,24,,right,saccade,2.0,28.0,,,403.81800000000004,413.445,456.006,579.785,,,
112,3556858,632,3.7357436708860763,right,fixation,2.0,29.0,467.940817610063,564.792433962264,,,,,1.0,3.527237453809367,7.148971744244072
113,3556858,636,3.7358270440251578,left,fixation,2.0,,474.07308125,543.0397375,,,,,2.0,4.708350104350423,14.492769324753757
114,3557494,24,,right,saccade,3.0,29.0,,,460.204,535.744,397.89599999999996,419.744,,,
115,3557498,20,,left,saccade,2.0,,,,487.38,530.922,416.911,417.43,,,
116,3557522,376,3.708102941176471,left,fixation,3.0,,388.811168421053,412.049231578947,,,,,2.0,4.5094842829489385,18.8308439163306
117,3557522,380,3.708102941176471,right,fixation,3.0,30.0,381.3213229166671,401.41421875,,,,,0.0,,
118,3557902,39,,left,saccade,3.0,,,,367.92900000000003,400.58,447.336,484.903,,,
119,3557906,55,,right,saccade,4.0,30.0,,,389.029,430.789,503.995,457.842,,,
120,3558029,948,3.7551821486624752,left,fixation,4.0,,471.40988655462195,523.383844537815,,,,,4.0,5.458869320594762,19.40772060689088
121,3558033,940,3.755389847682731,right,fixation,4.0,31.0,485.8444661016951,558.916601694915,,,,,2.0,6.6386671752911015,39.803148949433016
122,3558977,28,,right,saccade,5.0,31.0,,,479.337,559.322,382.934,415.473,,,
123,3558981,24,,left,saccade,4.0,,,,453.381,536.383,391.344,416.034,,,
124,3559009,749,3.6344335106382974,right,fixation,5.0,32.0,378.872734042553,399.711367021277,,,,,0.0,,
125,3559009,753,3.6344550264550266,left,fixation,5.0,,390.544296296296,411.533936507937,,,,,0.0,,
126,3559762,28,,right,saccade,6.0,32.0,,,383.606,397.57,453.397,560.373,,,
127,3559766,20,,left,saccade,5.0,,,,392.119,433.369,429.30800000000005,530.997,,,
128,3559790,847,3.74263981042654,left,fixation,6.0,,462.4736197183098,545.315887323944,,,,,0.0,,
129,3559794,843,3.742971428571428,right,fixation,6.0,33.0,469.410740566038,565.9425801886799,,,,,0.0,,
130,3560641,24,,left,saccade,6.0,,,,461.35900000000004,536.05,413.42800000000005,446.733,,,
131,3560641,24,,right,saccade,7.0,33.0,,,460.102,567.901,415.67400000000004,428.841,,,
