,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
28,3376248,387,3.164182291666666,left,fixation,1.0,,476.06432653061205,406.727142857143,,,,,2.0,7.904984062697346,34.314932159465904
29,3376248,391,3.1638659793814434,right,fixation,1.0,7.0,496.3799191919191,424.638686868687,,,,,6.0,4.632176409406298,19.58391163254449
34,3376815,24,,left,saccade,1.0,,,,457.075,232.47799999999998,450.291,409.996,,,
35,3376815,24,,right,saccade,1.0,8.0,,,487.51300000000003,280.388,475.80300000000005,441.63,,,
36,3376843,601,3.0775132450331126,left,fixation,2.0,,479.1710529801329,389.199304635762,,,,,8.0,4.3969281348844556,17.7910479205355
37,3376843,1204,3.0619401993355484,right,fixation,2.0,9.0,478.601208609271,405.3390960264901,,,,,8.0,5.489614147723332,26.877475065197782
38,3377448,12,,left,saccade,2.0,,,,502.796,366.342,458.675,370.785,,,
39,3377464,583,3.046013793103448,left,fixation,3.0,,412.16642176870795,364.349503401361,,,,,3.0,5.203369135698772,17.434028391608294
40,3378051,20,,left,saccade,3.0,,,,391.945,376.51599999999996,462.894,362.27,,,
41,3378051,20,,right,saccade,2.0,9.0,,,429.72900000000004,395.94199999999995,508.19300000000004,387.527,,,
42,3378075,380,3.0550842105263163,left,fixation,4.0,,493.083864583334,363.896208333333,,,,,6.0,2.6611166043193197,10.722586321878786
43,3378075,384,3.055296875,right,fixation,3.0,10.0,525.29412371134,402.136278350515,,,,,2.0,2.5900585601496067,7.328984933605992
44,3378459,28,,left,saccade,4.0,,,,490.23,368.283,483.26800000000003,486.84,,,
45,3378463,24,,right,saccade,3.0,10.0,,,528.01,414.663,504.596,508.915,,,
46,3378491,476,3.0162899159663867,left,fixation,5.0,,473.0320666666671,490.7356666666671,,,,,4.0,2.858005254108656,7.012468072348617
47,3378491,476,3.0162899159663867,right,fixation,4.0,11.0,494.725366666667,522.546316666667,,,,,2.0,3.647722997689339,9.609448553696364
48,3378971,24,,left,saccade,5.0,,,,474.088,488.20599999999996,667.987,482.13199999999995,,,
49,3378971,24,,right,saccade,4.0,11.0,,,503.249,514.927,699.117,501.30699999999996,,,
50,3378999,453,2.949951754385965,left,fixation,6.0,,703.661043859649,467.851280701754,,,,,2.0,3.4354281494197987,15.478432008551033
51,3378999,453,2.949951754385965,right,fixation,5.0,12.0,720.9040964912282,484.617026315789,,,,,2.0,2.3877519562384224,7.5391367169576995
52,3379456,24,,left,saccade,6.0,,,,708.91,476.681,564.203,365.39300000000003,,,
53,3379456,24,,right,saccade,5.0,12.0,,,725.834,488.86800000000005,598.257,384.608,,,
54,3379484,783,2.9559717948717954,left,fixation,7.0,,521.664918781726,372.13604060913696,,,,,3.0,3.622685360354792,15.427766838521498
