,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
35,1919929,52,,right,saccade,1.0,9.0,,,1199.635,264.877,471.455,346.912,,,
36,1919985,368,3.410439767563364,left,fixation,1.0,,464.797870967742,368.969666666667,,,,,2.0,7.149321223747886,35.495268387390304
37,1919985,368,3.410439767563364,right,fixation,1.0,10.0,460.3163225806449,375.230010752688,,,,,3.0,6.7626601040517915,26.06652124323198
38,1920357,40,,left,saccade,1.0,,,,488.665,372.25300000000004,478.16900000000004,364.849,,,
39,1920357,40,,right,saccade,2.0,10.0,,,495.86199999999997,383.24300000000005,505.526,360.535,,,
40,1920485,371,3.4066230586996573,left,fixation,2.0,,515.451234042553,366.874340425532,,,,,0.0,,
41,1920485,371,3.4066230586996573,right,fixation,2.0,11.0,514.332627659574,376.9105,,,,,2.0,4.616604553872231,16.759551221849495
42,1920860,20,,left,saccade,2.0,,,,520.1669999999998,374.235,417.04,383.92,,,
43,1920860,20,,right,saccade,3.0,11.0,,,510.139,377.131,432.11400000000003,384.82199999999995,,,
44,1920884,268,3.4342313432835816,left,fixation,3.0,,406.216205882353,362.433147058824,,,,,1.0,5.708918135494483,16.39021415357349
45,1920884,268,3.4342313432835816,right,fixation,3.0,12.0,400.263029411765,374.475926470588,,,,,2.0,7.893193159855768,27.03017400972231
46,1921156,24,,left,saccade,3.0,,,,390.879,341.236,434.032,461.31300000000016,,,
47,1921156,24,,right,saccade,4.0,12.0,,,399.772,377.405,459.032,498.587,,,
48,1921184,188,3.421670212765957,left,fixation,4.0,,469.974125,491.4705833333329,,,,,0.0,,
49,1921184,188,3.421670212765957,right,fixation,4.0,13.0,464.231270833333,512.234979166666,,,,,0.0,,
50,1921376,28,,left,saccade,4.0,,,,476.88699999999994,502.142,702.9939999999997,492.64300000000003,,,
51,1921376,28,,right,saccade,5.0,13.0,,,469.86300000000006,522.266,723.0419999999997,499.449,,,
