,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
560,2548464,40,,left,saccade,1.0,,,,893.613,488.756,453.798,549.8340000000002,,,
561,2548468,36,,right,saccade,1.0,140.0,,,867.51,518.102,469.61400000000003,556.178,,,
562,2548508,632,3.7804525316455697,left,fixation,1.0,,439.498918238994,570.128163522013,,,,,0.0,,
563,2548508,924,3.78623021237835,right,fixation,1.0,141.0,459.185215517241,596.167987068966,,,,,5.0,7.206700694500571,22.69126071451575
564,2549144,12,,left,saccade,2.0,,,,469.533,615.8580000000002,514.388,608.406,,,
565,2549160,276,3.809050082683677,left,fixation,2.0,,537.9900428571431,591.162071428571,,,,,0.0,,
566,2549436,40,,right,saccade,2.0,141.0,,,516.6030000000002,608.5269999999998,521.372,605.6709999999998,,,
567,2549440,48,,left,saccade,3.0,,,,542.784,565.254,402.57099999999997,629.805,,,
568,2549612,4,,left,fixation,3.0,,415.8045,630.945,,,,,0.0,,
569,2549620,36,,left,saccade,4.0,,,,429.1,628.6469999999998,502.108,531.034,,,
570,2549636,124,3.7220555555555563,right,fixation,2.0,142.0,572.24809375,594.688875,,,,,2.0,8.734171370935137,36.164908206561385
571,2549660,100,3.7220555555555563,left,fixation,4.0,,534.6671923076921,559.968884615384,,,,,0.0,,
572,2549764,20,,left,saccade,5.0,,,,561.637,595.198,663.008,604.727,,,
573,2549764,20,,right,saccade,3.0,142.0,,,582.595,639.1080000000002,692.145,623.9780000000002,,,
574,2549788,964,3.84544375,left,fixation,5.0,,661.626541322314,633.348429752067,,,,,1.0,4.306620887914578,14.550281440576954
575,2549788,964,3.84544375,right,fixation,3.0,143.0,668.276020661157,652.188599173553,,,,,2.0,8.004716330527957,41.77310969596679
576,2550756,8,,left,saccade,6.0,,,,697.867,625.369,720.4830000000003,632.447,,,
578,2550768,636,3.869207547169811,left,fixation,6.0,,745.73863125,638.1450375,,,,,1.0,3.5144656816901665,10.527720218546778
580,2551408,20,,left,saccade,7.0,,,,750.672,630.008,819.895,628.868,,,
581,2551408,20,,right,saccade,4.0,144.0,,,776.323,627.091,842.52,641.942,,,
582,2551432,776,3.9112801705756928,right,fixation,4.0,145.0,871.2555743589751,652.69438974359,,,,,0.0,,
583,2551432,780,3.9112801705756928,left,fixation,7.0,,852.358056122449,610.187663265306,,,,,1.0,7.068740389520954,18.18286869556061
584,2552212,40,,right,saccade,5.0,145.0,,,880.9789999999997,631.629,873.934,630.073,,,
585,2552216,48,,left,saccade,8.0,,,,850.0939999999997,587.2769999999998,846.2489999999997,544.683,,,
586,2552416,452,3.898714944253859,right,fixation,5.0,146.0,862.627438596491,651.167728070175,,,,,1.0,5.357798703240369,13.5757290780274
587,2552420,440,3.8979118034225535,left,fixation,8.0,,855.305063063063,618.766864864865,,,,,1.0,4.166044410202276,8.991297347991496
588,2552864,24,,left,saccade,9.0,,,,874.419,598.029,720.471,592.36,,,
589,2552872,20,,right,saccade,6.0,146.0,,,840.707,648.391,697.309,632.08,,,
590,2552892,1120,3.9306267857142863,left,fixation,9.0,,757.8670177935941,618.017327402135,,,,,5.0,5.529552805998481,16.368377251462864
591,2552896,1120,3.930866071428572,right,fixation,6.0,147.0,746.1644768683279,640.927854092527,,,,,3.0,7.763511736149561,22.184431634260093
592,2554016,24,,left,saccade,10.0,,,,766.805,616.007,630.044,609.146,,,
593,2554020,20,,right,saccade,7.0,147.0,,,757.5160000000003,618.271,645.501,629.328,,,
594,2554044,680,3.8806147058823535,left,fixation,10.0,,638.258485380117,612.49198245614,,,,,0.0,,
595,2554044,680,3.8806147058823535,right,fixation,7.0,148.0,635.936713450292,613.4026023391809,,,,,3.0,5.969856876117972,27.22297986202219
596,2554728,20,,left,saccade,11.0,,,,621.4,614.763,488.43,606.41,,,
597,2554728,20,,right,saccade,8.0,148.0,,,633.261,607.178,473.64599999999996,607.184,,,
598,2554752,120,3.8529166666666654,right,fixation,8.0,149.0,513.641548387097,595.884580645161,,,,,1.0,10.34285949204677,59.51838305935398
599,2554752,920,3.8396129741369642,left,fixation,11.0,,463.771623376624,602.657874458874,,,,,2.0,8.53784353101415,23.790353123920873
600,2554876,20,,right,saccade,9.0,149.0,,,527.5980000000002,579.1659999999998,421.278,564.2769999999998,,,
601,2554900,768,3.838378228125428,right,fixation,9.0,150.0,471.172590673575,602.011595854922,,,,,4.0,5.102800016383818,12.430884769664912
602,2555672,40,,right,saccade,10.0,150.0,,,541.3480000000002,610.106,557.507,654.941,,,
603,2555676,84,,left,saccade,12.0,,,,533.052,592.768,492.57,556.091,,,
604,2555864,20,,right,fixation,10.0,151.0,556.543666666667,644.7265,,,,,0.0,,
605,2555888,12,,right,saccade,11.0,151.0,,,554.501,627.992,554.508,586.048,,,
