,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
70,2871000,48,,left,saccade,1.0,,,,1200.8110000000001,219.793,531.063,392.838,,,
72,2871052,120,3.208616666666667,left,fixation,1.0,,516.3076451612901,416.152870967742,,,,,1.0,6.716634218283888,15.203284447776378
73,2871056,116,3.208,right,fixation,1.0,19.0,492.661333333333,384.474,,,,,1.0,6.225823080346707,23.68854011964428
74,2871176,12,,right,saccade,1.0,19.0,,,486.163,398.163,438.08,400.77099999999996,,,
75,2871176,16,,left,saccade,2.0,,,,512.231,425.724,444.214,429.55300000000005,,,
76,2871192,656,3.201757575757576,right,fixation,2.0,20.0,392.840684848485,394.18350909090896,,,,,0.0,,
77,2871196,656,3.2017,left,fixation,2.0,,424.2621454545449,414.244860606061,,,,,3.0,5.9903035316393,14.829841703730082
78,2871852,16,,right,saccade,2.0,20.0,,,394.842,389.05699999999996,439.849,405.98699999999997,,,
79,2871856,20,,left,saccade,3.0,,,,434.69699999999995,406.329,470.417,467.463,,,
80,2871872,284,3.112154929577465,right,fixation,3.0,21.0,457.307166666667,469.205569444444,,,,,0.0,,
81,2871880,272,3.1114191176470585,left,fixation,3.0,,500.70928985507203,502.913985507246,,,,,1.0,5.856722322349862,10.501001714122301
82,2872156,24,,left,saccade,4.0,,,,502.728,523.507,431.29699999999997,415.522,,,
83,2872160,28,,right,saccade,3.0,21.0,,,459.668,503.283,411.648,403.81,,,
84,2872184,804,3.156636815920398,left,fixation,4.0,,421.36618811881203,415.53618811881205,,,,,0.0,,
85,2872192,796,3.1569648241206028,right,fixation,4.0,22.0,388.23028,388.23220499999996,,,,,1.0,4.4662202077869315,8.970263819977626
86,2872992,20,,left,saccade,5.0,,,,422.871,427.48699999999997,463.495,490.13,,,
87,2872992,28,,right,saccade,4.0,22.0,,,393.119,399.884,444.8,485.496,,,
88,2873016,512,3.1260118343195265,left,fixation,5.0,,498.742441860465,515.708007751938,,,,,0.0,,
89,2873024,248,3.126579545454545,right,fixation,5.0,23.0,488.99749206349196,504.893507936508,,,,,5.0,11.765125104570384,43.043493790007325
94,2873888,44,,right,saccade,5.0,24.0,,,421.499,391.529,407.976,375.208,,,
98,2874108,396,3.2249463971363186,left,fixation,6.0,,404.21687000000003,379.69768,,,,,0.0,,
99,2874176,332,3.2249463971363186,right,fixation,6.0,25.0,394.0438809523809,377.277476190476,,,,,2.0,8.107129236718043,16.201133833522373
100,2874508,44,,left,saccade,6.0,,,,411.342,403.332,369.57599999999996,502.869,,,
101,2874512,44,,right,saccade,6.0,25.0,,,395.972,377.17900000000003,377.361,455.464,,,
102,2874704,624,3.189645038167939,right,fixation,7.0,26.0,375.774433121019,400.847108280255,,,,,2.0,8.317294145390404,11.8586489469908
103,2874736,24,,left,fixation,7.0,,369.126142857143,482.2711428571431,,,,,1.0,10.900108018068249,30.327971412542595
104,2874764,0,,left,saccade,7.0,,,,362.245,452.973,362.245,452.973,,,
105,2874768,560,3.189645038167939,left,fixation,8.0,,383.608042553191,384.585049645391,,,,,5.0,7.052726981659104,24.483011577061056
106,2875332,12,,right,saccade,7.0,26.0,,,371.082,397.871,408.17800000000005,417.49199999999996,,,
107,2875332,20,,left,saccade,8.0,,,,404.05400000000003,394.476,454.089,440.909,,,
108,2875348,288,3.0988958333333336,right,fixation,8.0,27.0,461.59701369863,477.470246575342,,,,,2.0,5.94201958443417,15.709951019202476
109,2875356,276,3.0980362318840577,left,fixation,9.0,,491.473342857143,498.008685714285,,,,,1.0,10.908622635583066,34.683405974615546
110,2875636,28,,left,saccade,9.0,,,,503.269,521.068,450.07800000000003,413.91900000000004,,,
111,2875640,24,,right,saccade,8.0,27.0,,,471.61699999999996,508.2,432.60900000000004,397.222,,,
112,2875668,3656,3.2200736669878745,left,fixation,10.0,,408.795933333333,399.033766120218,,,,,3.0,6.022477786182933,15.409320927910855
113,2875668,3660,3.2200736669878745,right,fixation,9.0,28.0,392.246270742359,389.0409388646289,,,,,3.0,4.468815749564059,14.637932033202373
114,2879328,41,,left,saccade,10.0,,,,397.598,390.62199999999996,387.353,463.477,,,
115,2879332,48,,right,saccade,9.0,28.0,,,381.543,391.842,453.275,441.783,,,
116,2879539,609,3.2257498919930883,right,fixation,10.0,29.0,409.533745098039,398.792901960784,,,,,2.0,4.337562447599982,18.25558647299805
117,2879556,596,3.2250558928571427,left,fixation,11.0,,397.28564,411.58907999999997,,,,,2.0,6.114415163713511,17.289775722177815
118,2880152,40,,right,saccade,10.0,29.0,,,403.981,419.256,656.922,472.566,,,
119,2880156,36,,left,saccade,11.0,,,,424.106,423.695,671.4680000000002,480.352,,,
120,2880196,1439,3.066859331476324,left,fixation,12.0,,740.369983379502,537.739351800554,,,,,2.0,6.243917281240903,20.527628682634575
121,2880196,1439,3.066859331476324,right,fixation,11.0,30.0,720.086775623268,511.3264182825489,,,,,7.0,6.803080539042108,19.915455003300398
122,2881639,28,,right,saccade,11.0,30.0,,,710.877,495.17900000000003,503.849,443.67699999999996,,,
123,2881639,36,,left,saccade,12.0,,,,709.4860000000001,512.8330000000002,498.23400000000004,467.13199999999995,,,
124,2881671,60,3.132333333333334,right,fixation,12.0,31.0,472.627875,420.178875,,,,,1.0,4.800831970722486,21.15954252813612
125,2881679,52,3.134,left,fixation,13.0,,482.113642857143,440.65578571428597,,,,,0.0,,
126,2881735,20,,left,saccade,13.0,,,,469.49199999999996,438.01800000000003,393.478,424.566,,,
127,2881735,20,,right,saccade,12.0,31.0,,,456.718,404.74,382.284,402.189,,,
128,2881759,652,3.2135981595092025,left,fixation,14.0,,400.64615243902495,414.149841463415,,,,,0.0,,
129,2881759,652,3.2135981595092025,right,fixation,13.0,32.0,363.058274390244,377.4750182926831,,,,,1.0,8.590799013738165,15.946719066942899
130,2882415,36,,left,saccade,14.0,,,,403.264,422.63300000000004,722.002,491.11,,,
131,2882415,36,,right,saccade,13.0,32.0,,,370.908,369.67900000000003,704.904,492.28,,,
132,2882455,1124,3.1309217081850536,left,fixation,15.0,,754.791968085107,516.85194680851,,,,,0.0,,
133,2882455,1128,3.130895390070922,right,fixation,14.0,33.0,725.562674911661,513.775021201413,,,,,4.0,7.91418372341988,24.550775500085077
134,2883583,36,,left,saccade,15.0,,,,760.937,525.536,480.754,457.217,,,
135,2883587,40,,right,saccade,14.0,33.0,,,740.803,547.552,445.142,417.85,,,
136,2883623,592,3.1569391891891896,left,fixation,16.0,,435.342926174497,424.4042147651,,,,,0.0,,
137,2883631,584,3.1574726027397264,right,fixation,15.0,34.0,406.290360544218,408.116095238095,,,,,0.0,,
138,2884219,36,,left,saccade,16.0,,,,433.472,424.399,722.204,514.703,,,
