,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
50,432486,28,,left,saccade,1.0,,,,718.512,531.101,471.38699999999994,654.659,,,
51,432490,24,,right,saccade,1.0,13.0,,,711.2589999999999,580.9490000000002,502.088,679.841,,,
52,432518,412,3.5240360576923084,right,fixation,1.0,14.0,493.21875,709.055903846154,,,,,3.0,10.320849682762194,23.97880037406089
53,432518,424,3.5237920560747664,left,fixation,1.0,,480.118224299066,650.0028130841121,,,,,3.0,5.525279396409968,12.248759040697605
54,432934,20,,right,saccade,2.0,14.0,,,530.3480000000002,715.187,515.506,794.367,,,
55,432946,4,,left,saccade,2.0,,,,475.874,680.198,475.874,681.357,,,
56,432954,168,3.4764166666666667,left,fixation,2.0,,481.44513953488405,728.0964418604649,,,,,1.0,9.710513346082372,17.8589327788643
58,433126,24,,left,saccade,3.0,,,,492.57199999999995,734.9960000000003,687.437,731.257,,,
59,433126,24,,right,saccade,3.0,15.0,,,489.712,789.46,708.998,795.6410000000003,,,
60,433154,156,3.4954358974358977,left,fixation,3.0,,699.001225,728.96225,,,,,0.0,,
61,433154,156,3.4954358974358977,right,fixation,2.0,16.0,740.4513,786.7282,,,,,1.0,3.9096420552271,16.044727015440365
62,433314,24,,left,saccade,4.0,,,,700.37,719.702,938.549,726.1210000000003,,,
63,433314,28,,right,saccade,4.0,16.0,,,751.321,777.158,989.947,781.1339999999999,,,
64,433342,276,3.506427536231884,left,fixation,4.0,,962.0684,746.809314285714,,,,,1.0,3.424950494370536,8.675322702931535
65,433346,276,3.5066884057971013,right,fixation,3.0,17.0,985.8866,786.175928571429,,,,,0.0,,
66,433622,28,,left,saccade,5.0,,,,954.7760000000001,744.2339999999997,1196.622,756.797,,,
67,433626,20,,right,saccade,5.0,17.0,,,1001.14,776.0219999999997,1208.631,784.675,,,
68,433650,128,3.485171875,right,fixation,4.0,18.0,1230.81612121212,786.368787878788,,,,,0.0,,
69,433654,124,3.484338709677419,left,fixation,5.0,,1213.10625,751.9065,,,,,2.0,8.306785764156071,34.3517200136598
70,433782,24,,left,saccade,6.0,,,,1231.37,767.414,1424.283,749.414,,,
71,433782,24,,right,saccade,6.0,18.0,,,1231.576,789.312,1432.7820000000006,780.2439999999997,,,
72,433810,284,3.4557887323943666,left,fixation,6.0,,1425.1605138888901,745.4620555555548,,,,,0.0,,
73,433810,284,3.4557887323943666,right,fixation,5.0,19.0,1453.046625,768.949138888889,,,,,2.0,6.466468469978462,26.674828373196462
74,434098,48,,right,saccade,7.0,19.0,,,1461.201,773.6460000000003,557.235,758.2610000000003,,,
75,434098,52,,left,saccade,7.0,,,,1415.806,738.7330000000003,528.382,712.324,,,
76,434150,256,3.4662734375,right,fixation,6.0,20.0,535.844615384615,715.946415384615,,,,,1.0,11.494634846309848,34.822966588158444
77,434154,252,3.4661825396825403,left,fixation,7.0,,526.7473125,666.178703125,,,,,1.0,6.9759635734267915,21.08189386653855
78,434410,48,,left,saccade,8.0,,,,528.508,653.895,1334.54,712.7539999999997,,,
79,434410,52,,right,saccade,8.0,20.0,,,548.086,701.7919999999997,1362.4489999999996,763.925,,,
80,434462,624,3.5127292993630563,left,fixation,8.0,,1410.82265605095,733.172076433121,,,,,6.0,5.3859769866502285,14.40242718772774
81,434466,124,3.5062903225806443,right,fixation,7.0,21.0,1369.15996875,783.89653125,,,,,1.0,23.175716822786733,64.17389155256195
82,434594,0,,right,saccade,9.0,21.0,,,1404.241,779.048,1404.241,779.048,,,
83,434598,488,3.5146544715447154,right,fixation,8.0,22.0,1434.2431300813,776.399178861789,,,,,2.0,4.738925889266224,12.257136638093655
