,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
92,1207343,20,,left,saccade,1.0,,,,268.77099999999996,414.47,363.139,429.85699999999997,,,
93,1207343,20,,right,saccade,1.0,24.0,,,322.361,406.48400000000004,393.85900000000004,428.408,,,
94,1207367,768,2.714794270833334,left,fixation,1.0,,411.8610310880829,423.00284455958604,,,,,6.0,2.7859066669857486,12.955495132402687
95,1207367,1124,2.7000800711743773,right,fixation,1.0,25.0,420.345425531915,420.85666666666606,,,,,7.0,7.291644868895763,18.239316777625934
96,1208139,20,,left,saccade,2.0,,,,443.69300000000004,424.06800000000004,380.00800000000004,420.51,,,
97,1208163,1028,2.6912412451361867,left,fixation,2.0,,407.32517441860495,427.114786821706,,,,,9.0,3.9490080753624976,13.26977453558948
98,1208495,0,,right,saccade,2.0,25.0,,,390.579,427.684,390.579,427.684,,,
99,1208499,692,2.7019913294797693,right,fixation,2.0,26.0,430.512574712644,433.587626436782,,,,,6.0,3.0674406362188384,7.852122878927259
100,1209195,20,,left,saccade,3.0,,,,413.551,413.168,407.28,489.546,,,
101,1209195,20,,right,saccade,3.0,26.0,,,429.842,414.801,421.32199999999995,475.36,,,
102,1209219,404,2.722118811881188,left,fixation,3.0,,402.90362745097997,473.608794117647,,,,,2.0,2.809294438092228,6.848418095672794
103,1209219,404,2.722118811881188,right,fixation,3.0,27.0,418.19399019607806,461.86099019607803,,,,,1.0,2.7948651577491024,8.392077811841304
104,1209627,32,,left,saccade,4.0,,,,397.935,471.469,726.17,515.591,,,
105,1209627,32,,right,saccade,4.0,27.0,,,419.615,449.48699999999997,729.801,497.131,,,
106,1209663,156,2.692833333333333,left,fixation,4.0,,730.40475,529.40575,,,,,1.0,2.609877056491353,3.4039955934166812
107,1209663,156,2.692833333333333,right,fixation,4.0,28.0,737.558475,517.84965,,,,,0.0,,
108,1209823,32,,left,saccade,5.0,,,,727.123,527.41,481.37800000000004,420.88199999999995,,,
109,1209823,32,,right,saccade,5.0,28.0,,,743.666,517.69,493.673,416.186,,,
110,1209859,620,2.7735258064516124,left,fixation,5.0,,447.33321153846197,407.3778589743589,,,,,3.0,3.71519058206076,17.090169019186316
111,1209859,620,2.7735258064516124,right,fixation,5.0,29.0,463.21432051282096,406.86707692307687,,,,,4.0,5.781488890835082,24.24238156052264
112,1210483,44,,left,saccade,6.0,,,,437.769,407.85900000000004,1008.435,560.446,,,
113,1210483,44,,right,saccade,6.0,29.0,,,461.978,421.205,1026.372,566.0509999999998,,,
114,1210531,140,2.7473428571428578,left,fixation,6.0,,1008.7235277777803,581.0824444444439,,,,,2.0,4.672314398048368,13.22614346210233
115,1210531,144,2.7469305555555565,right,fixation,6.0,30.0,1015.8676216216196,579.771162162162,,,,,1.0,2.9816017321045662,10.08061034858505
116,1210675,16,,left,saccade,7.0,,,,1011.8380000000001,576.7040000000002,953.296,577.151,,,
117,1210679,12,,right,saccade,7.0,30.0,,,1010.81,585.2080000000002,957.457,575.7919999999998,,,
118,1210695,124,2.7423225806451614,left,fixation,7.0,,947.31740625,570.9625,,,,,1.0,3.0900480129315597,4.627365773309916
119,1210695,124,2.7423225806451614,right,fixation,7.0,31.0,946.11834375,559.29309375,,,,,1.0,2.719304424950556,5.915444531055921
120,1210823,28,,left,saccade,8.0,,,,943.808,568.368,1227.58,584.997,,,
121,1210823,28,,right,saccade,8.0,31.0,,,952.072,554.187,1204.492,568.552,,,
122,1210855,336,2.737194117647059,left,fixation,8.0,,1212.26128235294,583.847247058823,,,,,4.0,3.4149727113178967,13.435498074149491
123,1210855,336,2.737194117647059,right,fixation,8.0,32.0,1208.12632941176,560.932541176471,,,,,3.0,4.047752317106839,13.343185554624348
124,1211195,24,,left,saccade,9.0,,,,1196.34,584.799,1442.684,592.332,,,
125,1211195,24,,right,saccade,9.0,32.0,,,1198.619,558.1669999999998,1446.7939999999999,569.234,,,
126,1211223,392,2.7669020618556703,left,fixation,9.0,,1422.68876767677,586.539868686869,,,,,2.0,8.739411104353017,6.473713150984518
127,1211223,392,2.7669020618556703,right,fixation,9.0,33.0,1415.7264040404,562.6115151515149,,,,,1.0,15.704327316769215,13.021610653064329
130,1211675,520,2.7992807692307693,left,fixation,10.0,,493.942473282443,599.4400687022901,,,,,4.0,7.193730749562301,28.44230992156744
131,1211675,520,2.7992807692307693,right,fixation,10.0,34.0,502.84520610687,567.416305343511,,,,,5.0,6.956480291988583,17.594059281097593
132,1212199,28,,left,saccade,10.0,,,,468.30400000000003,574.495,754.615,569.123,,,
133,1212199,28,,right,saccade,10.0,34.0,,,472.44,547.562,754.268,555.4580000000002,,,
134,1212231,432,2.735351851851852,left,fixation,11.0,,735.374449541284,559.378990825688,,,,,3.0,3.4864656913183367,16.369389364238163
135,1212231,432,2.735351851851852,right,fixation,11.0,35.0,746.779348623853,555.911770642202,,,,,3.0,5.098090052550739,22.85069142580463
136,1212667,28,,right,saccade,11.0,35.0,,,730.488,560.734,966.2310000000001,570.544,,,
137,1212667,32,,left,saccade,11.0,,,,715.962,557.23,938.525,578.14,,,
138,1212699,400,2.68847,right,fixation,12.0,36.0,959.004851485148,560.959287128713,,,,,2.0,2.3511115867437926,10.945971653232613
139,1212703,392,2.6885050505050496,left,fixation,12.0,,946.19798989899,578.701414141414,,,,,4.0,3.845645157871488,8.3519718633595
140,1213099,44,,left,saccade,12.0,,,,953.048,583.727,446.56199999999995,523.0319999999998,,,
141,1213103,36,,right,saccade,12.0,36.0,,,956.528,554.289,484.99699999999996,502.978,,,
142,1213143,864,2.7425578703703706,right,fixation,13.0,37.0,446.917023041475,416.43316129032206,,,,,4.0,3.0813830118660257,10.628507633247237
143,1213147,864,2.742513888888889,left,fixation,13.0,,443.764059907834,437.0162811059909,,,,,2.0,4.599007426166974,20.286709600196076
144,1214011,80,,right,saccade,13.0,37.0,,,448.702,398.44,1397.575,545.531,,,
145,1214015,76,,left,saccade,13.0,,,,438.899,401.131,1379.5220000000006,568.995,,,
146,1214095,292,2.7255878378378378,left,fixation,14.0,,1407.91225675676,580.349783783783,,,,,3.0,9.68186846469534,26.565833017381234
147,1214095,292,2.7255878378378378,right,fixation,14.0,38.0,1412.62044594595,570.878162162162,,,,,4.0,7.451268622539231,19.667899302050614
