,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
39,2389494,52,,right,saccade,1.0,10.0,,,1186.734,245.64700000000002,499.88599999999997,380.001,,,
40,2389546,651,3.4445864197530867,left,fixation,1.0,,476.2131036585369,367.481536585366,,,,,4.0,3.0054205553235964,14.489239951952376
41,2389550,659,3.443783536585366,right,fixation,1.0,11.0,493.612596385542,392.343939759036,,,,,1.0,4.597818906225459,19.670761449420265
42,2390201,16,,left,saccade,1.0,,,,492.565,372.86800000000005,423.449,379.89,,,
43,2390213,4,,right,saccade,2.0,11.0,,,447.542,386.80699999999996,429.45599999999996,387.11400000000003,,,
44,2390221,576,3.430659722222221,left,fixation,2.0,,471.36063448275803,361.43984827586195,,,,,6.0,3.5148862382528465,21.92001443336247
45,2390221,576,3.430659722222221,right,fixation,2.0,12.0,482.4105241379309,398.8284275862069,,,,,5.0,4.575110280951977,20.800171826111814
46,2390801,21,,right,saccade,3.0,12.0,,,550.441,398.332,494.48699999999997,535.256,,,
47,2390801,25,,left,saccade,2.0,,,,528.5930000000002,362.18699999999995,492.084,520.788,,,
48,2390826,180,3.4530222222222213,right,fixation,3.0,13.0,464.83421739130404,508.781326086956,,,,,1.0,4.993600507427278,8.018694220382745
49,2390830,180,3.453077777777777,left,fixation,3.0,,492.13426086956497,527.062369565217,,,,,1.0,2.081586100656041,4.007434341321159
50,2391010,36,,right,saccade,4.0,13.0,,,461.68800000000016,504.715,715.336,497.661,,,
51,2391014,32,,left,saccade,3.0,,,,497.22,533.133,701.813,500.829,,,
52,2391050,208,3.4094519230769227,left,fixation,4.0,,723.916943396227,493.3784150943402,,,,,1.0,1.9306529479830372,4.34899896527928
53,2391050,208,3.4094519230769227,right,fixation,4.0,14.0,725.91041509434,505.7365471698111,,,,,0.0,,
54,2391262,20,,right,saccade,5.0,14.0,,,734.5939999999997,517.381,878.424,515.052,,,
55,2391262,24,,left,saccade,4.0,,,,729.455,488.634,877.666,485.38800000000003,,,
56,2391286,56,3.3974642857142854,right,fixation,5.0,15.0,895.919066666667,503.1973333333329,,,,,0.0,,
57,2391290,48,3.3986666666666667,left,fixation,5.0,,895.1726923076918,487.727307692308,,,,,1.0,2.69706419093058,8.610083623287254
58,2391342,27,,left,saccade,5.0,,,,902.105,488.978,702.201,475.55,,,
59,2391346,23,,right,saccade,6.0,15.0,,,897.2669999999997,496.77,708.5889999999997,502.332,,,
60,2391373,288,3.3436180555555555,left,fixation,6.0,,708.2811780821919,461.33095890410993,,,,,3.0,4.97735519485535,24.56723555756318
61,2391373,288,3.3436180555555555,right,fixation,6.0,16.0,707.2641506849319,496.089643835616,,,,,1.0,4.835337245506036,13.036564961676033
62,2391665,24,,left,saccade,6.0,,,,727.352,447.341,601.026,391.483,,,
63,2391665,28,,right,saccade,7.0,16.0,,,727.345,482.45099999999996,585.109,417.671,,,
64,2391693,144,3.3302638888888887,left,fixation,7.0,,583.612540540541,374.66167567567595,,,,,1.0,2.848082961494541,8.07579277842123
65,2391697,140,3.3304,right,fixation,7.0,17.0,565.125138888889,387.31997222222196,,,,,1.0,4.429185180268616,6.4134140674059275
66,2391841,24,,left,saccade,7.0,,,,591.025,366.545,519.547,581.636,,,
