,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
186,2033528,52,,left,saccade,1.0,,,,1420.8239999999994,162.142,698.05,274.322,,,
187,2033532,56,,right,saccade,1.0,47.0,,,1363.862,158.455,673.409,280.131,,,
188,2033584,196,3.463846938775509,left,fixation,1.0,,684.74374,303.47398,,,,,0.0,,
189,2033592,192,3.463416666666667,right,fixation,1.0,48.0,651.650408163265,301.198040816327,,,,,0.0,,
190,2033784,20,,left,saccade,2.0,,,,678.283,316.314,559.239,315.474,,,
191,2033788,20,,right,saccade,2.0,48.0,,,639.493,305.8520000000001,530.56,294.579,,,
192,2033808,160,3.4694634146341463,left,fixation,2.0,,550.783975609756,306.220682926829,,,,,1.0,7.284590204290466,22.272506504657283
193,2033812,156,3.469825,right,fixation,2.0,49.0,523.920625,296.76235,,,,,0.0,,
194,2033972,16,,left,saccade,3.0,,,,543.599,304.9,474.471,320.168,,,
195,2033972,24,,right,saccade,3.0,49.0,,,512.3530000000002,288.58299999999997,400.509,324.629,,,
196,2033992,136,3.5006634920634925,left,fixation,3.0,,454.3068,326.602314285714,,,,,0.0,,
197,2034000,136,3.4992683982683985,right,fixation,3.0,50.0,404.4570571428569,306.129228571429,,,,,1.0,7.152233722566838,16.409393529317338
198,2034132,40,,left,saccade,4.0,,,,447.8,315.006,437.189,269.677,,,
199,2034140,32,,right,saccade,4.0,50.0,,,404.42199999999997,302.435,396.469,284.587,,,
200,2034256,124,3.4624829317269072,right,fixation,4.0,51.0,413.865875,284.9779375,,,,,0.0,,
201,2034256,128,3.461985370051635,left,fixation,4.0,,455.242818181818,301.893212121212,,,,,0.0,,
202,2034384,12,,right,saccade,5.0,51.0,,,436.665,287.601,471.973,296.062,,,
203,2034388,16,,left,saccade,5.0,,,,467.545,312.138,528.011,311.026,,,
204,2034400,200,3.4462400000000004,right,fixation,5.0,52.0,504.964803921569,289.957156862745,,,,,0.0,,
205,2034408,192,3.4461875,left,fixation,5.0,,547.816040816326,308.832734693877,,,,,0.0,,
206,2034604,12,,right,saccade,6.0,52.0,,,530.214,275.137,591.393,286.711,,,
207,2034604,16,,left,saccade,6.0,,,,539.604,304.501,625.3480000000002,296.586,,,
208,2034620,228,3.408413793103448,right,fixation,6.0,53.0,622.426068965517,299.645620689655,,,,,0.0,,
209,2034624,228,3.407224137931034,left,fixation,6.0,,644.0936551724141,303.899862068966,,,,,0.0,,
