,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
112,3488780,32,,left,saccade,1.0,,,,387.26099999999997,435.631,360.151,701.837,,,
113,3488784,28,,right,saccade,1.0,28.0,,,417.994,411.37699999999995,376.603,669.802,,,
114,3488816,848,2.7446199393615127,left,fixation,1.0,,371.667192488263,708.141319248826,,,,,2.0,5.7306993171958585,21.34298801525847
115,3488816,856,2.7446199393615127,right,fixation,1.0,29.0,408.119934883721,679.0098976744181,,,,,6.0,5.122283750631524,11.840160111388716
116,3489668,40,,left,saccade,2.0,,,,371.39,706.793,336.545,641.406,,,
118,3489784,1096,2.7229332250327016,right,fixation,2.0,30.0,407.1290654545449,666.2759927272721,,,,,1.0,4.238261363918999,12.773403501025
120,3489852,0,,left,saccade,3.0,,,,368.45599999999996,651.672,368.45599999999996,651.672,,,
121,3489856,1020,2.7229640044324235,left,fixation,2.0,,384.4499609375,709.2838515625,,,,,1.0,5.533424115721184,7.35043400079218
122,3490880,24,,left,saccade,4.0,,,,386.365,715.201,444.226,825.2460000000003,,,
123,3490884,24,,right,saccade,2.0,30.0,,,413.17900000000003,679.2080000000002,459.228,808.9939999999997,,,
124,3490908,460,2.8162715517241383,left,fixation,3.0,,479.684862068965,848.32449137931,,,,,2.0,3.719719679407096,10.211516111690754
125,3490912,456,2.816860869565217,right,fixation,3.0,31.0,471.273095652174,808.9693739130431,,,,,0.0,,
126,3491372,24,,left,saccade,5.0,,,,492.844,841.62,414.13,719.1389999999999,,,
127,3491372,24,,right,saccade,3.0,31.0,,,467.376,813.8689999999997,443.98900000000003,698.41,,,
128,3491400,356,2.8256769356597604,left,fixation,4.0,,395.6692333333329,692.151844444444,,,,,0.0,,
129,3491400,368,2.8256769356597604,right,fixation,4.0,32.0,416.43264516129,662.353365591398,,,,,0.0,,
130,3491760,76,,left,saccade,6.0,,,,396.18,698.191,326.659,603.113,,,
132,3491888,776,2.7487182662538703,right,fixation,5.0,33.0,405.72924615384596,671.014928205129,,,,,2.0,4.126837816133391,17.221805428500378
134,3491956,12,,left,saccade,7.0,,,,343.94300000000015,619.255,365.80699999999996,638.638,,,
135,3491972,692,2.7487182662538703,left,fixation,5.0,,386.695,709.1429885057471,,,,,2.0,4.228738356770263,19.216423660238537
136,3492668,16,,right,saccade,4.0,33.0,,,415.00699999999995,667.15,430.64300000000003,741.7330000000003,,,
137,3492668,20,,left,saccade,8.0,,,,377.787,710.5269999999997,439.223,793.128,,,
