,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
104,20858716,40,,left,saccade,1.0,,,,949.2819999999999,446.897,448.901,694.9069999999997,,,
105,20858716,40,,right,saccade,1.0,27.0,,,971.9789999999999,464.199,437.028,724.207,,,
106,20858760,228,3.3040964912280697,left,fixation,1.0,,450.94267241379305,695.888206896552,,,,,2.0,3.218880417494046,15.811801088113947
107,20858760,232,3.3039568965517234,right,fixation,1.0,28.0,443.170152542373,726.6207288135588,,,,,3.0,5.710697111954556,18.023692734967785
108,20858992,20,,left,saccade,2.0,,,,478.07099999999997,690.438,477.901,595.506,,,
109,20858996,20,,right,saccade,2.0,28.0,,,476.48800000000006,700.3439999999997,476.25800000000004,628.24,,,
110,20859016,808,3.2334529702970296,left,fixation,2.0,,441.525842364532,605.5050591133,,,,,5.0,4.579401356048138,25.558068386505145
111,20859020,800,3.2333550000000004,right,fixation,2.0,29.0,438.71628358209,586.418616915423,,,,,7.0,3.539485928217452,16.12505317969671
112,20859824,20,,right,saccade,3.0,29.0,,,380.92400000000004,580.864,472.66,580.187,,,
113,20859828,16,,left,saccade,3.0,,,,403.126,619.4730000000002,464.168,603.428,,,
114,20859848,724,3.1783799896234397,left,fixation,3.0,,508.787318681319,605.725395604395,,,,,2.0,4.47934020823417,27.752908632581534
115,20859848,724,3.1783799896234397,right,fixation,3.0,30.0,505.58165934065903,578.9444560439557,,,,,1.0,7.6284703159356475,46.68890237518974
116,20860576,40,,left,saccade,4.0,,,,527.725,620.219,504.99199999999996,611.068,,,
117,20860576,48,,right,saccade,4.0,30.0,,,524.47,581.161,506.52099999999996,577.9590000000002,,,
118,20860720,800,3.1714156976744188,right,fixation,4.0,31.0,487.416671641791,589.893621890548,,,,,4.0,7.110190602023258,23.42545005456511
119,20860728,488,3.1616666666666675,left,fixation,4.0,,514.466666666667,612.598772357723,,,,,1.0,2.245013647570506,5.215217732750995
120,20861220,20,,left,saccade,5.0,,,,532.0319999999998,610.057,452.153,608.898,,,
121,20861244,276,3.1833623188405795,left,fixation,5.0,,452.2002571428569,609.683985714286,,,,,1.0,2.6329137323927467,7.0913971825021616
122,20861524,20,,left,saccade,6.0,,,,451.353,612.605,544.74,625.6990000000002,,,
123,20861524,20,,right,saccade,5.0,31.0,,,463.744,586.2719999999998,532.83,607.595,,,
124,20861548,104,3.2173269230769224,left,fixation,6.0,,552.443148148148,647.921333333333,,,,,2.0,2.6553344625199227,6.252344385342784
125,20861548,104,3.2173269230769224,right,fixation,5.0,32.0,541.21162962963,641.469925925926,,,,,2.0,5.066148512389849,20.805820668300427
126,20861656,24,,left,saccade,7.0,,,,561.549,654.437,715.372,706.6310000000003,,,
127,20861656,24,,right,saccade,6.0,32.0,,,534.948,654.587,704.067,710.3660000000001,,,
128,20861684,416,3.2985238095238096,left,fixation,7.0,,721.196866666667,731.849495238096,,,,,4.0,3.239647823842048,10.441789394558825
129,20861684,416,3.2985238095238096,right,fixation,6.0,33.0,713.4922761904761,740.8288190476179,,,,,1.0,2.9354469515825863,13.359166328779715
