,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
148,20607193,32,,left,saccade,1.0,,,,711.065,562.675,392.82099999999997,664.385,,,
149,20607193,32,,right,saccade,1.0,36.0,,,719.007,569.071,404.02,668.922,,,
150,20607229,607,2.958404897959184,right,fixation,1.0,37.0,407.163411764706,712.3419411764702,,,,,1.0,3.903652950905225,7.962424002777086
151,20607229,615,2.958404897959184,left,fixation,1.0,,400.827987096774,692.652206451613,,,,,2.0,4.165589854836067,8.073128766402583
152,20607840,44,,right,saccade,2.0,37.0,,,438.441,714.559,377.01199999999994,815.61,,,
153,20607848,44,,left,saccade,2.0,,,,395.897,668.939,370.635,695.796,,,
154,20608008,16,,right,fixation,2.0,38.0,386.3624,814.3478,,,,,0.0,,
156,20608028,36,,right,saccade,3.0,38.0,,,382.32599999999996,795.937,438.001,706.3919999999997,,,
157,20608068,8624,3.0197491826249423,right,fixation,3.0,39.0,425.873346777931,707.484710245713,,,,,20.0,5.976098531136826,21.01524516277196
158,20608124,8,,left,saccade,3.0,,,,338.648,625.605,346.36800000000005,643.661,,,
159,20608136,8556,3.0197010285179986,left,fixation,2.0,,409.354242990654,699.222854672896,,,,,28.0,4.973707173844838,18.583892431065415
160,20616696,28,,left,saccade,4.0,,,,452.38599999999997,668.3380000000002,674.965,787.602,,,
161,20616696,32,,right,saccade,4.0,39.0,,,477.44300000000004,683.71,690.461,770.202,,,
162,20616728,428,3.1507242990654207,left,fixation,3.0,,700.266203703704,807.32325,,,,,1.0,4.042588183604956,13.141179551318993
163,20616732,424,3.1506839622641505,right,fixation,4.0,40.0,703.759719626168,803.446046728972,,,,,2.0,3.536245680021945,9.719800631355081
164,20617160,32,,left,saccade,5.0,,,,709.4889999999997,817.033,467.18800000000016,744.997,,,
165,20617160,32,,right,saccade,5.0,40.0,,,718.445,815.1210000000003,478.236,708.6339999999999,,,
166,20617196,600,3.0990233333333332,left,fixation,4.0,,449.38942384105997,695.9731125827817,,,,,1.0,6.300756658705553,41.40056396958853
167,20617196,600,3.0990233333333332,right,fixation,5.0,41.0,449.162655629139,702.218152317881,,,,,0.0,,
168,20617800,40,,right,saccade,6.0,41.0,,,458.168,706.693,1014.283,764.6510000000003,,,
169,20617800,44,,left,saccade,6.0,,,,439.608,665.52,974.86,810.824,,,
170,20617844,1100,3.0645317028985506,right,fixation,6.0,42.0,976.484246376811,825.514561594202,,,,,2.0,4.855573585402814,10.852687853985843
171,20617848,1092,3.0646085766423354,left,fixation,5.0,,963.3149890510948,853.165649635037,,,,,3.0,4.8908907872810135,25.292845073139812
