,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
10,11092296,4,,left,saccade,1.0,,,,441.76,147.611,432.23800000000006,144.936,,,
11,11092304,92,,left,fixation,1.0,,405.437125,126.591916666667,,,,,2.0,4.316640545317911,21.228468940421823
12,11092400,40,,left,saccade,2.0,,,,411.839,135.27,391.691,116.301,,,
13,11092400,40,,right,saccade,1.0,3.0,,,407.777,136.67,389.87699999999995,116.71700000000001,,,
14,11092520,128,3.018680555555555,right,fixation,1.0,4.0,382.33603030303,127.89918181818199,,,,,0.0,,
15,11092532,120,3.0187982078853044,left,fixation,2.0,,402.523483870968,119.563774193548,,,,,1.0,3.785991026872036,22.051285245989632
16,11092652,24,,right,saccade,2.0,4.0,,,384.41900000000004,129.941,474.965,225.39700000000002,,,
17,11092656,24,,left,saccade,3.0,,,,405.267,142.34799999999996,470.665,218.00099999999998,,,
18,11092680,264,3.0647424242424246,right,fixation,2.0,5.0,489.639194029851,254.607194029851,,,,,0.0,,
19,11092684,260,3.0653538461538465,left,fixation,3.0,,502.236424242424,250.22848484848492,,,,,0.0,,
20,11092948,20,,left,saccade,4.0,,,,529.355,283.233,500.619,200.38400000000001,,,
21,11092948,20,,right,saccade,3.0,5.0,,,487.22900000000004,252.733,478.837,178.605,,,
22,11092972,784,3.097453081938563,right,fixation,3.0,6.0,490.59412182741096,155.488253807107,,,,,1.0,10.410136152914703,44.85319397768682
23,11092972,788,3.097453081938563,left,fixation,4.0,,487.859646464646,145.993393939394,,,,,9.0,4.782316127910163,19.54062459190911
24,11093760,40,,right,saccade,4.0,6.0,,,504.94599999999997,145.315,507.88199999999995,153.907,,,
25,11093764,40,,left,saccade,5.0,,,,496.48900000000003,147.733,483.925,131.702,,,
26,11093904,200,3.1112704191148834,left,fixation,5.0,,502.5078823529409,161.75437254902,,,,,1.0,4.436112302581059,29.228205641126863
27,11093904,200,3.1112704191148834,right,fixation,4.0,7.0,498.4909411764711,162.822098039216,,,,,0.0,,
28,11094108,16,,left,saccade,6.0,,,,512.5980000000002,180.109,512.5980000000002,247.86,,,
