,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
144,3871229,20,,left,saccade,1.0,,,,480.653,602.009,418.565,641.232,,,
145,3871229,24,,right,saccade,1.0,38.0,,,452.526,597.7769999999998,382.728,665.836,,,
146,3871253,520,3.0526550387596902,left,fixation,1.0,,418.848908396947,675.749870229007,,,,,2.0,5.315665370932051,20.692458073637045
147,3871257,512,3.0531614173228343,right,fixation,1.0,39.0,396.0912713178289,683.397891472868,,,,,3.0,3.2153411435481636,16.274796770243007
148,3871773,20,,right,saccade,2.0,39.0,,,420.94,674.675,432.287,764.5160000000003,,,
149,3871777,20,,left,saccade,2.0,,,,429.05699999999996,677.002,454.603,759.6569999999997,,,
150,3871797,1208,2.896054166026577,right,fixation,2.0,40.0,405.925610561056,697.0531353135318,,,,,3.0,6.39692250791159,24.92703520810993
151,3871801,496,2.935972,left,fixation,2.0,,448.806472,756.257072000001,,,,,1.0,4.600542099699903,13.671955712333247
152,3872301,16,,left,saccade,3.0,,,,438.043,735.0010000000003,444.444,675.0189999999999,,,
153,3872321,80,2.8779473684210526,left,fixation,3.0,,433.333904761905,667.451761904762,,,,,2.0,4.562772857825989,11.958799426548307
154,3872405,16,,left,saccade,4.0,,,,426.37199999999996,679.755,419.671,623.097,,,
155,3872425,580,2.858700033244681,left,fixation,4.0,,406.70355479452087,644.297575342466,,,,,0.0,,
157,3873009,44,,right,saccade,3.0,40.0,,,374.93699999999995,635.4169999999998,381.274,611.1759999999998,,,
158,3873157,2260,2.960211561632068,right,fixation,3.0,41.0,410.2118091872789,659.550954063604,,,,,15.0,21.74530703179256,63.47043687973651
159,3873177,2240,2.960211561632068,left,fixation,5.0,,435.52955436720197,644.7801942959011,,,,,10.0,31.736217366865773,98.74396227013015
160,3875421,64,,right,saccade,4.0,41.0,,,387.925,642.808,416.245,613.175,,,
162,3875537,268,3.0123217308783103,left,fixation,6.0,,418.288352941177,639.993955882353,,,,,3.0,91.00747795806706,278.2519777754
163,3875557,224,3.012321730878311,right,fixation,4.0,42.0,400.40512280701796,647.909754385965,,,,,3.0,90.54364480042982,11.467279676300585
165,3875809,40,,left,saccade,5.0,,,,428.395,667.222,392.60900000000004,672.467,,,
166,3876077,156,3.0793809523809523,left,fixation,7.0,,410.66655,673.368475,,,,,2.0,137.78623321834357,425.7514838057327
167,3876237,0,,left,saccade,6.0,,,,419.48,681.283,419.48,681.283,,,
169,3876261,0,,left,saccade,7.0,,,,447.775,687.565,447.775,687.565,,,
170,3876265,232,3.190368421052632,left,fixation,8.0,,467.62811864406797,679.6749661016951,,,,,3.0,138.77419821257612,551.2781291483848
171,3876501,40,,left,saccade,8.0,,,,462.31199999999995,654.261,413.13,642.015,,,
172,3876689,316,3.311470588235294,left,fixation,9.0,,416.6573125,668.6183,,,,,6.0,73.73354771637808,283.54920271908435
173,3877009,40,,left,saccade,9.0,,,,361.10900000000004,697.185,361.587,689.077,,,
174,3877233,8,,left,fixation,10.0,,381.4903333333329,680.8789999999998,,,,,0.0,,
175,3877245,0,,left,saccade,10.0,,,,402.13599999999997,664.4830000000002,402.13599999999997,664.4830000000002,,,
176,3877249,160,,left,fixation,11.0,,433.33339024390295,676.555170731707,,,,,1.0,2.8570768375309132,7.812630606908237
177,3877413,40,,left,saccade,11.0,,,,437.848,676.332,421.892,668.829,,,
178,3877533,1247,3.152936038230606,left,fixation,12.0,,426.027191693291,654.178217252397,,,,,3.0,5.227310027563218,16.32669740804405
179,3877565,1211,3.152936038230606,right,fixation,5.0,43.0,399.292417763158,649.289180921052,,,,,7.0,6.450933850363548,19.53061507414042
180,3878780,48,,right,saccade,5.0,43.0,,,398.949,638.511,373.91,615.057,,,
181,3878784,64,,left,saccade,12.0,,,,432.282,643.533,385.42900000000003,635.148,,,
182,3878936,937,2.9866781526822788,left,fixation,13.0,,405.325255319149,666.441285106383,,,,,1.0,3.402025332226553,6.420990655654327
183,3878944,925,2.9866781526822783,right,fixation,6.0,44.0,383.4372887931031,657.052771551725,,,,,8.0,3.5247893895509304,9.93481658558976
184,3879873,40,,right,saccade,6.0,44.0,,,387.374,655.3610000000001,365.616,640.7719999999998,,,
186,3880012,3796,2.9696921031070778,left,fixation,14.0,,426.1714568421049,704.456996842107,,,,,9.0,5.429167563266435,20.14977013109957
187,3880020,3788,2.9696921031070778,right,fixation,7.0,45.0,393.662609704642,695.9865179324901,,,,,21.0,4.221438434842949,10.53894171351433
188,3883812,24,,left,saccade,13.0,,,,444.445,723.195,531.919,792.553,,,
189,3883812,28,,right,saccade,7.0,45.0,,,411.999,695.9,501.95,771.049,,,
190,3883840,728,3.08746408839779,left,fixation,15.0,,513.862841530054,816.5000382513658,,,,,1.0,3.8743012273182855,17.312244452987592
191,3883844,728,3.0874337016574587,right,fixation,8.0,46.0,480.24907103825205,814.743338797814,,,,,2.0,4.694991378516574,18.433334747282885
192,3884572,28,,left,saccade,14.0,,,,513.0,829.581,445.73900000000003,710.6669999999997,,,
193,3884576,24,,right,saccade,8.0,46.0,,,464.775,802.414,433.95300000000003,682.97,,,
194,3884604,1420,3.129580532212885,right,fixation,9.0,47.0,405.4330028089889,696.9291825842688,,,,,13.0,4.714353095709097,15.437076728582694
195,3884604,1836,3.1159723427331887,left,fixation,16.0,,459.790117391304,737.4949130434779,,,,,4.0,6.2211447583925095,34.13641866598832
