,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
194,1711605,44,,left,saccade,1.0,,,,972.1039999999999,465.16,451.524,593.125,,,
195,1711605,68,,right,saccade,1.0,61.0,,,967.551,419.08099999999996,497.765,617.22,,,
196,1711792,189,2.995126816937013,right,fixation,1.0,62.0,471.125604166667,663.728333333333,,,,,0.0,,
197,1711796,81,,left,fixation,1.0,,426.960428571428,580.784,,,,,2.0,9.545245262090905,51.69216896995802
198,1711881,8,,left,saccade,2.0,,,,429.777,591.112,432.809,616.25,,,
199,1711893,88,2.9892718271827183,left,fixation,2.0,,431.1231304347831,654.156304347826,,,,,0.0,,
200,1711985,8,,right,saccade,2.0,62.0,,,443.923,662.957,446.23699999999997,644.293,,,
201,1711985,16,,left,saccade,3.0,,,,421.95099999999996,673.6030000000002,427.01800000000003,609.6659999999998,,,
202,1711997,1983,2.9659848484848483,right,fixation,2.0,63.0,434.323525150906,625.78773440644,,,,,19.0,12.202466092326233,35.16576502177711
203,1712005,1971,2.9655945121951217,left,fixation,3.0,,421.35831578947403,627.190004048584,,,,,1.0,8.438599837782478,23.06934184150045
204,1713980,28,,left,saccade,4.0,,,,395.615,632.98,521.812,652.422,,,
205,1713984,20,,right,saccade,3.0,63.0,,,433.397,627.321,513.755,620.975,,,
206,1714008,596,3.081236666666667,right,fixation,3.0,64.0,523.931740000001,622.94798,,,,,1.0,7.8510182920575415,25.106837036950623
207,1714012,592,3.0811946308724827,left,fixation,4.0,,521.8648523489928,663.358946308725,,,,,0.0,,
208,1714608,12,,right,saccade,4.0,64.0,,,506.348,640.93,505.61400000000003,692.3860000000003,,,
209,1714608,20,,left,saccade,5.0,,,,537.489,668.584,526.974,748.11,,,
210,1714624,192,3.0792021276595736,right,fixation,4.0,65.0,483.935918367347,724.102428571429,,,,,0.0,,
211,1714632,180,3.0796022727272727,left,fixation,5.0,,479.8920217391298,760.6160000000001,,,,,0.0,,
212,1714816,40,,left,saccade,6.0,,,,473.043,765.426,686.069,760.957,,,
213,1714820,28,,right,saccade,5.0,65.0,,,495.038,748.415,691.169,730.296,,,
214,1714852,184,3.087152173913043,right,fixation,5.0,66.0,700.820042553192,718.218106382978,,,,,0.0,,
215,1714860,180,3.0873666666666666,left,fixation,6.0,,695.667065217391,766.948847826087,,,,,0.0,,
216,1715040,32,,right,saccade,6.0,66.0,,,689.3589999999997,741.13,983.753,723.471,,,
217,1715044,32,,left,saccade,7.0,,,,706.2389999999997,771.8530000000003,980.794,734.595,,,
218,1715076,208,3.1251346153846162,right,fixation,6.0,67.0,1010.4768490566,726.9666603773579,,,,,1.0,6.932585127898267,14.837456958656947
219,1715080,204,3.1254411764705883,left,fixation,7.0,,1001.92698076923,736.287980769231,,,,,0.0,,
220,1715288,24,,right,saccade,7.0,67.0,,,1006.877,749.553,1208.968,744.579,,,
221,1715288,28,,left,saccade,8.0,,,,1011.827,736.797,1189.137,735.748,,,
222,1715316,396,3.07770202020202,right,fixation,7.0,68.0,1221.99219,736.71731,,,,,0.0,,
223,1715320,392,3.0772653061224484,left,fixation,8.0,,1232.64797979798,749.4719595959599,,,,,1.0,6.926342880225074,16.783344720287346
224,1715716,28,,left,saccade,9.0,,,,1263.237,756.362,1412.201,757.61,,,
225,1715716,28,,right,saccade,8.0,68.0,,,1247.5230000000001,744.682,1431.0,727.091,,,
226,1715748,468,2.9986837606837606,left,fixation,9.0,,1454.0711779660999,764.8262288135602,,,,,0.0,,
227,1715748,476,2.9980966386554617,right,fixation,8.0,69.0,1448.70225,737.1245,,,,,1.0,5.8075790351918775,11.308249820374785
228,1716220,56,,left,saccade,10.0,,,,1473.453,781.7139999999997,979.8960000000001,742.304,,,
229,1716228,48,,right,saccade,9.0,69.0,,,1438.694,755.965,990.3660000000001,724.4,,,
230,1716280,452,3.065298245614035,left,fixation,10.0,,954.6003947368408,738.166798245614,,,,,1.0,8.837199421259632,27.09025895040505
231,1716280,452,3.065298245614035,right,fixation,9.0,70.0,968.5702894736839,720.463929824561,,,,,0.0,,
232,1716736,48,,right,saccade,10.0,70.0,,,959.221,731.096,512.44,598.091,,,
233,1716736,52,,left,saccade,11.0,,,,947.965,752.762,455.916,627.008,,,
234,1716788,648,2.9471134969325155,right,fixation,10.0,71.0,454.2467177914109,608.052699386503,,,,,1.0,9.750239256323708,34.33146581490517
235,1716792,640,2.946729813664596,left,fixation,11.0,,426.453416149068,619.45149068323,,,,,1.0,10.39653517336959,48.39326660807265
236,1717436,20,,left,saccade,12.0,,,,390.162,624.405,464.961,623.2919999999998,,,
237,1717440,16,,right,saccade,11.0,71.0,,,419.147,605.15,473.084,605.621,,,
238,1717460,452,2.9503660714285718,left,fixation,12.0,,492.6162456140351,626.629815789474,,,,,0.0,,
239,1717460,456,2.9502831858407084,right,fixation,11.0,72.0,515.8131478260871,609.258930434783,,,,,0.0,,
240,1717916,20,,left,saccade,13.0,,,,509.376,632.236,485.671,740.405,,,
241,1717920,20,,right,saccade,12.0,72.0,,,504.37,618.515,484.767,696.217,,,
242,1717940,200,3.0000599999999995,left,fixation,13.0,,487.14096078431396,773.433098039216,,,,,0.0,,
243,1717944,188,3.0008510638297863,right,fixation,12.0,73.0,484.1015,715.731979166667,,,,,0.0,,
244,1718136,32,,right,saccade,13.0,73.0,,,481.316,723.232,690.67,709.341,,,
245,1718144,20,,left,saccade,14.0,,,,505.583,779.0930000000003,656.4019999999998,756.217,,,
246,1718168,528,3.037041353383459,left,fixation,14.0,,695.953458646616,765.512240601504,,,,,0.0,,
247,1718172,528,3.0374172932330827,right,fixation,13.0,74.0,700.3226466165421,706.437601503759,,,,,2.0,9.631420233499457,25.765788822241248
248,1718700,44,,left,saccade,15.0,,,,689.933,771.071,1121.027,737.694,,,
249,1718704,40,,right,saccade,14.0,74.0,,,733.305,716.822,1149.769,713.6569999999997,,,
250,1718748,180,3.0740777777777786,left,fixation,15.0,,1139.27565217391,744.3239565217392,,,,,0.0,,
251,1718748,944,3.0814491525423726,right,fixation,14.0,75.0,1203.9147721519,731.111818565401,,,,,1.0,13.048772877597036,62.955884911579226
252,1718932,12,,left,saccade,16.0,,,,1166.382,750.046,1209.517,757.461,,,
253,1718948,752,3.082994680851064,left,fixation,16.0,,1233.9093968253999,774.019518518519,,,,,0.0,,
254,1719696,36,,right,saccade,15.0,75.0,,,1211.404,725.909,1430.2910000000006,727.824,,,
255,1719704,32,,left,saccade,17.0,,,,1244.038,776.753,1437.079,748.2539999999997,,,
256,1719736,524,3.03962213740458,right,fixation,15.0,76.0,1456.98003787879,728.4007196969701,,,,,1.0,7.075636830388852,20.49382602151184
257,1719740,516,3.0394341085271317,left,fixation,17.0,,1460.30123846154,750.899723076923,,,,,0.0,,
258,1720260,24,,left,saccade,18.0,,,,1489.007,741.336,1334.2820000000004,741.336,,,
259,1720264,20,,right,saccade,16.0,76.0,,,1430.525,728.653,1331.155,713.107,,,
260,1720288,144,3.0865972222222213,right,fixation,16.0,77.0,1310.13927027027,675.807621621622,,,,,0.0,,
261,1720288,344,3.0849302325581403,left,fixation,18.0,,1275.00673563218,727.8432068965518,,,,,1.0,9.825429429405169,26.603244050303264
262,1720436,8,,right,saccade,17.0,77.0,,,1293.276,665.2869999999998,1262.028,683.422,,,
