,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
160,3393218,56,,left,saccade,1.0,,,,1322.872,277.993,480.714,407.774,,,
162,3393278,180,2.946945652173914,left,fixation,1.0,,482.67132608695687,416.2918478260871,,,,,1.0,8.87874463411227,19.259168647685726
163,3393278,336,2.9318705882352942,right,fixation,1.0,41.0,448.924964705882,412.751870588235,,,,,0.0,,
164,3393462,4,,left,saccade,2.0,,,,468.716,448.983,463.05800000000005,450.277,,,
165,3393470,148,2.911837837837838,left,fixation,2.0,,444.9365,469.292368421053,,,,,0.0,,
166,3393618,28,,right,saccade,1.0,41.0,,,446.81,464.13699999999994,583.8430000000002,466.566,,,
167,3393622,24,,left,saccade,3.0,,,,457.913,465.09,575.257,466.63699999999994,,,
168,3393650,456,2.86730701754386,right,fixation,2.0,42.0,614.252617391304,435.593156521739,,,,,1.0,7.720730522790959,38.614279897468045
169,3393650,460,2.867569565217392,left,fixation,3.0,,629.55550862069,467.116655172413,,,,,1.0,9.041420188652744,63.261432207941674
170,3394110,20,,right,saccade,2.0,42.0,,,631.2180000000002,413.62800000000004,731.828,417.621,,,
171,3394114,20,,left,saccade,4.0,,,,666.596,440.724,744.637,435.79900000000004,,,
172,3394134,248,2.8646290322580645,right,fixation,3.0,43.0,756.458396825397,431.344142857143,,,,,0.0,,
173,3394138,252,2.8646904761904763,left,fixation,4.0,,775.751765625,446.79084375,,,,,2.0,4.523702425824268,8.771765992754712
174,3394386,12,,right,saccade,3.0,43.0,,,773.393,415.629,823.4830000000003,414.814,,,
175,3394394,8,,left,saccade,5.0,,,,804.1080000000003,452.228,830.939,452.228,,,
176,3394402,192,2.881520833333333,right,fixation,4.0,44.0,851.920142857143,428.8615714285711,,,,,0.0,,
177,3394406,188,2.881553191489361,left,fixation,5.0,,863.890729166666,456.7190625,,,,,0.0,,
178,3394598,28,,left,saccade,6.0,,,,867.7410000000001,459.92400000000004,649.255,453.55400000000003,,,
179,3394598,32,,right,saccade,4.0,44.0,,,852.653,437.97900000000004,651.125,437.833,,,
180,3394630,184,2.950315217391304,left,fixation,6.0,,636.527340425532,435.566680851064,,,,,0.0,,
181,3394634,180,2.950944444444444,right,fixation,5.0,45.0,631.915391304348,467.5973478260871,,,,,1.0,9.772633322475347,25.903186058861603
182,3394818,52,,right,saccade,5.0,45.0,,,631.235,459.272,1391.33,418.95300000000003,,,
183,3394818,56,,left,saccade,7.0,,,,637.868,431.73800000000006,1415.035,438.45300000000003,,,
184,3394874,652,2.9913536585365854,right,fixation,6.0,46.0,1367.2571097561,417.11131097561,,,,,2.0,9.73229560299722,29.191388681748737
185,3394878,648,2.991466257668712,left,fixation,7.0,,1393.8949202454,425.472177914111,,,,,2.0,5.704954264721973,20.14920399057208
