,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
10,410617,24,,left,saccade,1.0,,,,699.205,267.015,562.761,272.237,,,
11,410617,28,,right,saccade,1.0,3.0,,,694.235,276.501,549.451,278.277,,,
12,410645,176,3.332352272727272,left,fixation,1.0,,522.688911111111,272.6998,,,,,1.0,3.6229238230713285,17.452277902898462
13,410649,176,3.3326477272727275,right,fixation,1.0,4.0,512.570844444444,271.050422222222,,,,,1.0,3.523355250641385,15.441115665650564
14,410825,20,,left,saccade,2.0,,,,510.24699999999996,264.905,509.11199999999997,188.68200000000002,,,
15,410829,12,,right,saccade,2.0,4.0,,,510.93199999999996,273.218,510.407,216.132,,,
16,410845,384,3.345114583333334,right,fixation,2.0,5.0,521.44837113402,176.382958762887,,,,,1.0,4.144407644310857,23.65532018384029
17,410849,380,3.3451263157894733,left,fixation,2.0,,524.149489583333,158.610447916667,,,,,1.0,3.032906073389032,6.595395363433572
18,411233,32,,right,saccade,3.0,5.0,,,524.6,178.535,747.985,213.821,,,
19,411233,36,,left,saccade,3.0,,,,525.706,146.719,742.722,197.155,,,
20,411269,200,3.3606800000000003,right,fixation,3.0,6.0,762.715470588235,223.323607843137,,,,,1.0,3.2916611476747137,6.707436544612308
21,411273,192,3.361125,left,fixation,3.0,,776.650387755102,235.438775510204,,,,,1.0,4.622640833741858,20.627671633027354
22,411469,28,,left,saccade,4.0,,,,778.3810000000003,234.071,910.4839999999999,243.558,,,
23,411473,24,,right,saccade,4.0,6.0,,,781.96,245.628,908.308,252.19099999999997,,,
24,411501,160,3.3562375,left,fixation,4.0,,933.2011219512192,255.03239024390203,,,,,2.0,3.0831642616220423,7.6607749741484215
25,411501,160,3.3562375,right,fixation,4.0,7.0,927.566658536586,257.594731707317,,,,,1.0,2.6936420872945632,11.859490250428147
26,411665,28,,right,saccade,5.0,7.0,,,927.482,246.521,1154.96,252.317,,,
27,411665,32,,left,saccade,5.0,,,,936.7360000000001,255.856,1143.2730000000001,262.288,,,
28,411697,148,3.3409594594594596,right,fixation,5.0,8.0,1162.09831578947,262.84363157894796,,,,,0.0,,
29,411701,144,3.3407083333333336,left,fixation,5.0,,1163.99921621622,273.351459459459,,,,,1.0,3.849278987319832,9.298915689476855
30,411849,28,,right,saccade,6.0,8.0,,,1169.9660000000001,260.024,1405.368,264.994,,,
31,411849,32,,left,saccade,6.0,,,,1168.1760000000004,269.959,1396.735,273.853,,,
32,411881,243,3.3652,right,fixation,6.0,9.0,1425.75853225806,251.518467741935,,,,,2.0,3.0238046401698275,10.560081798107598
33,411885,235,3.365637931034484,left,fixation,6.0,,1412.1019333333304,265.7692,,,,,2.0,2.8338684753466485,7.021079324526889
34,412124,24,,left,saccade,7.0,,,,1407.7060000000001,266.556,1256.47,258.844,,,
35,412128,24,,right,saccade,7.0,9.0,,,1417.3410000000001,253.05200000000002,1254.765,252.87900000000002,,,
36,412152,161,3.3622317073170733,left,fixation,7.0,,1218.0350487804901,262.313292682927,,,,,1.0,3.3761538356866527,11.701860792198815
37,412156,157,3.3622749999999995,right,fixation,7.0,10.0,1222.686425,256.1681,,,,,2.0,2.8535226630122,7.9906755120181
38,412317,52,,left,saccade,8.0,,,,1211.7839999999999,270.829,594.766,268.61400000000003,,,
39,412317,52,,right,saccade,8.0,10.0,,,1200.75,258.795,595.009,247.988,,,
40,412373,132,3.329333333333333,right,fixation,8.0,11.0,563.087764705882,256.381382352941,,,,,1.0,5.836628024334306,27.00388657212143
41,412373,820,3.3524048780487807,left,fixation,8.0,,522.4447135922329,250.305786407767,,,,,3.0,5.307186703946238,26.27874661268973
42,412509,4,,right,saccade,9.0,11.0,,,542.818,257.129,526.452,255.89,,,
43,412517,680,3.3572735294117644,right,fixation,9.0,12.0,495.22336257309996,233.841649122807,,,,,4.0,4.129659564784859,12.508135092785398
44,413197,20,,left,saccade,9.0,,,,509.29699999999997,241.607,485.01599999999996,323.95799999999997,,,
45,413201,20,,right,saccade,10.0,12.0,,,498.36699999999996,239.988,467.21,311.64099999999996,,,
