,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
92,2126778,20,,right,saccade,1.0,24.0,,,445.37300000000016,576.035,381.25,702.7769999999997,,,
93,2126778,24,,left,saccade,1.0,,,,463.834,560.6709999999998,416.42,650.719,,,
94,2126802,580,3.4283,right,fixation,1.0,25.0,412.3908630136991,690.738636986301,,,,,1.0,4.821290312538529,16.543925924640735
95,2126806,572,3.4282097902097903,left,fixation,1.0,,423.394173611111,666.777951388889,,,,,2.0,3.3028850681908883,11.91364525329914
96,2127382,16,,left,saccade,2.0,,,,421.034,678.553,424.57800000000003,740.6569999999997,,,
97,2127386,20,,right,saccade,2.0,25.0,,,421.849,667.15,434.39099999999996,764.1089999999997,,,
98,2127402,284,3.4353802816901413,left,fixation,2.0,,466.595305555556,780.3187222222217,,,,,0.0,,
99,2127410,276,3.43490579710145,right,fixation,2.0,26.0,461.8228428571431,800.633942857143,,,,,1.0,7.89218200006958,22.78864991613153
100,2127690,24,,left,saccade,3.0,,,,488.61,807.785,685.6619999999998,801.91,,,
101,2127690,24,,right,saccade,3.0,26.0,,,481.774,795.132,683.566,791.887,,,
102,2127718,736,3.4948918918918923,left,fixation,3.0,,716.690027027027,765.341632432433,,,,,1.0,11.20276230940883,40.72604473798063
103,2127718,736,3.4948918918918923,right,fixation,3.0,27.0,699.4998108108099,797.461913513514,,,,,2.0,5.04560413934948,15.59861365028793
