,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
406,2487458,48,,left,saccade,1.0,,,,1495.2879999999998,427.912,672.867,545.293,,,
408,2487510,148,3.7025270270270254,left,fixation,1.0,,662.241605263158,545.895973684211,,,,,0.0,,
409,2487514,144,3.7032777777777786,right,fixation,1.0,101.0,665.995459459459,532.310108108108,,,,,0.0,,
410,2487662,24,,left,saccade,2.0,,,,655.005,545.336,483.64599999999996,580.077,,,
411,2487662,24,,right,saccade,1.0,101.0,,,674.059,541.637,490.66900000000004,574.1,,,
412,2487690,552,3.7512565095302923,left,fixation,2.0,,450.513647482015,608.868669064749,,,,,1.0,10.130258542549084,32.94169600976852
413,2487690,560,3.7512565095302923,right,fixation,2.0,102.0,458.63287943262395,603.336177304965,,,,,1.0,7.801854738529253,25.785995966803345
414,2488246,84,,left,saccade,3.0,,,,423.751,614.235,387.709,558.534,,,
415,2488254,56,,right,saccade,2.0,102.0,,,452.13199999999995,609.617,425.855,575.247,,,
416,2488402,172,3.7282277830864787,right,fixation,3.0,103.0,422.490431818182,603.109454545454,,,,,1.0,6.9280396397538135,30.22762974498664
417,2488454,124,3.7269295604395607,left,fixation,3.0,,409.07134375,585.07721875,,,,,3.0,4.6059231206887095,14.046248933093466
418,2488578,20,,right,saccade,3.0,103.0,,,424.72,603.8430000000002,522.275,617.0269999999998,,,
419,2488582,20,,left,saccade,4.0,,,,419.538,596.357,511.601,599.0419999999998,,,
420,2488602,500,3.797599206349207,right,fixation,4.0,104.0,548.3750793650789,615.778293650794,,,,,0.0,,
421,2488606,504,3.798102362204723,left,fixation,4.0,,535.381921259843,605.377692913385,,,,,1.0,2.9036255354298093,5.069025251466079
422,2489106,20,,right,saccade,4.0,104.0,,,555.178,614.436,647.368,613.37,,,
423,2489114,12,,left,saccade,5.0,,,,555.677,606.319,614.776,606.182,,,
424,2489130,536,3.778873134328358,left,fixation,5.0,,635.6471185185189,600.38665925926,,,,,2.0,3.730135673398912,14.185736501997678
425,2489130,536,3.778873134328358,right,fixation,5.0,105.0,654.082933333333,603.485288888889,,,,,1.0,5.195368407426876,32.59754705495492
426,2489670,24,,left,saccade,6.0,,,,616.887,595.59,744.738,606.47,,,
427,2489670,24,,right,saccade,5.0,105.0,,,639.692,605.814,765.212,606.773,,,
