,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
8,2477620,24,,left,saccade,1.0,,,,653.55,386.01,486.84,174.424,,,
10,2477648,156,3.681628205128205,left,fixation,1.0,,476.1194,147.77105,,,,,0.0,,
12,2477808,8,,left,saccade,2.0,,,,481.31,150.916,448.07099999999997,166.329,,,
14,2477820,136,3.6310736559139785,left,fixation,2.0,,436.358857142857,172.82185714285703,,,,,0.0,,
15,2477820,136,3.6310736559139785,right,fixation,1.0,4.0,423.5582,132.5338,,,,,0.0,,
16,2477960,52,,left,saccade,3.0,,,,436.186,165.72400000000005,507.037,140.347,,,
17,2477960,44,,right,saccade,1.0,4.0,,,425.67699999999996,128.23,519.313,119.85600000000001,,,
18,2478112,120,3.556552688172043,right,fixation,2.0,5.0,528.526,152.32935483871,,,,,0.0,,
19,2478132,100,3.556552688172043,left,fixation,3.0,,518.368807692308,170.92603846153798,,,,,0.0,,
20,2478236,28,,right,saccade,2.0,5.0,,,527.809,156.23,785.438,141.81799999999996,,,
21,2478236,32,,left,saccade,4.0,,,,520.882,168.99599999999995,748.382,149.64,,,
22,2478268,232,3.6510431034482766,right,fixation,3.0,6.0,792.3757288135588,145.090983050847,,,,,0.0,,
23,2478272,228,3.651587719298246,left,fixation,4.0,,765.4500689655182,157.22358620689698,,,,,0.0,,
24,2478504,28,,right,saccade,3.0,6.0,,,766.3860000000003,158.55,628.85,164.635,,,
25,2478504,32,,left,saccade,5.0,,,,765.1410000000003,157.988,598.653,171.483,,,
26,2478536,120,3.6578333333333335,right,fixation,4.0,7.0,617.380774193548,169.775806451613,,,,,0.0,,
27,2478540,116,3.6576896551724136,left,fixation,5.0,,597.878366666667,175.295133333333,,,,,0.0,,
28,2478660,20,,left,saccade,6.0,,,,603.279,173.00799999999995,458.251,179.695,,,
29,2478660,24,,right,saccade,4.0,7.0,,,599.53,172.15900000000005,476.212,191.363,,,
30,2478684,312,3.6319615384615385,left,fixation,6.0,,456.664,191.11264556961999,,,,,0.0,,
31,2478688,312,3.631839743589744,right,fixation,5.0,8.0,466.933873417722,187.26087341772097,,,,,0.0,,
32,2479000,24,,left,saccade,7.0,,,,454.065,181.107,537.832,180.278,,,
33,2479004,16,,right,saccade,5.0,8.0,,,468.159,182.86900000000003,540.5219999999998,183.84799999999998,,,
34,2479024,108,3.6295555555555565,right,fixation,6.0,9.0,550.835178571428,170.086035714286,,,,,0.0,,
35,2479028,104,3.629807692307693,left,fixation,7.0,,558.986074074074,188.19425925925896,,,,,0.0,,
36,2479136,20,,right,saccade,6.0,9.0,,,555.985,172.37099999999995,723.466,167.582,,,
37,2479136,24,,left,saccade,8.0,,,,550.9,178.731,723.559,167.912,,,
38,2479160,144,3.619013888888889,right,fixation,7.0,10.0,716.441783783784,168.89651351351299,,,,,0.0,,
39,2479164,136,3.6188823529411764,left,fixation,8.0,,723.5696285714281,163.042942857143,,,,,0.0,,
40,2479304,20,,left,saccade,9.0,,,,707.194,173.138,624.868,171.285,,,
41,2479308,12,,right,saccade,7.0,10.0,,,715.965,178.125,668.3380000000002,172.68599999999995,,,
42,2479324,200,3.59809,right,fixation,8.0,11.0,648.2736862745099,160.052568627451,,,,,2.0,47.03316280751597,141.48579367071255
43,2479328,200,3.5983500000000004,left,fixation,9.0,,639.782647058823,183.96268627451,,,,,0.0,,
44,2479528,24,,right,saccade,8.0,11.0,,,644.942,147.08100000000005,813.044,145.326,,,
45,2479532,20,,left,saccade,10.0,,,,661.617,180.287,815.212,173.17700000000005,,,
46,2479556,172,3.6180000000000003,right,fixation,9.0,12.0,826.783068181818,154.722704545455,,,,,0.0,,
47,2479556,176,3.6180000000000003,left,fixation,10.0,,836.9382222222231,174.494466666667,,,,,0.0,,
48,2479732,20,,right,saccade,9.0,12.0,,,838.1289999999997,153.269,766.273,153.269,,,
49,2479736,20,,left,saccade,11.0,,,,833.2360000000001,174.64700000000005,751.573,170.014,,,
50,2479756,404,3.632441176470589,right,fixation,10.0,13.0,729.1541960784309,157.045245098039,,,,,0.0,,
51,2479760,400,3.632519801980198,left,fixation,11.0,,736.3430693069299,175.78027722772305,,,,,0.0,,
52,2480164,44,,left,saccade,12.0,,,,740.798,185.69099999999997,1380.3270000000002,179.37400000000005,,,
53,2480164,44,,right,saccade,10.0,13.0,,,735.1139999999997,156.741,1385.096,165.09400000000005,,,
54,2480212,288,3.674190140845071,right,fixation,11.0,14.0,1368.54353424658,162.712739726028,,,,,0.0,,
55,2480212,292,3.6742083333333335,left,fixation,12.0,,1381.67205405405,144.770945945946,,,,,0.0,,
56,2480504,20,,right,saccade,11.0,14.0,,,1356.464,129.03,1444.389,133.395,,,
57,2480508,16,,left,saccade,13.0,,,,1386.0870000000002,122.031,1446.826,112.14,,,
58,2480528,96,3.6864375,left,fixation,13.0,,1472.6182800000001,99.96544,,,,,0.0,,
59,2480528,96,3.6864375,right,fixation,12.0,15.0,1467.35808,118.28511999999999,,,,,0.0,,
60,2480628,48,,left,saccade,14.0,,,,1468.4270000000001,90.792,731.602,115.484,,,
61,2480628,52,,right,saccade,12.0,15.0,,,1474.774,123.96600000000001,760.7560000000003,126.89,,,
62,2480680,324,3.7081036585365856,left,fixation,14.0,,731.3280609756099,145.32810975609698,,,,,1.0,8.060772062898192,17.85615076101221
63,2480684,320,3.7083024691358015,right,fixation,13.0,16.0,733.226469135802,134.634740740741,,,,,1.0,10.24587983587115,23.550874739593077
64,2481008,40,,right,saccade,13.0,16.0,,,721.755,167.91,1380.056,150.005,,,
65,2481008,44,,left,saccade,15.0,,,,718.044,144.895,1386.8129999999999,131.545,,,
66,2481052,116,3.737,right,fixation,14.0,17.0,1393.5666333333304,121.544633333333,,,,,0.0,,
67,2481056,712,3.7877865168539318,left,fixation,15.0,,1474.8209664804501,104.480240223464,,,,,1.0,16.9957926043477,49.649522303844854
68,2481172,4,,right,saccade,14.0,17.0,,,1387.933,114.741,1387.973,118.345,,,
69,2481180,4,3.7405,right,fixation,15.0,18.0,1416.7035,121.40899999999999,,,,,0.0,,
70,2481188,4,,right,saccade,15.0,18.0,,,1437.855,123.12299999999999,1438.392,125.148,,,
71,2481196,572,3.8000699300699305,right,fixation,16.0,19.0,1470.8488472222198,118.77874305555599,,,,,0.0,,
