,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
151,1684031,24,,left,saccade,1.0,,,,493.471,497.83099999999996,428.32599999999996,642.6990000000002,,,
152,1684055,824,3.730433574879227,right,fixation,1.0,38.0,405.115285024154,655.247285024155,,,,,2.0,2.946074262559573,7.4462667130560805
153,1684059,820,3.73063713592233,left,fixation,1.0,,412.171834951456,672.620339805825,,,,,0.0,,
154,1684883,32,,left,saccade,2.0,,,,410.175,689.627,674.038,752.22,,,
155,1684883,32,,right,saccade,1.0,38.0,,,401.10900000000004,676.987,690.8919999999997,776.554,,,
156,1684919,492,3.8406910569105697,left,fixation,2.0,,698.6221370967737,785.078096774193,,,,,2.0,5.721730595397258,18.91228341289289
157,1684919,496,3.84070564516129,right,fixation,2.0,39.0,707.4734080000011,789.9471599999989,,,,,4.0,4.638915040412778,13.794961767161313
158,1685415,40,,left,saccade,3.0,,,,739.23,801.597,1116.799,783.888,,,
159,1685419,32,,right,saccade,2.0,39.0,,,751.437,801.307,1102.153,784.1560000000003,,,
160,1685455,136,3.8097941176470593,right,fixation,3.0,40.0,1112.64485714286,785.6999142857152,,,,,0.0,,
161,1685459,128,3.809125,left,fixation,3.0,,1120.84890909091,789.1667575757581,,,,,0.0,,
162,1685591,20,,left,saccade,4.0,,,,1121.868,784.048,1200.935,784.4989999999997,,,
163,1685595,8,,right,saccade,3.0,40.0,,,1121.7930000000001,785.1410000000003,1159.6789999999999,781.8760000000003,,,
164,1685607,132,3.7810606060606062,right,fixation,4.0,41.0,1194.0598823529401,780.945235294118,,,,,2.0,3.8345269586109327,11.182624051681426
165,1685615,124,3.780645161290322,left,fixation,4.0,,1203.16309375,787.8489375,,,,,0.0,,
167,1685743,64,,left,saccade,5.0,,,,1216.942,785.8919999999997,798.443,97.749,,,
170,1685967,20,,left,saccade,6.0,,,,784.529,83.805,936.1510000000001,65.852,,,
172,1685991,220,3.718963636363637,left,fixation,5.0,,955.648571428571,60.42453571428571,,,,,0.0,,
174,1686215,52,,left,saccade,7.0,,,,959.1080000000001,79.53,1184.863,683.2639999999999,,,
175,1686215,52,,right,saccade,4.0,43.0,,,964.4,89.102,1163.007,680.318,,,
176,1686271,112,3.745071428571429,right,fixation,5.0,44.0,1186.00344827586,684.989862068965,,,,,0.0,,
177,1686271,612,3.791604575163399,left,fixation,6.0,,1203.53698051948,752.2918506493512,,,,,3.0,6.481884569527273,18.005126275912236
178,1686387,12,,right,saccade,5.0,44.0,,,1198.508,688.9910000000001,1206.63,742.921,,,
179,1686403,480,3.804170833333333,right,fixation,6.0,45.0,1203.10112396694,768.5610413223137,,,,,0.0,,
180,1686887,28,,left,saccade,8.0,,,,1207.004,781.2389999999997,978.442,786.42,,,
181,1686887,28,,right,saccade,6.0,45.0,,,1195.018,798.929,987.574,797.9119999999997,,,
182,1686919,1312,3.9749298780487807,left,fixation,7.0,,965.6557112462,780.7633920972639,,,,,1.0,5.01239823947695,18.949985224268662
183,1686919,1312,3.9749298780487807,right,fixation,7.0,46.0,955.175486322189,780.4495896656531,,,,,7.0,4.129732980227773,10.559298960216406
