,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
124,1671262,52,,left,saccade,1.0,,,,1463.08,512.24,524.736,673.6,,,
125,1671262,56,,right,saccade,1.0,32.0,,,1464.0179999999998,471.23,556.633,644.987,,,
126,1671318,128,3.620453125,left,fixation,1.0,,521.699696969697,691.130575757576,,,,,0.0,,
127,1671322,664,3.5583181818181813,right,fixation,1.0,33.0,501.427964071856,642.443389221557,,,,,3.0,7.309733827007894,32.321966603963176
128,1671450,16,,left,saccade,2.0,,,,516.507,690.698,476.077,638.322,,,
129,1671470,520,3.5418992248062016,left,fixation,2.0,,472.451488549618,630.091290076336,,,,,4.0,4.191193475815607,21.675549479610147
130,1671990,20,,right,saccade,2.0,33.0,,,529.4680000000002,635.2230000000002,517.692,716.993,,,
131,1671994,16,,left,saccade,3.0,,,,514.405,655.569,506.08,711.9010000000003,,,
132,1672014,196,3.51780612244898,left,fixation,3.0,,504.58974000000006,733.6356,,,,,0.0,,
133,1672014,196,3.51780612244898,right,fixation,2.0,34.0,517.3353599999998,737.49776,,,,,0.0,,
134,1672214,20,,left,saccade,4.0,,,,502.404,735.1669999999997,509.64300000000003,615.623,,,
135,1672214,20,,right,saccade,3.0,34.0,,,519.436,743.196,527.899,629.444,,,
136,1672238,352,3.457825842696629,left,fixation,4.0,,525.5369999999998,634.933168539325,,,,,2.0,6.602210980990537,18.500829658922356
137,1672238,356,3.458211111111112,right,fixation,3.0,35.0,541.313822222222,647.562911111111,,,,,0.0,,
138,1672594,12,,left,saccade,5.0,,,,496.619,629.121,452.01,625.731,,,
139,1672598,12,,right,saccade,4.0,35.0,,,519.247,636.33,471.589,636.33,,,
140,1672610,240,3.452225,left,fixation,5.0,,441.983262295082,641.9719344262301,,,,,0.0,,
141,1672614,236,3.4518135593220336,right,fixation,4.0,36.0,458.354733333333,647.0365,,,,,2.0,5.327052732405303,15.328128475512537
142,1672854,32,,left,saccade,6.0,,,,452.04400000000004,655.72,764.3439999999997,755.422,,,
143,1672854,32,,right,saccade,5.0,36.0,,,481.276,668.8580000000002,790.02,721.355,,,
144,1672890,152,3.5392236842105262,left,fixation,6.0,,784.030025641026,768.752282051282,,,,,1.0,4.037622409565082,6.826898637009459
145,1672890,152,3.5392236842105262,right,fixation,5.0,37.0,807.305153846154,735.839179487179,,,,,1.0,3.3501283640415145,12.044637312928936
146,1673046,24,,left,saccade,7.0,,,,788.242,763.2710000000003,944.508,749.816,,,
147,1673046,24,,right,saccade,6.0,37.0,,,814.558,729.9060000000003,970.038,728.525,,,
148,1673074,280,3.609714285714285,left,fixation,7.0,,952.683028169013,748.708436619718,,,,,1.0,2.6479675329496466,5.443000826749739
149,1673074,280,3.609714285714285,right,fixation,6.0,38.0,982.555873239437,746.264535211268,,,,,1.0,2.7151290382676465,4.795911800690076
150,1673358,40,,left,saccade,8.0,,,,953.711,759.8510000000001,1416.9379999999999,764.8760000000003,,,
151,1673358,40,,right,saccade,7.0,38.0,,,982.2180000000001,763.6489999999999,1436.425,747.069,,,
152,1673402,248,3.6217580645161287,left,fixation,8.0,,1439.56006349206,770.526571428572,,,,,1.0,4.804649582551381,4.839984504107573
153,1673402,252,3.6215714285714284,right,fixation,7.0,39.0,1447.8628125,759.577171875,,,,,2.0,4.506700338619481,20.605981877987286
154,1673654,60,,left,saccade,9.0,,,,1455.93,754.927,561.235,577.669,,,
155,1673658,56,,right,saccade,8.0,39.0,,,1448.741,755.632,605.7280000000002,631.211,,,
156,1673718,204,3.5576568627450977,right,fixation,8.0,40.0,575.827480769231,613.034615384615,,,,,2.0,9.543620939426582,17.34263491833473
157,1673718,348,3.56280459770115,left,fixation,9.0,,546.911261363637,623.271375,,,,,1.0,14.16249876924578,72.80433647798745
158,1673926,4,,right,saccade,9.0,40.0,,,529.02,616.951,524.271,616.951,,,
159,1673934,132,3.570181818181818,right,fixation,9.0,41.0,508.767529411765,619.631794117647,,,,,0.0,,
160,1674070,40,,left,saccade,10.0,,,,500.264,630.003,991.206,727.875,,,
161,1674070,40,,right,saccade,10.0,41.0,,,507.80800000000005,619.627,1001.178,707.79,,,
162,1674114,292,3.637061643835616,left,fixation,10.0,,990.248662162163,734.164486486486,,,,,2.0,6.14166387793028,16.67277466257755
163,1674114,296,3.6376283783783774,right,fixation,10.0,42.0,996.593746666666,746.0211866666672,,,,,1.0,6.295572138857201,36.19965184915444
164,1674410,44,,left,saccade,11.0,,,,973.294,725.342,551.602,628.9169999999998,,,
165,1674414,36,,right,saccade,11.0,42.0,,,986.2230000000001,740.368,573.123,640.185,,,
166,1674454,216,3.622648148148148,right,fixation,11.0,43.0,548.092181818182,644.960745454545,,,,,2.0,3.470020115228457,13.046697916595502
167,1674458,216,3.622138888888889,left,fixation,11.0,,544.120090909091,633.759636363636,,,,,1.0,4.278911732100945,6.367669746461392
168,1674674,64,,right,saccade,12.0,43.0,,,548.066,637.4540000000002,1465.7379999999994,714.155,,,
169,1674678,56,,left,saccade,12.0,,,,541.776,636.735,1439.3010000000006,715.574,,,
170,1674738,852,3.6098971962616826,left,fixation,12.0,,1444.11115420561,724.1693598130838,,,,,4.0,3.992834055738295,13.109839402230131
171,1674742,848,3.609868544600939,right,fixation,12.0,44.0,1452.38625821596,712.965370892019,,,,,4.0,3.9118512686699085,17.542919756072575
