,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
4,21042428,268,3.681325058792788,left,fixation,1.0,,937.212132352941,54.13197058823529,,,,,4.0,4.0345306063411615,15.456536191376104
5,21042428,268,3.681325058792788,right,fixation,1.0,2.0,943.7209264705881,62.95838235294121,,,,,1.0,9.621213721367132,56.53257263737423
6,21042700,40,,left,saccade,1.0,,,,967.105,69.207,948.038,70.788,,,
7,21042700,40,,right,saccade,1.0,2.0,,,965.577,60.648,965.7689999999999,68.917,,,
8,21042848,748,3.7554331076837184,left,fixation,2.0,,964.756457446808,40.426952127659604,,,,,5.0,3.2694151281516866,13.243256860066168
9,21042852,744,3.7554331076837184,right,fixation,2.0,3.0,964.093834224599,53.076540106951896,,,,,2.0,4.759163292377743,28.822976065149174
10,21043600,48,,left,saccade,2.0,,,,966.1,47.228,454.548,143.968,,,
11,21043600,48,,right,saccade,2.0,3.0,,,973.955,51.942,459.19199999999995,160.284,,,
12,21043652,1996,3.7798476953907816,left,fixation,3.0,,440.510231999999,144.312558,,,,,14.0,5.671004186020488,21.895291504376463
13,21043652,1996,3.7798476953907816,right,fixation,3.0,4.0,434.923458,163.001476,,,,,10.0,6.236501834703579,31.009346668912762
14,21045652,12,,left,saccade,3.0,,,,506.316,145.049,457.91,145.42,,,
15,21045652,12,,right,saccade,3.0,4.0,,,503.596,171.673,453.30400000000003,171.87599999999995,,,
16,21045668,1008,3.8661600877192974,right,fixation,4.0,5.0,423.06329249011804,166.59436758893298,,,,,6.0,3.19285108232437,13.790375299406257
17,21045668,1012,3.8661600877192974,left,fixation,4.0,,432.303858267717,136.92555905511801,,,,,5.0,3.980589867702647,12.950387374373625
18,21046680,40,,right,saccade,4.0,5.0,,,439.344,177.9,431.458,164.36599999999999,,,
19,21046684,40,,left,saccade,4.0,,,,452.13199999999995,151.43,443.445,134.315,,,
20,21046788,496,3.7976505610024094,right,fixation,5.0,6.0,448.021336,176.86548,,,,,0.0,,
21,21046796,476,3.7984176062241115,left,fixation,5.0,,457.8255666666671,138.791541666667,,,,,4.0,2.0732517712552543,6.49073630733667
22,21047276,20,,left,saccade,5.0,,,,462.098,157.632,537.831,154.999,,,
23,21047288,4,,right,saccade,5.0,6.0,,,487.23800000000006,181.72,505.874,180.424,,,
24,21047296,1036,3.7681119691119687,right,fixation,6.0,7.0,509.155957692308,174.43329615384602,,,,,5.0,4.279095281482092,15.21823734268826
25,21047300,2944,3.839538719777644,left,fixation,6.0,,465.082312075983,144.33763229308,,,,,10.0,6.0607607769981495,26.987735038345928
26,21048336,16,,right,saccade,6.0,7.0,,,462.05300000000005,173.231,410.735,175.583,,,
27,21048356,1884,3.8811331762011294,right,fixation,7.0,8.0,435.594559322034,185.46669279661,,,,,10.0,4.072173192964572,22.76254340950607
28,21050244,40,,right,saccade,7.0,8.0,,,428.454,177.86599999999999,435.17,181.425,,,
29,21050248,40,,left,saccade,6.0,,,,461.751,170.50599999999997,454.846,152.31799999999996,,,
30,21050372,684,3.8271887460866703,left,fixation,7.0,,503.76925,135.908755813953,,,,,6.0,4.939862017921295,15.239564067302767
31,21050372,688,3.826885043364424,right,fixation,8.0,9.0,484.500075144508,182.71149132948003,,,,,5.0,4.344704674025744,16.836081872489647
32,21051060,24,,left,saccade,7.0,,,,530.77,125.007,629.557,219.378,,,
33,21051064,24,,right,saccade,8.0,9.0,,,525.09,201.47299999999998,628.845,243.46900000000002,,,
34,21051088,128,3.783734375,left,fixation,8.0,,642.864636363636,222.66421212121202,,,,,2.0,2.5670864211915716,6.922765552875173
35,21051092,120,3.7837333333333336,right,fixation,9.0,10.0,634.420451612903,272.578290322581,,,,,1.0,3.7637879855273617,7.220038919562706
36,21051216,24,,right,saccade,9.0,10.0,,,634.229,276.573,493.155,290.168,,,
37,21051220,20,,left,saccade,8.0,,,,642.018,222.68400000000003,513.335,239.153,,,
38,21051244,384,3.8430729166666673,left,fixation,9.0,,499.647639175258,234.65075257732002,,,,,0.0,,
39,21051244,384,3.8430729166666673,right,fixation,10.0,11.0,486.166195876289,290.666278350516,,,,,5.0,2.8138871259448663,9.288645780959433
40,21051632,24,,left,saccade,9.0,,,,492.885,239.736,714.424,235.898,,,
41,21051632,28,,right,saccade,10.0,11.0,,,493.555,281.7340000000001,723.705,278.003,,,
42,21051660,328,3.8069085365853663,left,fixation,10.0,,734.005337349398,248.957662650603,,,,,4.0,3.431182607863668,11.551231352144168
43,21051664,324,3.806388888888889,right,fixation,11.0,12.0,730.038463414634,274.125865853659,,,,,2.0,2.492514322209584,11.90732071783505
262,21074027,36,,left,saccade,10.0,,,,1186.347,466.62199999999996,1380.52,321.608,,,
263,21074027,36,,right,saccade,11.0,66.0,,,1192.7069999999999,452.958,1375.565,268.735,,,
264,21074067,376,3.7673510638297873,left,fixation,11.0,,1414.4358736842098,285.650368421052,,,,,4.0,2.9013038297313933,9.729193427415867
265,21074067,376,3.7673510638297873,right,fixation,12.0,67.0,1411.9267894736802,254.67604210526298,,,,,5.0,2.9828290592149664,8.921702375494473
266,21074447,24,,right,saccade,12.0,67.0,,,1426.0910000000001,269.11,1191.072,257.031,,,
267,21074447,28,,left,saccade,11.0,,,,1418.921,292.332,1171.891,269.478,,,
268,21074475,180,3.7193222222222215,right,fixation,13.0,68.0,1169.1997826087,251.406913043478,,,,,1.0,3.0439365229182465,28.110134916076213
269,21074479,176,3.7189204545454544,left,fixation,12.0,,1181.35428888889,270.641355555556,,,,,0.0,,
270,21074659,51,,right,saccade,13.0,68.0,,,1164.539,241.297,489.265,226.429,,,
