,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
46,1659607,24,,left,saccade,1.0,,,,483.189,290.056,444.964,410.69300000000004,,,
47,1659611,20,,right,saccade,1.0,12.0,,,482.841,286.218,451.76300000000003,360.26199999999994,,,
48,1659635,1676,4.100445238095238,right,fixation,1.0,13.0,411.9797,378.311045238095,,,,,2.0,7.778376669576758,23.547868691042677
49,1659635,1692,4.100130896226415,left,fixation,1.0,,422.059886792453,403.098615566038,,,,,1.0,11.097171824388411,19.488127180414256
50,1661315,16,,right,saccade,2.0,13.0,,,402.157,378.65,472.10699999999997,378.971,,,
51,1661331,0,,left,saccade,2.0,,,,466.376,387.472,466.376,387.472,,,
52,1661335,520,4.06851550387597,left,fixation,2.0,,490.214274809161,401.287427480916,,,,,2.0,5.448845079932448,7.449936266637039
53,1661335,920,4.074727074235808,right,fixation,2.0,14.0,502.190017316017,383.444922077922,,,,,2.0,5.9828595763031,16.28608955481101
54,1661859,12,,left,saccade,3.0,,,,477.185,403.477,529.13,403.24800000000016,,,
55,1661875,384,4.0830520833333335,left,fixation,3.0,,536.071226804124,396.911329896907,,,,,2.0,3.929064868184924,9.072523614706563
56,1662259,24,,right,saccade,3.0,14.0,,,538.9730000000002,379.64300000000003,719.571,459.471,,,
57,1662263,24,,left,saccade,4.0,,,,550.0930000000002,405.67400000000004,712.383,484.50699999999995,,,
58,1662287,548,4.179186131386861,right,fixation,3.0,15.0,731.823695652174,465.585043478261,,,,,0.0,,
59,1662291,544,4.179569852941177,left,fixation,4.0,,730.143890510948,500.603919708029,,,,,5.0,4.659336846557965,22.929519160167303
60,1662839,28,,left,saccade,5.0,,,,719.7139999999997,505.62300000000016,498.881,510.96,,,
61,1662839,28,,right,saccade,4.0,15.0,,,728.058,487.465,526.156,481.32800000000003,,,
62,1662871,292,4.084739726027398,right,fixation,4.0,16.0,489.15998648648696,469.16540540540495,,,,,0.0,,
63,1662871,296,4.083804054054053,left,fixation,5.0,,503.846626666667,511.2754133333329,,,,,0.0,,
64,1663167,52,,right,saccade,5.0,16.0,,,487.21,464.18699999999995,1095.626,489.039,,,
65,1663171,48,,left,saccade,6.0,,,,505.64300000000003,509.782,1095.495,505.535,,,
66,1663223,184,4.022260869565218,left,fixation,6.0,,1128.02121276596,504.394744680851,,,,,1.0,4.992706157764336,7.152886130786633
67,1663223,184,4.022260869565218,right,fixation,5.0,17.0,1104.9285106383,486.768361702127,,,,,1.0,3.6829811898031943,12.4108221323165
68,1663411,20,,left,saccade,7.0,,,,1125.996,501.995,1224.302,490.023,,,
69,1663411,20,,right,saccade,6.0,17.0,,,1100.958,490.403,1206.0230000000001,493.015,,,
70,1663435,640,3.998571875000001,left,fixation,7.0,,1230.90692546584,511.7008881987581,,,,,0.0,,
71,1663435,640,3.998571875000001,right,fixation,6.0,18.0,1224.06204968944,491.71703726708085,,,,,1.0,4.060061045654892,12.066964199830807
72,1664079,24,,left,saccade,8.0,,,,1226.268,487.795,1420.969,486.70300000000003,,,
73,1664079,24,,right,saccade,7.0,18.0,,,1215.912,494.749,1425.125,484.284,,,
74,1664107,680,3.9192366863905317,left,fixation,8.0,,1461.45778362573,476.58934502924006,,,,,2.0,5.504843073733462,28.53623493810115
75,1664107,680,3.9192366863905317,right,fixation,7.0,19.0,1445.4806081871302,472.79787134502885,,,,,0.0,,
76,1664791,60,,left,saccade,9.0,,,,1440.75,479.504,532.674,412.949,,,
77,1664791,60,,right,saccade,8.0,19.0,,,1454.399,470.769,571.72,418.605,,,
78,1664855,532,4.022687037037037,left,fixation,9.0,,515.632432835821,396.228656716418,,,,,2.0,4.677496958326295,16.323024964469234
79,1664855,540,4.023286496350367,right,fixation,8.0,20.0,525.535095588236,387.542698529412,,,,,1.0,6.6815329245781525,24.00093739836
